"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses"
"2231","<p><strong>Manybabies3 Syllables. </strong></p><p>Press any key to begin.</p>","32","html-keyboard-response","0","2320","0.0-0.0",""
"5477","","","survey-text","1","7799","0.0-1.0","{""Q0"":""mo32_""}"
"2411","","","survey-multi-select","2","10216","0.0-2.0","{""Q0"":[""English""]}"
"4636","<p><strong>Help rate the audio stimuli!</strong></p><p><i>Make sure you can hear audio!</i></p><p>In each trial you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","html-keyboard-response","3","14863","0.0-3.0",""
"null","<p>next syllable</p>","null","html-keyboard-response","4","15369","0.0-4.0-0.0",""
"null","snd/pe2_1.wav","null","audio-keyboard-response","5","15749","0.0-4.0-1.0",""
"null","snd/pe2_1.wav","null","audio-keyboard-response","6","16509","0.0-4.0-2.0-0.0",""
"3775","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","html-keyboard-response","7","20284","0.0-4.0-2.0-1.0",""
"2542","","","survey-text","8","22828","0.0-4.0-3.0","{""Q0"":""pe""}"
"1057","snd/pe2_1.wav","55","audio-keyboard-response","9","23884","0.0-4.0-4.0",""
"null","<p>next syllable</p>","null","html-keyboard-response","10","24892","0.0-4.0-0.1",""
"null","snd/ka.wav","null","audio-keyboard-response","11","25141","0.0-4.0-1.1",""
"null","snd/ka.wav","null","audio-keyboard-response","12","25896","0.0-4.0-2.1-0.1",""
"748","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","html-keyboard-response","13","26644","0.0-4.0-2.1-1.1",""
"2047","","","survey-text","14","28692","0.0-4.0-3.1","{""Q0"":""ka""}"
"1178","snd/ka.wav","55","audio-keyboard-response","15","29868","0.0-4.0-4.1",""
"null","<p>next syllable</p>","null","html-keyboard-response","16","30877","0.0-4.0-0.2",""
"null","snd/fe.wav","null","audio-keyboard-response","17","31127","0.0-4.0-1.2",""
"null","snd/fe.wav","null","audio-keyboard-response","18","31881","0.0-4.0-2.2-0.2",""
"435","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","html-keyboard-response","19","32316","0.0-4.0-2.2-1.2",""
"2024","","","survey-text","20","34340","0.0-4.0-3.2","{""Q0"":""fe""}"
"1126","snd/fe.wav","55","audio-keyboard-response","21","35468","0.0-4.0-4.2",""
"null","<p>next syllable</p>","null","html-keyboard-response","22","36469","0.0-4.0-0.3",""
"null","snd/ti.wav","null","audio-keyboard-response","23","36688","0.0-4.0-1.3",""
"null","snd/ti.wav","null","audio-keyboard-response","24","37408","0.0-4.0-2.3-0.3",""
"692","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","html-keyboard-response","25","38100","0.0-4.0-2.3-1.3",""
"1776","","","survey-text","26","39876","0.0-4.0-3.3","{""Q0"":""ti""}"
"1097","snd/ti.wav","55","audio-keyboard-response","27","40973","0.0-4.0-4.3",""
"null","<p>next syllable</p>","null","html-keyboard-response","28","41982","0.0-4.0-0.4",""
"null","snd/ni.wav","null","audio-keyboard-response","29","42237","0.0-4.0-1.4",""
"null","snd/ni.wav","null","audio-keyboard-response","30","42998","0.0-4.0-2.4-0.4",""
"559","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","html-keyboard-response","31","43557","0.0-4.0-2.4-1.4",""
"1568","","","survey-text","32","45125","0.0-4.0-3.4","{""Q0"":""ni""}"
"1358","snd/ni.wav","55","audio-keyboard-response","33","46484","0.0-4.0-4.4",""
"null","<p>next syllable</p>","null","html-keyboard-response","34","47489","0.0-4.0-0.5",""
"null","snd/to.wav","null","audio-keyboard-response","35","47735","0.0-4.0-1.5",""
"null","snd/to.wav","null","audio-keyboard-response","36","48490","0.0-4.0-2.5-0.5",""
"395","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","html-keyboard-response","37","48885","0.0-4.0-2.5-1.5",""
"2511","","","survey-text","38","51396","0.0-4.0-3.5","{""Q0"":""to""}"
"1300","snd/to.wav","55","audio-keyboard-response","39","52693","0.0-4.0-4.5",""
"null","<p>next syllable</p>","null","html-keyboard-response","40","53703","0.0-4.0-0.6",""
"null","snd/no.wav","null","audio-keyboard-response","41","53958","0.0-4.0-1.6",""
"null","snd/no.wav","null","audio-keyboard-response","42","54719","0.0-4.0-2.6-0.6",""
"734","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","html-keyboard-response","43","55453","0.0-4.0-2.6-1.6",""
"1855","","","survey-text","44","57309","0.0-4.0-3.6","{""Q0"":""no""}"
"958","snd/no.wav","55","audio-keyboard-response","45","58269","0.0-4.0-4.6",""
"null","<p>next syllable</p>","null","html-keyboard-response","46","59276","0.0-4.0-0.7",""
"null","snd/me2_0.wav","null","audio-keyboard-response","47","59531","0.0-4.0-1.7",""
"null","snd/me2_0.wav","null","audio-keyboard-response","48","60286","0.0-4.0-2.7-0.7",""
"390","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","html-keyboard-response","49","60677","0.0-4.0-2.7-1.7",""
"2031","","","survey-text","50","62709","0.0-4.0-3.7","{""Q0"":""me""}"
"1010","snd/me2_0.wav","55","audio-keyboard-response","51","63717","0.0-4.0-4.7",""
"null","<p>next syllable</p>","null","html-keyboard-response","52","64727","0.0-4.0-0.8",""
"null","snd/ma.wav","null","audio-keyboard-response","53","64982","0.0-4.0-1.8",""
"null","snd/ma.wav","null","audio-keyboard-response","54","65743","0.0-4.0-2.8-0.8",""
"278","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","html-keyboard-response","55","66021","0.0-4.0-2.8-1.8",""
"4639","","","survey-text","56","70661","0.0-4.0-3.8","{""Q0"":""ma""}"
"998","snd/ma.wav","55","audio-keyboard-response","57","71661","0.0-4.0-4.8",""
"null","<p>next syllable</p>","null","html-keyboard-response","58","72664","0.0-4.0-0.9",""
"null","snd/ke.wav","null","audio-keyboard-response","59","72918","0.0-4.0-1.9",""
"null","snd/ke.wav","null","audio-keyboard-response","60","73678","0.0-4.0-2.9-0.9",""
"438","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","html-keyboard-response","61","74117","0.0-4.0-2.9-1.9",""
"2959","","","survey-text","62","77078","0.0-4.0-3.9","{""Q0"":""ke""}"
"1579","snd/ke.wav","55","audio-keyboard-response","63","78654","0.0-4.0-4.9",""
"null","<p>next syllable</p>","null","html-keyboard-response","64","79664","0.0-4.0-0.10",""
"null","snd/la.wav","null","audio-keyboard-response","65","79919","0.0-4.0-1.10",""
"null","snd/la.wav","null","audio-keyboard-response","66","80680","0.0-4.0-2.10-0.10",""
"325","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","html-keyboard-response","67","81005","0.0-4.0-2.10-1.10",""
"2119","","","survey-text","68","83125","0.0-4.0-3.10","{""Q0"":""la""}"
"1503","snd/la.wav","55","audio-keyboard-response","69","84630","0.0-4.0-4.10",""
"null","<p>next syllable</p>","null","html-keyboard-response","70","85637","0.0-4.0-0.11",""
"null","snd/ta2_1.wav","null","audio-keyboard-response","71","85892","0.0-4.0-1.11",""
"null","snd/ta2_1.wav","null","audio-keyboard-response","72","86653","0.0-4.0-2.11-0.11",""
"1353","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","html-keyboard-response","73","88007","0.0-4.0-2.11-1.11",""
"3758","","","survey-text","74","91766","0.0-4.0-3.11","{""Q0"":""ta""}"
"1033","snd/ta2_1.wav","55","audio-keyboard-response","75","92798","0.0-4.0-4.11",""
"null","<p>next syllable</p>","null","html-keyboard-response","76","93799","0.0-4.0-0.12",""
"null","snd/fa.wav","null","audio-keyboard-response","77","94049","0.0-4.0-1.12",""
"null","snd/fa.wav","null","audio-keyboard-response","78","94798","0.0-4.0-2.12-0.12",""
"312","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","html-keyboard-response","79","95110","0.0-4.0-2.12-1.12",""
"1799","","","survey-text","80","96910","0.0-4.0-3.12","{""Q0"":""fa""}"
