"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"35443","ad.html","external-html","0","35728","0.0-0.0","MT-A1OL6SGGVGXH5J","","","","",""
"8733","","instructions","1","44463","0.0-1.0","MT-A1OL6SGGVGXH5J","[{""page_index"":0,""viewing_time"":8731}]","","","",""
"7769","","survey-multi-select","2","54254","0.0-2.0","MT-A1OL6SGGVGXH5J","","{""Q0"":[""Other""]}","","",""
"3781","","html-keyboard-response","3","58040","0.0-3.0","MT-A1OL6SGGVGXH5J","","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","83",""
"null","","html-keyboard-response","4","58544","0.0-4.0-0.0","MT-A1OL6SGGVGXH5J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","5","58845","0.0-4.0-1.0","MT-A1OL6SGGVGXH5J","","","snd/fu.wav","null",""
"null","","audio-keyboard-response","6","59594","0.0-4.0-2.0-0.0","MT-A1OL6SGGVGXH5J","","","snd/fu.wav","null",""
"6197","","html-keyboard-response","7","65793","0.0-4.0-2.0-1.0","MT-A1OL6SGGVGXH5J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","71",""
"54292","","survey-text","8","120088","0.0-4.0-3.0","MT-A1OL6SGGVGXH5J","","{""Q0"":""any other""}","","",""
"4540","","audio-keyboard-response","9","124679","0.0-4.0-4.0","MT-A1OL6SGGVGXH5J","","","snd/fu.wav","54","typicality"
"null","","html-keyboard-response","10","125686","0.0-4.0-0.1","MT-A1OL6SGGVGXH5J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","11","125954","0.0-4.0-1.1","MT-A1OL6SGGVGXH5J","","","snd/to.wav","null",""
"null","","audio-keyboard-response","12","126707","0.0-4.0-2.1-0.1","MT-A1OL6SGGVGXH5J","","","snd/to.wav","null",""
"1778","","html-keyboard-response","13","128485","0.0-4.0-2.1-1.1","MT-A1OL6SGGVGXH5J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","13",""
"3185","","survey-text","14","131671","0.0-4.0-3.1","MT-A1OL6SGGVGXH5J","","{""Q0"":""any other""}","","",""
"1065","","audio-keyboard-response","15","132763","0.0-4.0-4.1","MT-A1OL6SGGVGXH5J","","","snd/to.wav","52","typicality"
"null","","html-keyboard-response","16","133765","0.0-4.0-0.2","MT-A1OL6SGGVGXH5J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","17","134012","0.0-4.0-1.2","MT-A1OL6SGGVGXH5J","","","snd/me2_0.wav","null",""
"null","","audio-keyboard-response","18","134764","0.0-4.0-2.2-0.2","MT-A1OL6SGGVGXH5J","","","snd/me2_0.wav","null",""
"463","","html-keyboard-response","19","135229","0.0-4.0-2.2-1.2","MT-A1OL6SGGVGXH5J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"1964","","survey-text","20","137195","0.0-4.0-3.2","MT-A1OL6SGGVGXH5J","","{""Q0"":""any other""}","","",""
"1036","","audio-keyboard-response","21","138235","0.0-4.0-4.2","MT-A1OL6SGGVGXH5J","","","snd/me2_0.wav","52","typicality"
"null","","html-keyboard-response","22","139237","0.0-4.0-0.3","MT-A1OL6SGGVGXH5J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","23","139488","0.0-4.0-1.3","MT-A1OL6SGGVGXH5J","","","snd/ni.wav","null",""
"null","","audio-keyboard-response","24","140239","0.0-4.0-2.3-0.3","MT-A1OL6SGGVGXH5J","","","snd/ni.wav","null",""
"714","","html-keyboard-response","25","140955","0.0-4.0-2.3-1.3","MT-A1OL6SGGVGXH5J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"2298","","survey-text","26","143254","0.0-4.0-3.3","MT-A1OL6SGGVGXH5J","","{""Q0"":""any other1""}","","",""
"1158","","audio-keyboard-response","27","144406","0.0-4.0-4.3","MT-A1OL6SGGVGXH5J","","","snd/ni.wav","52","typicality"
"null","","html-keyboard-response","28","145407","0.0-4.0-0.4","MT-A1OL6SGGVGXH5J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","29","145655","0.0-4.0-1.4","MT-A1OL6SGGVGXH5J","","","snd/fe.wav","null",""
"null","","audio-keyboard-response","30","146407","0.0-4.0-2.4-0.4","MT-A1OL6SGGVGXH5J","","","snd/fe.wav","null",""
"3939","","html-keyboard-response","31","150347","0.0-4.0-2.4-1.4","MT-A1OL6SGGVGXH5J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","13",""
"2825","","survey-text","32","153173","0.0-4.0-3.4","MT-A1OL6SGGVGXH5J","","{""Q0"":""any other""}","","",""
"2223","","audio-keyboard-response","33","155445","0.0-4.0-4.4","MT-A1OL6SGGVGXH5J","","","snd/fe.wav","54","typicality"
"null","","html-keyboard-response","34","156447","0.0-4.0-0.5","MT-A1OL6SGGVGXH5J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","35","156662","0.0-4.0-1.5","MT-A1OL6SGGVGXH5J","","","snd/ti.wav","null",""
"null","","audio-keyboard-response","36","157379","0.0-4.0-2.5-0.5","MT-A1OL6SGGVGXH5J","","","snd/ti.wav","null",""
"224","","html-keyboard-response","37","157605","0.0-4.0-2.5-1.5","MT-A1OL6SGGVGXH5J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","13",""
"2450","","survey-text","38","160056","0.0-4.0-3.5","MT-A1OL6SGGVGXH5J","","{""Q0"":""any other""}","","",""
"1057","","audio-keyboard-response","39","161112","0.0-4.0-4.5","MT-A1OL6SGGVGXH5J","","","snd/ti.wav","54","typicality"
"null","","html-keyboard-response","40","162116","0.0-4.0-0.6","MT-A1OL6SGGVGXH5J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","41","162370","0.0-4.0-1.6","MT-A1OL6SGGVGXH5J","","","snd/lo.wav","null",""
