"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"7452","ad.html","external-html","0","7584","0.0-0.0","MT-A3LPHYONE222OY","69.172.201.153","US","","","","","","",""
"45463","","instructions","1","53049","0.0-1.0","MT-A3LPHYONE222OY","69.172.201.153","US","[{""page_index"":0,""viewing_time"":45461}]","","","","","",""
"4979","","audio-keyboard-response","2","60033","0.0-2.0","MT-A3LPHYONE222OY","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"5060","","survey-multi-select","3","65097","0.0-3.0","MT-A3LPHYONE222OY","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"24348","","html-keyboard-response","4","89446","0.0-4.0","MT-A3LPHYONE222OY","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","89948","0.0-5.0-0.0","MT-A3LPHYONE222OY","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","90206","0.0-5.0-1.0","MT-A3LPHYONE222OY","69.172.201.153","US","","snd/fe.wav","null","","","",""
"null","","audio-keyboard-response","7","90966","0.0-5.0-2.0-0.0","MT-A3LPHYONE222OY","69.172.201.153","US","","snd/fe.wav","null","","","",""
"5175","","html-keyboard-response","8","96143","0.0-5.0-2.0-1.0","MT-A3LPHYONE222OY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","96396","0.0-5.0-2.1-0.1","MT-A3LPHYONE222OY","69.172.201.153","US","","snd/fe.wav","null","","","",""
"4136","","html-keyboard-response","10","100533","0.0-5.0-2.1-1.1","MT-A3LPHYONE222OY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"7831","","survey-text","11","108365","0.0-5.0-3.0","MT-A3LPHYONE222OY","69.172.201.153","US","","","","","","{""Q0"":""fay""}",""
"7232","","audio-keyboard-response","12","115585","0.0-5.0-4.0","MT-A3LPHYONE222OY","69.172.201.153","US","","snd/fe.wav","54","","","","typicality"
"null","","html-keyboard-response","13","116587","0.0-5.0-0.1","MT-A3LPHYONE222OY","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
