"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"1281","ad.html","external-html","0","1646","0.0-0.0","MT-ACHQIF760VSES","","","","",""
"5374","","instructions","1","7024","0.0-1.0","MT-ACHQIF760VSES","[{""page_index"":0,""viewing_time"":5371}]","","","",""
"3461","","survey-multi-select","2","12503","0.0-2.0","MT-ACHQIF760VSES","","{""Q0"":[""Other""]}","","",""
"16447","","html-keyboard-response","3","28955","0.0-3.0","MT-ACHQIF760VSES","","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32",""
"null","","html-keyboard-response","4","29458","0.0-4.0-0.0","MT-ACHQIF760VSES","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","5","29716","0.0-4.0-1.0","MT-ACHQIF760VSES","","","snd/la.wav","null",""
"null","","audio-keyboard-response","6","30467","0.0-4.0-2.0-0.0","MT-ACHQIF760VSES","","","snd/la.wav","null",""
"3861","","html-keyboard-response","7","34330","0.0-4.0-2.0-1.0","MT-ACHQIF760VSES","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"3003","","survey-text","8","37338","0.0-4.0-3.0","MT-ACHQIF760VSES","","{""Q0"":""maths""}","","",""
"4867","","audio-keyboard-response","9","42202","0.0-4.0-4.0","MT-ACHQIF760VSES","","","snd/la.wav","54","typicality"
"null","","html-keyboard-response","10","43205","0.0-4.0-0.1","MT-ACHQIF760VSES","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","11","43460","0.0-4.0-1.1","MT-ACHQIF760VSES","","","snd/ma.wav","null",""
"null","","audio-keyboard-response","12","44212","0.0-4.0-2.1-0.1","MT-ACHQIF760VSES","","","snd/ma.wav","null",""
"2742","","html-keyboard-response","13","46955","0.0-4.0-2.1-1.1","MT-ACHQIF760VSES","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","78",""
"3326","","survey-text","14","50283","0.0-4.0-3.1","MT-ACHQIF760VSES","","{""Q0"":""social""}","","",""
"3283","","audio-keyboard-response","15","53562","0.0-4.0-4.1","MT-ACHQIF760VSES","","","snd/ma.wav","52","typicality"
"null","","html-keyboard-response","16","54603","0.0-4.0-0.2","MT-ACHQIF760VSES","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","17","54858","0.0-4.0-1.2","MT-ACHQIF760VSES","","","snd/no.wav","null",""
"null","","audio-keyboard-response","18","55615","0.0-4.0-2.2-0.2","MT-ACHQIF760VSES","","","snd/no.wav","null",""
"1561","","html-keyboard-response","19","57178","0.0-4.0-2.2-1.2","MT-ACHQIF760VSES","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","66",""
"55104","","survey-text","20","112284","0.0-4.0-3.2","MT-ACHQIF760VSES","","{""Q0"":""algebra""}","","",""
