"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"1310","ad.html","external-html","0","1581","0.0-0.0","MT-AIXTI8PKSX1D2","","","","",""
"3580","","instructions","1","5164","0.0-1.0","MT-AIXTI8PKSX1D2","[{""page_index"":0,""viewing_time"":3578}]","","","",""
"3390","","survey-multi-select","2","10582","0.0-2.0","MT-AIXTI8PKSX1D2","","{""Q0"":[""English""]}","","",""
"2341","","html-keyboard-response","3","12930","0.0-3.0","MT-AIXTI8PKSX1D2","","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32",""
"null","","html-keyboard-response","4","13434","0.0-4.0-0.0","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","5","13805","0.0-4.0-1.0","MT-AIXTI8PKSX1D2","","","snd/ta2_1.wav","null",""
"null","","audio-keyboard-response","6","14556","0.0-4.0-2.0-0.0","MT-AIXTI8PKSX1D2","","","snd/ta2_1.wav","null",""
"2111","","html-keyboard-response","7","16667","0.0-4.0-2.0-1.0","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"4866","","survey-text","8","21539","0.0-4.0-3.0","MT-AIXTI8PKSX1D2","","{""Q0"":""Na""}","","",""
"146939","","audio-keyboard-response","9","180570","0.0-4.0-4.0","MT-AIXTI8PKSX1D2","","","snd/ta2_1.wav","55","typicality"
"null","","html-keyboard-response","10","181574","0.0-4.0-0.1","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","11","182362","0.0-4.0-1.1","MT-AIXTI8PKSX1D2","","","snd/la.wav","null",""
"null","","audio-keyboard-response","12","183122","0.0-4.0-2.1-0.1","MT-AIXTI8PKSX1D2","","","snd/la.wav","null",""
"583","","html-keyboard-response","13","183705","0.0-4.0-2.1-1.1","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","56",""
"19792","","survey-text","14","203499","0.0-4.0-3.1","MT-AIXTI8PKSX1D2","","{""Q0"":""you""}","","",""
"3189","","audio-keyboard-response","15","206698","0.0-4.0-4.1","MT-AIXTI8PKSX1D2","","","snd/la.wav","55","typicality"
"null","","html-keyboard-response","16","207703","0.0-4.0-0.2","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","17","207962","0.0-4.0-1.2","MT-AIXTI8PKSX1D2","","","snd/lo.wav","null",""
"null","","audio-keyboard-response","18","208723","0.0-4.0-2.2-0.2","MT-AIXTI8PKSX1D2","","","snd/lo.wav","null",""
"3222","","html-keyboard-response","19","211945","0.0-4.0-2.2-1.2","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","20","212207","0.0-4.0-2.3-0.3","MT-AIXTI8PKSX1D2","","","snd/lo.wav","null",""
"768","","html-keyboard-response","21","212977","0.0-4.0-2.3-1.3","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"26775","","survey-text","22","239754","0.0-4.0-3.2","MT-AIXTI8PKSX1D2","","{""Q0"":""woman""}","","",""
"3731","","audio-keyboard-response","23","243482","0.0-4.0-4.2","MT-AIXTI8PKSX1D2","","","snd/lo.wav","54","typicality"
"null","","html-keyboard-response","24","244483","0.0-4.0-0.3","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","25","244733","0.0-4.0-1.3","MT-AIXTI8PKSX1D2","","","snd/ka.wav","null",""
"null","","audio-keyboard-response","26","245481","0.0-4.0-2.4-0.4","MT-AIXTI8PKSX1D2","","","snd/ka.wav","null",""
