"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"1352","ad.html","external-html","0","1459","0.0-0.0","MT-AKON4ZPGX5DYQ","","","","",""
"6422","","instructions","1","7883","0.0-1.0","MT-AKON4ZPGX5DYQ","[{""page_index"":0,""viewing_time"":6421}]","","","",""
"17400","","survey-multi-select","2","27298","0.0-2.0","MT-AKON4ZPGX5DYQ","","{""Q0"":[""English""]}","","",""
"185910","","html-keyboard-response","3","213212","0.0-3.0","MT-AKON4ZPGX5DYQ","","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","71",""
"null","","html-keyboard-response","4","213719","0.0-4.0-0.0","MT-AKON4ZPGX5DYQ","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","5","214001","0.0-4.0-1.0","MT-AKON4ZPGX5DYQ","","","snd/me2_0.wav","null",""
"null","","audio-keyboard-response","6","214750","0.0-4.0-2.0-0.0","MT-AKON4ZPGX5DYQ","","","snd/me2_0.wav","null",""
"15643","","html-keyboard-response","7","230394","0.0-4.0-2.0-1.0","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","8","230640","0.0-4.0-2.1-0.1","MT-AKON4ZPGX5DYQ","","","snd/me2_0.wav","null",""
"1481","","html-keyboard-response","9","232122","0.0-4.0-2.1-1.1","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","10","232370","0.0-4.0-2.2-0.2","MT-AKON4ZPGX5DYQ","","","snd/me2_0.wav","null",""
"351","","html-keyboard-response","11","232722","0.0-4.0-2.2-1.2","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","78",""
"2604","","survey-text","12","235327","0.0-4.0-3.0","MT-AKON4ZPGX5DYQ","","{""Q0"":""me""}","","",""
"3171","","audio-keyboard-response","13","238498","0.0-4.0-4.0","MT-AKON4ZPGX5DYQ","","","snd/me2_0.wav","55","typicality"
"null","","html-keyboard-response","14","239500","0.0-4.0-0.1","MT-AKON4ZPGX5DYQ","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","15","239749","0.0-4.0-1.1","MT-AKON4ZPGX5DYQ","","","snd/fu.wav","null",""
"null","","audio-keyboard-response","16","240509","0.0-4.0-2.3-0.3","MT-AKON4ZPGX5DYQ","","","snd/fu.wav","null",""
"949","","html-keyboard-response","17","241458","0.0-4.0-2.3-1.3","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","18","241709","0.0-4.0-2.4-0.4","MT-AKON4ZPGX5DYQ","","","snd/fu.wav","null",""
"2052","","html-keyboard-response","19","243761","0.0-4.0-2.4-1.4","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","20","244009","0.0-4.0-2.5-0.5","MT-AKON4ZPGX5DYQ","","","snd/fu.wav","null",""
"752","","html-keyboard-response","21","244761","0.0-4.0-2.5-1.5","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","66",""
"3612","","survey-text","22","248375","0.0-4.0-3.1","MT-AKON4ZPGX5DYQ","","{""Q0"":""boop""}","","",""
"2408","","audio-keyboard-response","23","250785","0.0-4.0-4.1","MT-AKON4ZPGX5DYQ","","","snd/fu.wav","50","typicality"
"null","","html-keyboard-response","24","251786","0.0-4.0-0.2","MT-AKON4ZPGX5DYQ","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","25","252028","0.0-4.0-1.2","MT-AKON4ZPGX5DYQ","","","snd/fe.wav","null",""
"null","","audio-keyboard-response","26","252778","0.0-4.0-2.6-0.6","MT-AKON4ZPGX5DYQ","","","snd/fe.wav","null",""
"1935","","html-keyboard-response","27","254713","0.0-4.0-2.6-1.6","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","28","254959","0.0-4.0-2.7-0.7","MT-AKON4ZPGX5DYQ","","","snd/fe.wav","null",""
"2449","","html-keyboard-response","29","257408","0.0-4.0-2.7-1.7","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","30","257658","0.0-4.0-2.8-0.8","MT-AKON4ZPGX5DYQ","","","snd/fe.wav","null",""
"1166","","html-keyboard-response","31","258824","0.0-4.0-2.8-1.8","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","66",""
"2853","","survey-text","32","261678","0.0-4.0-3.2","MT-AKON4ZPGX5DYQ","","{""Q0"":""be""}","","",""
"1291","","audio-keyboard-response","33","262968","0.0-4.0-4.2","MT-AKON4ZPGX5DYQ","","","snd/fe.wav","54","typicality"
"null","","html-keyboard-response","34","263973","0.0-4.0-0.3","MT-AKON4ZPGX5DYQ","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","35","264228","0.0-4.0-1.3","MT-AKON4ZPGX5DYQ","","","snd/to.wav","null",""
"null","","audio-keyboard-response","36","264988","0.0-4.0-2.9-0.9","MT-AKON4ZPGX5DYQ","","","snd/to.wav","null",""
"812","","html-keyboard-response","37","265801","0.0-4.0-2.9-1.9","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","38","266048","0.0-4.0-2.10-0.10","MT-AKON4ZPGX5DYQ","","","snd/to.wav","null",""
"656","","html-keyboard-response","39","266704","0.0-4.0-2.10-1.10","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","40","266948","0.0-4.0-2.11-0.11","MT-AKON4ZPGX5DYQ","","","snd/to.wav","null",""
"676","","html-keyboard-response","41","267624","0.0-4.0-2.11-1.11","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","42","267867","0.0-4.0-2.12-0.12","MT-AKON4ZPGX5DYQ","","","snd/to.wav","null",""
"475","","html-keyboard-response","43","268344","0.0-4.0-2.12-1.12","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","66",""
"2840","","survey-text","44","271184","0.0-4.0-3.3","MT-AKON4ZPGX5DYQ","","{""Q0"":""ping""}","","",""
"1632","","audio-keyboard-response","45","272810","0.0-4.0-4.3","MT-AKON4ZPGX5DYQ","","","snd/to.wav","51","typicality"
"null","","html-keyboard-response","46","273812","0.0-4.0-0.4","MT-AKON4ZPGX5DYQ","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","47","274040","0.0-4.0-1.4","MT-AKON4ZPGX5DYQ","","","snd/ti.wav","null",""
"null","","audio-keyboard-response","48","274760","0.0-4.0-2.13-0.13","MT-AKON4ZPGX5DYQ","","","snd/ti.wav","null",""
"850","","html-keyboard-response","49","275610","0.0-4.0-2.13-1.13","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","50","275840","0.0-4.0-2.14-0.14","MT-AKON4ZPGX5DYQ","","","snd/ti.wav","null",""
"1730","","html-keyboard-response","51","277570","0.0-4.0-2.14-1.14","MT-AKON4ZPGX5DYQ","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70",""
"4228","","survey-text","52","281800","0.0-4.0-3.4","MT-AKON4ZPGX5DYQ","","{""Q0"":""beep""}","","",""
"2200","","audio-keyboard-response","53","284002","0.0-4.0-4.4","MT-AKON4ZPGX5DYQ","","","snd/ti.wav","54","typicality"
"null","","html-keyboard-response","54","285004","0.0-4.0-0.5","MT-AKON4ZPGX5DYQ","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","55","285250","0.0-4.0-1.5","MT-AKON4ZPGX5DYQ","","","snd/si1_0.wav","null",""
"null","","audio-keyboard-response","56","286000","0.0-4.0-2.15-0.15","MT-AKON4ZPGX5DYQ","","","snd/si1_0.wav","null",""
