"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"1652","ad.html","external-html","0","1926","0.0-0.0","MT-AMD5AS2ZWVTTK","","","","",""
"10094","","instructions","1","12030","0.0-1.0","MT-AMD5AS2ZWVTTK","[{""page_index"":0,""viewing_time"":10090}]","","","",""
"2402","","survey-multi-select","2","16463","0.0-2.0","MT-AMD5AS2ZWVTTK","","{""Q0"":[""English""]}","","",""
"2957","","html-keyboard-response","3","19426","0.0-3.0","MT-AMD5AS2ZWVTTK","","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32",""
"null","","html-keyboard-response","4","19929","0.0-4.0-0.0","MT-AMD5AS2ZWVTTK","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","5","20187","0.0-4.0-1.0","MT-AMD5AS2ZWVTTK","","","snd/fu.wav","null",""
"null","","audio-keyboard-response","6","20938","0.0-4.0-2.0-0.0","MT-AMD5AS2ZWVTTK","","","snd/fu.wav","null",""
"2801","","html-keyboard-response","7","23741","0.0-4.0-2.0-1.0","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","8","23996","0.0-4.0-2.1-0.1","MT-AMD5AS2ZWVTTK","","","snd/fu.wav","null",""
"1438","","html-keyboard-response","9","25435","0.0-4.0-2.1-1.1","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","10","25689","0.0-4.0-2.2-0.2","MT-AMD5AS2ZWVTTK","","","snd/fu.wav","null",""
"230","","html-keyboard-response","11","25919","0.0-4.0-2.2-1.2","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","12","26170","0.0-4.0-2.3-0.3","MT-AMD5AS2ZWVTTK","","","snd/fu.wav","null",""
"9","","html-keyboard-response","13","26179","0.0-4.0-2.3-1.3","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","14","26429","0.0-4.0-2.4-0.4","MT-AMD5AS2ZWVTTK","","","snd/fu.wav","null",""
"45","","html-keyboard-response","15","26475","0.0-4.0-2.4-1.4","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","16","26729","0.0-4.0-2.5-0.5","MT-AMD5AS2ZWVTTK","","","snd/fu.wav","null",""
"340","","html-keyboard-response","17","27069","0.0-4.0-2.5-1.5","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","18","27333","0.0-4.0-2.6-0.6","MT-AMD5AS2ZWVTTK","","","snd/fu.wav","null",""
"388","","html-keyboard-response","19","27723","0.0-4.0-2.6-1.6","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","20","27968","0.0-4.0-2.7-0.7","MT-AMD5AS2ZWVTTK","","","snd/fu.wav","null",""
"259","","html-keyboard-response","21","28228","0.0-4.0-2.7-1.7","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","22","28479","0.0-4.0-2.8-0.8","MT-AMD5AS2ZWVTTK","","","snd/fu.wav","null",""
"150","","html-keyboard-response","23","28629","0.0-4.0-2.8-1.8","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","24","28879","0.0-4.0-2.9-0.9","MT-AMD5AS2ZWVTTK","","","snd/fu.wav","null",""
"120","","html-keyboard-response","25","28999","0.0-4.0-2.9-1.9","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","26","29242","0.0-4.0-2.10-0.10","MT-AMD5AS2ZWVTTK","","","snd/fu.wav","null",""
"41","","html-keyboard-response","27","29283","0.0-4.0-2.10-1.10","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","28","29529","0.0-4.0-2.11-0.11","MT-AMD5AS2ZWVTTK","","","snd/fu.wav","null",""
"440","","html-keyboard-response","29","29969","0.0-4.0-2.11-1.11","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","86",""
"13702","","survey-text","30","43671","0.0-4.0-3.0","MT-AMD5AS2ZWVTTK","","{""Q0"":""R IS CONTINUE\\""}","","",""
"16385","","audio-keyboard-response","31","60067","0.0-4.0-4.0","MT-AMD5AS2ZWVTTK","","","snd/fu.wav","52","typicality"
"null","","html-keyboard-response","32","61069","0.0-4.0-0.1","MT-AMD5AS2ZWVTTK","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","33","61312","0.0-4.0-1.1","MT-AMD5AS2ZWVTTK","","","snd/ni.wav","null",""
"null","","audio-keyboard-response","34","62061","0.0-4.0-2.12-0.12","MT-AMD5AS2ZWVTTK","","","snd/ni.wav","null",""
"1886","","html-keyboard-response","35","63947","0.0-4.0-2.12-1.12","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","36","64204","0.0-4.0-2.13-0.13","MT-AMD5AS2ZWVTTK","","","snd/ni.wav","null",""
"446","","html-keyboard-response","37","64651","0.0-4.0-2.13-1.13","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"5498","","survey-text","38","70150","0.0-4.0-3.1","MT-AMD5AS2ZWVTTK","","{""Q0"":""3""}","","",""
"8768","","audio-keyboard-response","39","78917","0.0-4.0-4.1","MT-AMD5AS2ZWVTTK","","","snd/ni.wav","51","typicality"
"null","","html-keyboard-response","40","79918","0.0-4.0-0.2","MT-AMD5AS2ZWVTTK","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","41","80173","0.0-4.0-1.2","MT-AMD5AS2ZWVTTK","","","snd/fa.wav","null",""
"null","","audio-keyboard-response","42","80925","0.0-4.0-2.14-0.14","MT-AMD5AS2ZWVTTK","","","snd/fa.wav","null",""
"1228","","html-keyboard-response","43","82153","0.0-4.0-2.14-1.14","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","44","82399","0.0-4.0-2.15-0.15","MT-AMD5AS2ZWVTTK","","","snd/fa.wav","null",""
"993","","html-keyboard-response","45","83403","0.0-4.0-2.15-1.15","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","46","83655","0.0-4.0-2.16-0.16","MT-AMD5AS2ZWVTTK","","","snd/fa.wav","null",""
"3588","","html-keyboard-response","47","87243","0.0-4.0-2.16-1.16","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"8214","","survey-text","48","95459","0.0-4.0-3.2","MT-AMD5AS2ZWVTTK","","{""Q0"":""SCIENCE""}","","",""
"5230","","audio-keyboard-response","49","100696","0.0-4.0-4.2","MT-AMD5AS2ZWVTTK","","","snd/fa.wav","51","typicality"
"null","","html-keyboard-response","50","101697","0.0-4.0-0.3","MT-AMD5AS2ZWVTTK","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","51","101944","0.0-4.0-1.3","MT-AMD5AS2ZWVTTK","","","snd/ka.wav","null",""
"null","","audio-keyboard-response","52","102695","0.0-4.0-2.17-0.17","MT-AMD5AS2ZWVTTK","","","snd/ka.wav","null",""
"1764","","html-keyboard-response","53","104460","0.0-4.0-2.17-1.17","MT-AMD5AS2ZWVTTK","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
