"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1016","ad.html","external-html","0","1099","0.0-0.0","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","","","","","",""
"22496","","instructions","1","23596","0.0-1.0","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","[{""page_index"":0,""viewing_time"":22495}]","","","","","",""
"3200","","audio-keyboard-response","2","28803","0.0-2.0","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2990","","survey-multi-select","3","31802","0.0-3.0","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"2848","","html-keyboard-response","4","34652","0.0-4.0","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","35155","0.0-5.0-0.0","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","35409","0.0-5.0-1.0","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/ke.wav","null","","","",""
"null","","audio-keyboard-response","7","36169","0.0-5.0-2.0-0.0","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/ke.wav","null","","","",""
"3816","","html-keyboard-response","8","39986","0.0-5.0-2.0-1.0","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"16791","","survey-text","9","56779","0.0-5.0-3.0","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","","","","","{""Q0"":""kay""}",""
"3640","","audio-keyboard-response","10","60426","0.0-5.0-4.0","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/ke.wav","50","","","","typicality"
"null","","html-keyboard-response","11","61430","0.0-5.0-0.1","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","61658","0.0-5.0-1.1","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/ti.wav","null","","","",""
"null","","audio-keyboard-response","13","62389","0.0-5.0-2.1-0.1","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/ti.wav","null","","","",""
"1924","","html-keyboard-response","14","64314","0.0-5.0-2.1-1.1","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"2605","","survey-text","15","66920","0.0-5.0-3.1","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","","","","","{""Q0"":""dee""}",""
"2360","","audio-keyboard-response","16","69282","0.0-5.0-4.1","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/ti.wav","54","","","","typicality"
"null","","html-keyboard-response","17","70283","0.0-5.0-0.2","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","18","70528","0.0-5.0-1.2","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"null","","audio-keyboard-response","19","71278","0.0-5.0-2.2-0.2","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"1219","","html-keyboard-response","20","72498","0.0-5.0-2.2-1.2","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"4175","","survey-text","21","76673","0.0-5.0-3.2","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","","","","","{""Q0"":""meh""}",""
"1470","","audio-keyboard-response","22","78145","0.0-5.0-4.2","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/me2_0.wav","55","","","","typicality"
"null","","html-keyboard-response","23","79147","0.0-5.0-0.3","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","24","79408","0.0-5.0-1.3","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/la.wav","null","","","",""
"null","","audio-keyboard-response","25","80168","0.0-5.0-2.3-0.3","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/la.wav","null","","","",""
"3544","","html-keyboard-response","26","83713","0.0-5.0-2.3-1.3","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3108","","survey-text","27","86822","0.0-5.0-3.3","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","","","","","{""Q0"":""la""}",""
"1270","","audio-keyboard-response","28","88089","0.0-5.0-4.3","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/la.wav","55","","","","typicality"
"null","","html-keyboard-response","29","89092","0.0-5.0-0.4","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","30","89338","0.0-5.0-1.4","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/ku.wav","null","","","",""
"null","","audio-keyboard-response","31","90088","0.0-5.0-2.4-0.4","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/ku.wav","null","","","",""
"1233","","html-keyboard-response","32","91321","0.0-5.0-2.4-1.4","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"10788","","survey-text","33","102110","0.0-5.0-3.4","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","","","","","{""Q0"":""ku""}",""
"2140","","audio-keyboard-response","34","104257","0.0-5.0-4.4","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/ku.wav","53","","","","typicality"
"null","","html-keyboard-response","35","105260","0.0-5.0-0.5","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","36","105518","0.0-5.0-1.5","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/no.wav","null","","","",""
"null","","audio-keyboard-response","37","106278","0.0-5.0-2.5-0.5","MT-A0017268R9SKD8U2Y3F","69.172.201.153","US","","snd/no.wav","null","","","",""
