"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"8814","ad.html","external-html","0","8929","0.0-0.0","MT-A15XX0WDRG29E7","69.172.201.153","US","","","","","","",""
"22000","","instructions","1","30930","0.0-1.0","MT-A15XX0WDRG29E7","69.172.201.153","US","[{""page_index"":0,""viewing_time"":22000}]","","","","","",""
"4779","","audio-keyboard-response","2","37713","0.0-2.0","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"3268","","survey-multi-select","3","40985","0.0-3.0","MT-A15XX0WDRG29E7","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"14630","","html-keyboard-response","4","55617","0.0-4.0","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","56122","0.0-5.0-0.0","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","56371","0.0-5.0-1.0","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"null","","audio-keyboard-response","7","57121","0.0-5.0-2.0-0.0","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"5192","","html-keyboard-response","8","62313","0.0-5.0-2.0-1.0","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","62562","0.0-5.0-2.1-0.1","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"911","","html-keyboard-response","10","63473","0.0-5.0-2.1-1.1","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","11","63722","0.0-5.0-2.2-0.2","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"791","","html-keyboard-response","12","64513","0.0-5.0-2.2-1.2","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","13","64762","0.0-5.0-2.3-0.3","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"1799","","html-keyboard-response","14","66561","0.0-5.0-2.3-1.3","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","65","","","",""
"11375","","survey-text","15","77937","0.0-5.0-3.0","MT-A15XX0WDRG29E7","69.172.201.153","US","","","","","","{""Q0"":""lo""}",""
"3739","","audio-keyboard-response","16","81681","0.0-5.0-4.0","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/mu1_0.wav","50","","","","typicality"
"null","","html-keyboard-response","17","82684","0.0-5.0-0.1","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","18","82932","0.0-5.0-1.1","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"null","","audio-keyboard-response","19","83682","0.0-5.0-2.4-0.4","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"1688","","html-keyboard-response","20","85370","0.0-5.0-2.4-1.4","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","21","85612","0.0-5.0-2.5-0.5","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"437","","html-keyboard-response","22","86049","0.0-5.0-2.5-1.5","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","23","86292","0.0-5.0-2.6-0.6","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"2133","","html-keyboard-response","24","88426","0.0-5.0-2.6-1.6","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","65","","","",""
"2815","","survey-text","25","91241","0.0-5.0-3.1","MT-A15XX0WDRG29E7","69.172.201.153","US","","","","","","{""Q0"":""be""}",""
"3451","","audio-keyboard-response","26","94697","0.0-5.0-4.1","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/pe2_1.wav","55","","","","typicality"
"null","","html-keyboard-response","27","95733","0.0-5.0-0.2","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","28","95982","0.0-5.0-1.2","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ni.wav","null","","","",""
"null","","audio-keyboard-response","29","96732","0.0-5.0-2.7-0.7","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ni.wav","null","","","",""
"1541","","html-keyboard-response","30","98273","0.0-5.0-2.7-1.7","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","31","98522","0.0-5.0-2.8-0.8","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ni.wav","null","","","",""
"831","","html-keyboard-response","32","99353","0.0-5.0-2.8-1.8","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","33","99602","0.0-5.0-2.9-0.9","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ni.wav","null","","","",""
"727","","html-keyboard-response","34","100329","0.0-5.0-2.9-1.9","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","65","","","",""
"3320","","survey-text","35","103649","0.0-5.0-3.2","MT-A15XX0WDRG29E7","69.172.201.153","US","","","","","","{""Q0"":""knee""}",""
"14749","","audio-keyboard-response","36","118393","0.0-5.0-4.2","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ni.wav","55","","","","typicality"
"null","","html-keyboard-response","37","119397","0.0-5.0-0.3","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","38","119642","0.0-5.0-1.3","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ku.wav","null","","","",""
"null","","audio-keyboard-response","39","120392","0.0-5.0-2.10-0.10","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ku.wav","null","","","",""
"2104","","html-keyboard-response","40","122496","0.0-5.0-2.10-1.10","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","41","122741","0.0-5.0-2.11-0.11","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ku.wav","null","","","",""
"579","","html-keyboard-response","42","123320","0.0-5.0-2.11-1.11","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","43","123561","0.0-5.0-2.12-0.12","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ku.wav","null","","","",""
"1207","","html-keyboard-response","44","124768","0.0-5.0-2.12-1.12","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","65","","","",""
"2215","","survey-text","45","126984","0.0-5.0-3.3","MT-A15XX0WDRG29E7","69.172.201.153","US","","","","","","{""Q0"":""who""}",""
"1200","","audio-keyboard-response","46","128184","0.0-5.0-4.3","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ku.wav","55","","","","typicality"
"null","","html-keyboard-response","47","129189","0.0-5.0-0.4","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","48","129441","0.0-5.0-1.4","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ke.wav","null","","","",""
"null","","audio-keyboard-response","49","130201","0.0-5.0-2.13-0.13","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ke.wav","null","","","",""
"1455","","html-keyboard-response","50","131656","0.0-5.0-2.13-1.13","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","51","131901","0.0-5.0-2.14-0.14","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ke.wav","null","","","",""
"387","","html-keyboard-response","52","132288","0.0-5.0-2.14-1.14","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","53","132531","0.0-5.0-2.15-0.15","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ke.wav","null","","","",""
"508","","html-keyboard-response","54","133040","0.0-5.0-2.15-1.15","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","55","133281","0.0-5.0-2.16-0.16","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ke.wav","null","","","",""
"319","","html-keyboard-response","56","133600","0.0-5.0-2.16-1.16","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","57","133841","0.0-5.0-2.17-0.17","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ke.wav","null","","","",""
"1447","","html-keyboard-response","58","135295","0.0-5.0-2.17-1.17","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","65","","","",""
"3504","","survey-text","59","138800","0.0-5.0-3.4","MT-A15XX0WDRG29E7","69.172.201.153","US","","","","","","{""Q0"":""ge""}",""
"909","","audio-keyboard-response","60","139712","0.0-5.0-4.4","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ke.wav","49","","","","typicality"
"null","","html-keyboard-response","61","140717","0.0-5.0-0.5","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","62","140971","0.0-5.0-1.5","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/la.wav","null","","","",""
"null","","audio-keyboard-response","63","141741","0.0-5.0-2.18-0.18","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/la.wav","null","","","",""
"1371","","html-keyboard-response","64","143112","0.0-5.0-2.18-1.18","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","65","143371","0.0-5.0-2.19-0.19","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/la.wav","null","","","",""
"397","","html-keyboard-response","66","143768","0.0-5.0-2.19-1.19","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","67","144021","0.0-5.0-2.20-0.20","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/la.wav","null","","","",""
"434","","html-keyboard-response","68","144456","0.0-5.0-2.20-1.20","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","65","","","",""
"1695","","survey-text","69","146152","0.0-5.0-3.5","MT-A15XX0WDRG29E7","69.172.201.153","US","","","","","","{""Q0"":""la""}",""
"1371","","audio-keyboard-response","70","147528","0.0-5.0-4.5","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/la.wav","55","","","","typicality"
"null","","html-keyboard-response","71","148536","0.0-5.0-0.6","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","72","148781","0.0-5.0-1.6","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/li.wav","null","","","",""
"null","","audio-keyboard-response","73","149531","0.0-5.0-2.21-0.21","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/li.wav","null","","","",""
"1214","","html-keyboard-response","74","150745","0.0-5.0-2.21-1.21","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","75","151001","0.0-5.0-2.22-0.22","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/li.wav","null","","","",""
"446","","html-keyboard-response","76","151449","0.0-5.0-2.22-1.22","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","77","151691","0.0-5.0-2.23-0.23","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/li.wav","null","","","",""
"445","","html-keyboard-response","78","152137","0.0-5.0-2.23-1.23","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","","","",""
"2937","","survey-text","79","155074","0.0-5.0-3.6","MT-A15XX0WDRG29E7","69.172.201.153","US","","","","","","{""Q0"":""lee""}",""
"1960","","audio-keyboard-response","80","157032","0.0-5.0-4.6","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/li.wav","55","","","","typicality"
"null","","html-keyboard-response","81","158036","0.0-5.0-0.7","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","82","158281","0.0-5.0-1.7","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ta2_1.wav","null","","","",""
"null","","audio-keyboard-response","83","159041","0.0-5.0-2.24-0.24","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ta2_1.wav","null","","","",""
"1366","","html-keyboard-response","84","160408","0.0-5.0-2.24-1.24","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","65","","","",""
"2639","","survey-text","85","163048","0.0-5.0-3.7","MT-A15XX0WDRG29E7","69.172.201.153","US","","","","","","{""Q0"":""da""}",""
"1181","","audio-keyboard-response","86","164224","0.0-5.0-4.7","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/ta2_1.wav","55","","","","typicality"
"null","","html-keyboard-response","87","165228","0.0-5.0-0.8","MT-A15XX0WDRG29E7","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","88","165482","0.0-5.0-1.8","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"null","","audio-keyboard-response","89","166242","0.0-5.0-2.25-0.25","MT-A15XX0WDRG29E7","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
