"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"3561","ad.html","external-html","0","3731","0.0-0.0","MT-A16PLYF8XISLFX","","","","",""
"93130","","instructions","1","96862","0.0-1.0","MT-A16PLYF8XISLFX","[{""page_index"":0,""viewing_time"":93129}]","","","",""
"4917","","survey-multi-select","2","103785","0.0-2.0","MT-A16PLYF8XISLFX","","{""Q0"":[""English""]}","","",""
"8071","","html-keyboard-response","3","111858","0.0-3.0","MT-A16PLYF8XISLFX","","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32",""
"null","","html-keyboard-response","4","112361","0.0-4.0-0.0","MT-A16PLYF8XISLFX","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","5","112609","0.0-4.0-1.0","MT-A16PLYF8XISLFX","","","snd/ti.wav","null",""
"null","","audio-keyboard-response","6","113339","0.0-4.0-2.0-0.0","MT-A16PLYF8XISLFX","","","snd/ti.wav","null",""
"4125","","html-keyboard-response","7","117465","0.0-4.0-2.0-1.0","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"10816","","survey-text","8","128284","0.0-4.0-3.0","MT-A16PLYF8XISLFX","","{""Q0"":""p""}","","",""
"31760","","audio-keyboard-response","9","160023","0.0-4.0-4.0","MT-A16PLYF8XISLFX","","","snd/ti.wav","55","typicality"
"null","","html-keyboard-response","10","161027","0.0-4.0-0.1","MT-A16PLYF8XISLFX","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","11","161270","0.0-4.0-1.1","MT-A16PLYF8XISLFX","","","snd/ma.wav","null",""
"null","","audio-keyboard-response","12","162030","0.0-4.0-2.1-0.1","MT-A16PLYF8XISLFX","","","snd/ma.wav","null",""
"3686","","html-keyboard-response","13","165716","0.0-4.0-2.1-1.1","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","14","165970","0.0-4.0-2.2-0.2","MT-A16PLYF8XISLFX","","","snd/ma.wav","null",""
"1375","","html-keyboard-response","15","167345","0.0-4.0-2.2-1.2","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","16","167600","0.0-4.0-2.3-0.3","MT-A16PLYF8XISLFX","","","snd/ma.wav","null",""
"317","","html-keyboard-response","17","167917","0.0-4.0-2.3-1.3","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","18","168170","0.0-4.0-2.4-0.4","MT-A16PLYF8XISLFX","","","snd/ma.wav","null",""
"260","","html-keyboard-response","19","168430","0.0-4.0-2.4-1.4","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","20","168689","0.0-4.0-2.5-0.5","MT-A16PLYF8XISLFX","","","snd/ma.wav","null",""
"1788","","html-keyboard-response","21","170478","0.0-4.0-2.5-1.5","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"20500","","survey-text","22","190979","0.0-4.0-3.1","MT-A16PLYF8XISLFX","","{""Q0"":""a""}","","",""
"4411","","audio-keyboard-response","23","195393","0.0-4.0-4.1","MT-A16PLYF8XISLFX","","","snd/ma.wav","53","typicality"
"null","","html-keyboard-response","24","196399","0.0-4.0-0.2","MT-A16PLYF8XISLFX","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","25","196659","0.0-4.0-1.2","MT-A16PLYF8XISLFX","","","snd/no.wav","null",""
"null","","audio-keyboard-response","26","197420","0.0-4.0-2.6-0.6","MT-A16PLYF8XISLFX","","","snd/no.wav","null",""
"6602","","html-keyboard-response","27","204022","0.0-4.0-2.6-1.6","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","28","204280","0.0-4.0-2.7-0.7","MT-A16PLYF8XISLFX","","","snd/no.wav","null",""
"732","","html-keyboard-response","29","205012","0.0-4.0-2.7-1.7","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","30","205270","0.0-4.0-2.8-0.8","MT-A16PLYF8XISLFX","","","snd/no.wav","null",""
"266","","html-keyboard-response","31","205536","0.0-4.0-2.8-1.8","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","32","205790","0.0-4.0-2.9-0.9","MT-A16PLYF8XISLFX","","","snd/no.wav","null",""
"238","","html-keyboard-response","33","206029","0.0-4.0-2.9-1.9","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","34","206280","0.0-4.0-2.10-0.10","MT-A16PLYF8XISLFX","","","snd/no.wav","null",""
"153","","html-keyboard-response","35","206434","0.0-4.0-2.10-1.10","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","36","206689","0.0-4.0-2.11-0.11","MT-A16PLYF8XISLFX","","","snd/no.wav","null",""
"107","","html-keyboard-response","37","206797","0.0-4.0-2.11-1.11","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","38","207049","0.0-4.0-2.12-0.12","MT-A16PLYF8XISLFX","","","snd/no.wav","null",""
"145","","html-keyboard-response","39","207195","0.0-4.0-2.12-1.12","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","40","207449","0.0-4.0-2.13-0.13","MT-A16PLYF8XISLFX","","","snd/no.wav","null",""
"43","","html-keyboard-response","41","207492","0.0-4.0-2.13-1.13","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","42","207749","0.0-4.0-2.14-0.14","MT-A16PLYF8XISLFX","","","snd/no.wav","null",""
"59","","html-keyboard-response","43","207809","0.0-4.0-2.14-1.14","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","44","208069","0.0-4.0-2.15-0.15","MT-A16PLYF8XISLFX","","","snd/no.wav","null",""
"36","","html-keyboard-response","45","208105","0.0-4.0-2.15-1.15","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","46","208360","0.0-4.0-2.16-0.16","MT-A16PLYF8XISLFX","","","snd/no.wav","null",""
"9","","html-keyboard-response","47","208369","0.0-4.0-2.16-1.16","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","48","208630","0.0-4.0-2.17-0.17","MT-A16PLYF8XISLFX","","","snd/no.wav","null",""
