"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"52677","ad.html","external-html","0","52752","0.0-0.0","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","","","","","",""
"34945","","instructions","1","87698","0.0-1.0","MT-A1BXEU20OCUGVZ","69.172.201.153","US","[{""page_index"":0,""viewing_time"":34944}]","","","","","",""
"2470","","audio-keyboard-response","2","92183","0.0-2.0","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"3598","","survey-multi-select","3","95784","0.0-3.0","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"14167","","html-keyboard-response","4","109953","0.0-4.0","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","110454","0.0-5.0-0.0","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","110698","0.0-5.0-1.0","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/pa2_0.wav","null","","","",""
"null","","audio-keyboard-response","7","111449","0.0-5.0-2.0-0.0","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/pa2_0.wav","null","","","",""
"2373","","html-keyboard-response","8","113822","0.0-5.0-2.0-1.0","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","114069","0.0-5.0-2.1-0.1","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/pa2_0.wav","null","","","",""
"2174","","html-keyboard-response","10","116243","0.0-5.0-2.1-1.1","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","66","","","",""
"6918","","survey-text","11","123162","0.0-5.0-3.0","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","","","","","{""Q0"":""b""}",""
"3630","","audio-keyboard-response","12","126793","0.0-5.0-4.0","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/pa2_0.wav","53","","","","typicality"
"null","","html-keyboard-response","13","127797","0.0-5.0-0.1","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","14","128039","0.0-5.0-1.1","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/ni.wav","null","","","",""
"null","","audio-keyboard-response","15","128788","0.0-5.0-2.2-0.2","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/ni.wav","null","","","",""
"4379","","html-keyboard-response","16","133167","0.0-5.0-2.2-1.2","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","78","","","",""
"3295","","survey-text","17","136463","0.0-5.0-3.1","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","","","","","{""Q0"":""n""}",""
"2130","","audio-keyboard-response","18","138594","0.0-5.0-4.1","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/ni.wav","54","","","","typicality"
"null","","html-keyboard-response","19","139596","0.0-5.0-0.2","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","20","139848","0.0-5.0-1.2","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/lo.wav","null","","","",""
"null","","audio-keyboard-response","21","140608","0.0-5.0-2.3-0.3","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/lo.wav","null","","","",""
"3869","","html-keyboard-response","22","144477","0.0-5.0-2.3-1.3","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","76","","","",""
"2460","","survey-text","23","146937","0.0-5.0-3.2","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","","","","","{""Q0"":""l""}",""
"5250","","audio-keyboard-response","24","152195","0.0-5.0-4.2","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/lo.wav","54","","","","typicality"
"null","","html-keyboard-response","25","153198","0.0-5.0-0.3","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","26","153448","0.0-5.0-1.3","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/to.wav","null","","","",""
"null","","audio-keyboard-response","27","154198","0.0-5.0-2.4-0.4","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/to.wav","null","","","",""
"1739","","html-keyboard-response","28","155937","0.0-5.0-2.4-1.4","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","84","","","",""
"2359","","survey-text","29","158297","0.0-5.0-3.3","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","","","","","{""Q0"":""t""}",""
"2110","","audio-keyboard-response","30","160408","0.0-5.0-4.3","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/to.wav","52","","","","typicality"
"null","","html-keyboard-response","31","161410","0.0-5.0-0.4","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","32","161658","0.0-5.0-1.4","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"null","","audio-keyboard-response","33","162408","0.0-5.0-2.5-0.5","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"1900","","html-keyboard-response","34","164308","0.0-5.0-2.5-1.5","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","67","","","",""
"3521","","survey-text","35","167829","0.0-5.0-3.4","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","","","","","{""Q0"":""c""}",""
"1940","","audio-keyboard-response","36","169778","0.0-5.0-4.4","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/si1_0.wav","55","","","","typicality"
"null","","html-keyboard-response","37","170781","0.0-5.0-0.5","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","38","171028","0.0-5.0-1.5","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"null","","audio-keyboard-response","39","171778","0.0-5.0-2.6-0.6","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"2815","","html-keyboard-response","40","174593","0.0-5.0-2.6-1.6","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","77","","","",""
"3113","","survey-text","41","177707","0.0-5.0-3.5","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","","","","","{""Q0"":""m""}",""
"1130","","audio-keyboard-response","42","178834","0.0-5.0-4.5","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/mu1_0.wav","54","","","","typicality"
"null","","html-keyboard-response","43","179836","0.0-5.0-0.6","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","44","180088","0.0-5.0-1.6","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/ke.wav","null","","","",""
"null","","audio-keyboard-response","45","180848","0.0-5.0-2.7-0.7","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/ke.wav","null","","","",""
"1004","","html-keyboard-response","46","181852","0.0-5.0-2.7-1.7","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","75","","","",""
"2259","","survey-text","47","184111","0.0-5.0-3.6","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","","","","","{""Q0"":""k""}",""
"1810","","audio-keyboard-response","48","185919","0.0-5.0-4.6","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/ke.wav","55","","","","typicality"
"null","","html-keyboard-response","49","186920","0.0-5.0-0.7","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","50","187168","0.0-5.0-1.7","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/so2_0.wav","null","","","",""
"null","","audio-keyboard-response","51","187917","0.0-5.0-2.8-0.8","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/so2_0.wav","null","","","",""
"1598","","html-keyboard-response","52","189516","0.0-5.0-2.8-1.8","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","83","","","",""
"2041","","survey-text","53","191558","0.0-5.0-3.7","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","","","","","{""Q0"":""s""}",""
"1460","","audio-keyboard-response","54","193020","0.0-5.0-4.7","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/so2_0.wav","55","","","","typicality"
"null","","html-keyboard-response","55","194023","0.0-5.0-0.8","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","56","194268","0.0-5.0-1.8","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/ta2_1.wav","null","","","",""
"null","","audio-keyboard-response","57","195018","0.0-5.0-2.9-0.9","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/ta2_1.wav","null","","","",""
"2505","","html-keyboard-response","58","197523","0.0-5.0-2.9-1.9","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","84","","","",""
"4330","","survey-text","59","201854","0.0-5.0-3.8","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","","","","","{""Q0"":""t""}",""
"1760","","audio-keyboard-response","60","203610","0.0-5.0-4.8","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/ta2_1.wav","51","","","","typicality"
"null","","html-keyboard-response","61","204611","0.0-5.0-0.9","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","62","204858","0.0-5.0-1.9","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/fa.wav","null","","","",""
"null","","audio-keyboard-response","63","205608","0.0-5.0-2.10-0.10","MT-A1BXEU20OCUGVZ","69.172.201.153","US","","snd/fa.wav","null","","","",""
