"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"3857","ad.html","external-html","0","4078","0.0-0.0","MT-A1C5SQZ045W0L5","69.172.201.153","US","","","","","","",""
"124217","","instructions","1","128299","0.0-1.0","MT-A1C5SQZ045W0L5","69.172.201.153","US","[{""page_index"":0,""viewing_time"":124214}]","","","","","",""
"6937","","audio-keyboard-response","2","137283","0.0-2.0","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"6881","","survey-multi-select","3","144182","0.0-3.0","MT-A1C5SQZ045W0L5","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"26643","","html-keyboard-response","4","170834","0.0-4.0","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","171340","0.0-5.0-0.0","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","171804","0.0-5.0-1.0","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/ku.wav","null","","","",""
"null","","audio-keyboard-response","7","172555","0.0-5.0-2.0-0.0","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/ku.wav","null","","","",""
"8898","","html-keyboard-response","8","181455","0.0-5.0-2.0-1.0","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","181708","0.0-5.0-2.1-0.1","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/ku.wav","null","","","",""
"6128","","html-keyboard-response","10","187837","0.0-5.0-2.1-1.1","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","71","","","",""
"14678","","survey-text","11","202519","0.0-5.0-3.0","MT-A1C5SQZ045W0L5","69.172.201.153","US","","","","","","{""Q0"":""who""}",""
"10005","","audio-keyboard-response","12","212530","0.0-5.0-4.0","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/ku.wav","52","","","","typicality"
"null","","html-keyboard-response","13","213536","0.0-5.0-0.1","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","14","213789","0.0-5.0-1.1","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"null","","audio-keyboard-response","15","214540","0.0-5.0-2.2-0.2","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"6968","","html-keyboard-response","16","221509","0.0-5.0-2.2-1.2","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70","","","",""
"9655","","survey-text","17","231167","0.0-5.0-3.1","MT-A1C5SQZ045W0L5","69.172.201.153","US","","","","","","{""Q0"":""mu""}",""
"13296","","audio-keyboard-response","18","244469","0.0-5.0-4.1","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/mu1_0.wav","52","","","","typicality"
"null","","html-keyboard-response","19","245476","0.0-5.0-0.2","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","20","245696","0.0-5.0-1.2","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/ti.wav","null","","","",""
"null","","audio-keyboard-response","21","246418","0.0-5.0-2.3-0.3","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/ti.wav","null","","","",""
"2682","","html-keyboard-response","22","249101","0.0-5.0-2.3-1.3","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","23","249323","0.0-5.0-2.4-0.4","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/ti.wav","null","","","",""
"2753","","html-keyboard-response","24","252077","0.0-5.0-2.4-1.4","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","25","252299","0.0-5.0-2.5-0.5","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/ti.wav","null","","","",""
"2472","","html-keyboard-response","26","254773","0.0-5.0-2.5-1.5","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","71","","","",""
"15451","","survey-text","27","270227","0.0-5.0-3.2","MT-A1C5SQZ045W0L5","69.172.201.153","US","","","","","","{""Q0"":""dee""}",""
"5181","","audio-keyboard-response","28","275415","0.0-5.0-4.2","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/ti.wav","53","","","","typicality"
"null","","html-keyboard-response","29","276419","0.0-5.0-0.3","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","30","276668","0.0-5.0-1.3","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/la.wav","null","","","",""
"null","","audio-keyboard-response","31","277420","0.0-5.0-2.6-0.6","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/la.wav","null","","","",""
"1722","","html-keyboard-response","32","279144","0.0-5.0-2.6-1.6","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70","","","",""
"5437","","survey-text","33","284583","0.0-5.0-3.3","MT-A1C5SQZ045W0L5","69.172.201.153","US","","","","","","{""Q0"":""la""}",""
"2894","","audio-keyboard-response","34","287485","0.0-5.0-4.3","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/la.wav","55","","","","typicality"
"null","","html-keyboard-response","35","288493","0.0-5.0-0.4","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","36","288746","0.0-5.0-1.4","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/fu.wav","null","","","",""
"null","","audio-keyboard-response","37","289498","0.0-5.0-2.7-0.7","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/fu.wav","null","","","",""
"4146","","html-keyboard-response","38","293645","0.0-5.0-2.7-1.7","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70","","","",""
"7398","","survey-text","39","301047","0.0-5.0-3.4","MT-A1C5SQZ045W0L5","69.172.201.153","US","","","","","","{""Q0"":""fu""}",""
"4116","","audio-keyboard-response","40","305171","0.0-5.0-4.4","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/fu.wav","52","","","","typicality"
"null","","html-keyboard-response","41","306181","0.0-5.0-0.5","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","42","306432","0.0-5.0-1.5","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/lo.wav","null","","","",""
"null","","audio-keyboard-response","43","307194","0.0-5.0-2.8-0.8","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/lo.wav","null","","","",""
"2218","","html-keyboard-response","44","309414","0.0-5.0-2.8-1.8","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","76","","","",""
"6855","","survey-text","45","316272","0.0-5.0-3.5","MT-A1C5SQZ045W0L5","69.172.201.153","US","","","","","","{""Q0"":""low""}",""
"4754","","audio-keyboard-response","46","321024","0.0-5.0-4.5","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/lo.wav","51","","","","typicality"
"null","","html-keyboard-response","47","322036","0.0-5.0-0.6","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","48","322289","0.0-5.0-1.6","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/ni.wav","null","","","",""
"null","","audio-keyboard-response","49","323041","0.0-5.0-2.9-0.9","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/ni.wav","null","","","",""
"2826","","html-keyboard-response","50","325869","0.0-5.0-2.9-1.9","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","71","","","",""
"4434","","survey-text","51","330306","0.0-5.0-3.6","MT-A1C5SQZ045W0L5","69.172.201.153","US","","","","","","{""Q0"":""me""}",""
"2612","","audio-keyboard-response","52","332925","0.0-5.0-4.6","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/ni.wav","55","","","","typicality"
"null","","html-keyboard-response","53","333938","0.0-5.0-0.7","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","54","334186","0.0-5.0-1.7","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"null","","audio-keyboard-response","55","334937","0.0-5.0-2.10-0.10","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"3398","","html-keyboard-response","56","338336","0.0-5.0-2.10-1.10","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","57","338584","0.0-5.0-2.11-0.11","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"1391","","html-keyboard-response","58","339976","0.0-5.0-2.11-1.11","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","59","340230","0.0-5.0-2.12-0.12","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"901","","html-keyboard-response","60","341132","0.0-5.0-2.12-1.12","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","61","341407","0.0-5.0-2.13-0.13","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"1238","","html-keyboard-response","62","342647","0.0-5.0-2.13-1.13","MT-A1C5SQZ045W0L5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","63","342901","0.0-5.0-2.14-0.14","MT-A1C5SQZ045W0L5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
