"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"16018","ad.html","external-html","0","16298","0.0-0.0","MT-A1D2K63U3LCO3F","69.172.201.153","US","","","","","","",""
"30543","","instructions","1","46842","0.0-1.0","MT-A1D2K63U3LCO3F","69.172.201.153","US","[{""page_index"":0,""viewing_time"":30540}]","","","","","",""
"2194","","audio-keyboard-response","2","51089","0.0-2.0","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2069","","survey-multi-select","3","53177","0.0-3.0","MT-A1D2K63U3LCO3F","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"1734","","html-keyboard-response","4","54915","0.0-4.0","MT-A1D2K63U3LCO3F","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","68","","","",""
"null","","html-keyboard-response","5","55419","0.0-5.0-0.0","MT-A1D2K63U3LCO3F","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","55673","0.0-5.0-1.0","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"null","","audio-keyboard-response","7","56425","0.0-5.0-2.0-0.0","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"2123","","html-keyboard-response","8","58550","0.0-5.0-2.0-1.0","MT-A1D2K63U3LCO3F","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","68","","","",""
"11206","","survey-text","9","69760","0.0-5.0-3.0","MT-A1D2K63U3LCO3F","69.172.201.153","US","","","","","","{""Q0"":""chi""}",""
"2186","","audio-keyboard-response","10","71951","0.0-5.0-4.0","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/si1_0.wav","53","","","","typicality"
"null","","html-keyboard-response","11","72959","0.0-5.0-0.1","MT-A1D2K63U3LCO3F","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","73206","0.0-5.0-1.1","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/ni.wav","null","","","",""
"null","","audio-keyboard-response","13","73958","0.0-5.0-2.1-0.1","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/ni.wav","null","","","",""
"749","","html-keyboard-response","14","74708","0.0-5.0-2.1-1.1","MT-A1D2K63U3LCO3F","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","53","","","",""
"5233","","survey-text","15","79944","0.0-5.0-3.1","MT-A1D2K63U3LCO3F","69.172.201.153","US","","","","","","{""Q0"":""ni""}",""
"763","","audio-keyboard-response","16","80707","0.0-5.0-4.1","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/ni.wav","53","","","","typicality"
"null","","html-keyboard-response","17","81719","0.0-5.0-0.2","MT-A1D2K63U3LCO3F","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","18","81973","0.0-5.0-1.2","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/no.wav","null","","","",""
"null","","audio-keyboard-response","19","82746","0.0-5.0-2.2-0.2","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/no.wav","null","","","",""
"705","","html-keyboard-response","20","83452","0.0-5.0-2.2-1.2","MT-A1D2K63U3LCO3F","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","78","","","",""
"6346","","survey-text","21","89800","0.0-5.0-3.2","MT-A1D2K63U3LCO3F","69.172.201.153","US","","","","","","{""Q0"":""no""}",""
"1117","","audio-keyboard-response","22","90916","0.0-5.0-4.2","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/no.wav","53","","","","typicality"
"null","","html-keyboard-response","23","91928","0.0-5.0-0.3","MT-A1D2K63U3LCO3F","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","24","92183","0.0-5.0-1.3","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/fa.wav","null","","","",""
"null","","audio-keyboard-response","25","92935","0.0-5.0-2.3-0.3","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/fa.wav","null","","","",""
"1053","","html-keyboard-response","26","93991","0.0-5.0-2.3-1.3","MT-A1D2K63U3LCO3F","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","52","","","",""
"6510","","survey-text","27","100503","0.0-5.0-3.3","MT-A1D2K63U3LCO3F","69.172.201.153","US","","","","","","{""Q0"":""faa""}",""
"1016","","audio-keyboard-response","28","101523","0.0-5.0-4.3","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/fa.wav","53","","","","typicality"
"null","","html-keyboard-response","29","102529","0.0-5.0-0.4","MT-A1D2K63U3LCO3F","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","30","102778","0.0-5.0-1.4","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"null","","audio-keyboard-response","31","103530","0.0-5.0-2.4-0.4","MT-A1D2K63U3LCO3F","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"635","","html-keyboard-response","32","104167","0.0-5.0-2.4-1.4","MT-A1D2K63U3LCO3F","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","53","","","",""
"6302","","survey-text","33","110472","0.0-5.0-3.4","MT-A1D2K63U3LCO3F","69.172.201.153","US","","","","","","{""Q0"":""mae""}",""
