"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1123","ad.html","external-html","0","1365","0.0-0.0","MT-A1HCXQTH43W7EO","69.172.201.153","US","","","","","","",""
"4210","","instructions","1","5576","0.0-1.0","MT-A1HCXQTH43W7EO","69.172.201.153","US","[{""page_index"":0,""viewing_time"":4209}]","","","","","",""
"1602","","audio-keyboard-response","2","9179","0.0-2.0","MT-A1HCXQTH43W7EO","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"3441","","survey-multi-select","3","12623","0.0-3.0","MT-A1HCXQTH43W7EO","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"12645","","html-keyboard-response","4","25271","0.0-4.0","MT-A1HCXQTH43W7EO","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","25775","0.0-5.0-0.0","MT-A1HCXQTH43W7EO","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","26031","0.0-5.0-1.0","MT-A1HCXQTH43W7EO","69.172.201.153","US","","snd/li.wav","null","","","",""
"null","","audio-keyboard-response","7","26791","0.0-5.0-2.0-0.0","MT-A1HCXQTH43W7EO","69.172.201.153","US","","snd/li.wav","null","","","",""
"1261","","html-keyboard-response","8","28053","0.0-5.0-2.0-1.0","MT-A1HCXQTH43W7EO","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"4822","","survey-text","9","32876","0.0-5.0-3.0","MT-A1HCXQTH43W7EO","69.172.201.153","US","","","","","","{""Q0"":""li""}",""
"1724","","audio-keyboard-response","10","34602","0.0-5.0-4.0","MT-A1HCXQTH43W7EO","69.172.201.153","US","","snd/li.wav","52","","","","typicality"
"null","","html-keyboard-response","11","35604","0.0-5.0-0.1","MT-A1HCXQTH43W7EO","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","35859","0.0-5.0-1.1","MT-A1HCXQTH43W7EO","69.172.201.153","US","","snd/ma.wav","null","","","",""
"null","","audio-keyboard-response","13","36619","0.0-5.0-2.1-0.1","MT-A1HCXQTH43W7EO","69.172.201.153","US","","snd/ma.wav","null","","","",""
"818","","html-keyboard-response","14","37438","0.0-5.0-2.1-1.1","MT-A1HCXQTH43W7EO","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"2181","","survey-text","15","39620","0.0-5.0-3.1","MT-A1HCXQTH43W7EO","69.172.201.153","US","","","","","","{""Q0"":""ma""}",""
"1190","","audio-keyboard-response","16","40814","0.0-5.0-4.1","MT-A1HCXQTH43W7EO","69.172.201.153","US","","snd/ma.wav","53","","","","typicality"
"null","","html-keyboard-response","17","41819","0.0-5.0-0.2","MT-A1HCXQTH43W7EO","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","18","42070","0.0-5.0-1.2","MT-A1HCXQTH43W7EO","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"null","","audio-keyboard-response","19","42825","0.0-5.0-2.2-0.2","MT-A1HCXQTH43W7EO","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"2856","","html-keyboard-response","20","45682","0.0-5.0-2.2-1.2","MT-A1HCXQTH43W7EO","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"2500","","survey-text","21","48183","0.0-5.0-3.2","MT-A1HCXQTH43W7EO","69.172.201.153","US","","","","","","{""Q0"":""fi""}",""
