"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"5249","ad.html","external-html","0","5400","0.0-0.0","MT-A1HKCTDOTL6C9I","","","","",""
"231530","","instructions","1","236932","0.0-1.0","MT-A1HKCTDOTL6C9I","[{""page_index"":0,""viewing_time"":231529}]","","","",""
"5829","","survey-multi-select","2","244772","0.0-2.0","MT-A1HKCTDOTL6C9I","","{""Q0"":[""English""]}","","",""
"30823","","html-keyboard-response","3","275597","0.0-3.0","MT-A1HKCTDOTL6C9I","","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32",""
"null","","html-keyboard-response","4","276100","0.0-4.0-0.0","MT-A1HKCTDOTL6C9I","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","5","276673","0.0-4.0-1.0","MT-A1HKCTDOTL6C9I","","","snd/ta2_1.wav","null",""
"null","","audio-keyboard-response","6","277427","0.0-4.0-2.0-0.0","MT-A1HKCTDOTL6C9I","","","snd/ta2_1.wav","null",""
"2999","","html-keyboard-response","7","280427","0.0-4.0-2.0-1.0","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","8","280684","0.0-4.0-2.1-0.1","MT-A1HKCTDOTL6C9I","","","snd/ta2_1.wav","null",""
"1743","","html-keyboard-response","9","282428","0.0-4.0-2.1-1.1","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","10","282682","0.0-4.0-2.2-0.2","MT-A1HKCTDOTL6C9I","","","snd/ta2_1.wav","null",""
"409","","html-keyboard-response","11","283092","0.0-4.0-2.2-1.2","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","12","283343","0.0-4.0-2.3-0.3","MT-A1HKCTDOTL6C9I","","","snd/ta2_1.wav","null",""
"308","","html-keyboard-response","13","283651","0.0-4.0-2.3-1.3","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","14","283906","0.0-4.0-2.4-0.4","MT-A1HKCTDOTL6C9I","","","snd/ta2_1.wav","null",""
"481","","html-keyboard-response","15","284387","0.0-4.0-2.4-1.4","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","16","284643","0.0-4.0-2.5-0.5","MT-A1HKCTDOTL6C9I","","","snd/ta2_1.wav","null",""
"431","","html-keyboard-response","17","285075","0.0-4.0-2.5-1.5","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"5297","","survey-text","18","290375","0.0-4.0-3.0","MT-A1HKCTDOTL6C9I","","{""Q0"":""da""}","","",""
"8243","","audio-keyboard-response","19","298622","0.0-4.0-4.0","MT-A1HKCTDOTL6C9I","","","snd/ta2_1.wav","54","typicality"
"null","","html-keyboard-response","20","299625","0.0-4.0-0.1","MT-A1HKCTDOTL6C9I","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","21","299881","0.0-4.0-1.1","MT-A1HKCTDOTL6C9I","","","snd/ni.wav","null",""
"null","","audio-keyboard-response","22","300636","0.0-4.0-2.6-0.6","MT-A1HKCTDOTL6C9I","","","snd/ni.wav","null",""
"1390","","html-keyboard-response","23","302027","0.0-4.0-2.6-1.6","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","24","302279","0.0-4.0-2.7-0.7","MT-A1HKCTDOTL6C9I","","","snd/ni.wav","null",""
"164","","html-keyboard-response","25","302444","0.0-4.0-2.7-1.7","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","26","302697","0.0-4.0-2.8-0.8","MT-A1HKCTDOTL6C9I","","","snd/ni.wav","null",""
"67","","html-keyboard-response","27","302764","0.0-4.0-2.8-1.8","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","28","303017","0.0-4.0-2.9-0.9","MT-A1HKCTDOTL6C9I","","","snd/ni.wav","null",""
"227","","html-keyboard-response","29","303244","0.0-4.0-2.9-1.9","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","30","303498","0.0-4.0-2.10-0.10","MT-A1HKCTDOTL6C9I","","","snd/ni.wav","null",""
"473","","html-keyboard-response","31","303972","0.0-4.0-2.10-1.10","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","32","304224","0.0-4.0-2.11-0.11","MT-A1HKCTDOTL6C9I","","","snd/ni.wav","null",""
"1004","","html-keyboard-response","33","305228","0.0-4.0-2.11-1.11","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"5062","","survey-text","34","310291","0.0-4.0-3.1","MT-A1HKCTDOTL6C9I","","{""Q0"":""nee""}","","",""
"1991","","audio-keyboard-response","35","312284","0.0-4.0-4.1","MT-A1HKCTDOTL6C9I","","","snd/ni.wav","54","typicality"
