"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"602113","ad.html","external-html","0","602305","0.0-0.0","MT-A1P2RQ166VS5BT","69.172.201.153","US","","","","","","",""
"14494","","instructions","1","616800","0.0-1.0","MT-A1P2RQ166VS5BT","69.172.201.153","US","[{""page_index"":0,""viewing_time"":14493}]","","","","","",""
"2972","","audio-keyboard-response","2","621828","0.0-2.0","MT-A1P2RQ166VS5BT","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"3127","","survey-multi-select","3","624961","0.0-3.0","MT-A1P2RQ166VS5BT","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"23555","","html-keyboard-response","4","648519","0.0-4.0","MT-A1P2RQ166VS5BT","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","86","","","",""
"null","","html-keyboard-response","5","649024","0.0-5.0-0.0","MT-A1P2RQ166VS5BT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","649280","0.0-5.0-1.0","MT-A1P2RQ166VS5BT","69.172.201.153","US","","snd/ke.wav","null","","","",""
"null","","audio-keyboard-response","7","650040","0.0-5.0-2.0-0.0","MT-A1P2RQ166VS5BT","69.172.201.153","US","","snd/ke.wav","null","","","",""
"3245","","html-keyboard-response","8","653286","0.0-5.0-2.0-1.0","MT-A1P2RQ166VS5BT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","653542","0.0-5.0-2.1-0.1","MT-A1P2RQ166VS5BT","69.172.201.153","US","","snd/ke.wav","null","","","",""
"2697","","html-keyboard-response","10","656240","0.0-5.0-2.1-1.1","MT-A1P2RQ166VS5BT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","65","","","",""
"5194","","survey-text","11","661434","0.0-5.0-3.0","MT-A1P2RQ166VS5BT","69.172.201.153","US","","","","","","{""Q0"":""k""}",""
"10414","","audio-keyboard-response","12","671849","0.0-5.0-4.0","MT-A1P2RQ166VS5BT","69.172.201.153","US","","snd/ke.wav","49","","","","typicality"
"null","","html-keyboard-response","13","672856","0.0-5.0-0.1","MT-A1P2RQ166VS5BT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","14","673102","0.0-5.0-1.1","MT-A1P2RQ166VS5BT","69.172.201.153","US","","snd/fu.wav","null","","","",""
"null","","audio-keyboard-response","15","673851","0.0-5.0-2.2-0.2","MT-A1P2RQ166VS5BT","69.172.201.153","US","","snd/fu.wav","null","","","",""
"1461","","html-keyboard-response","16","675312","0.0-5.0-2.2-1.2","MT-A1P2RQ166VS5BT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","17","675557","0.0-5.0-2.3-0.3","MT-A1P2RQ166VS5BT","69.172.201.153","US","","snd/fu.wav","null","","","",""
"1234","","html-keyboard-response","18","676792","0.0-5.0-2.3-1.3","MT-A1P2RQ166VS5BT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","19","677038","0.0-5.0-2.4-0.4","MT-A1P2RQ166VS5BT","69.172.201.153","US","","snd/fu.wav","null","","","",""
"1545","","html-keyboard-response","20","678583","0.0-5.0-2.4-1.4","MT-A1P2RQ166VS5BT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","21","678832","0.0-5.0-2.5-0.5","MT-A1P2RQ166VS5BT","69.172.201.153","US","","snd/fu.wav","null","","","",""
"1586","","html-keyboard-response","22","680418","0.0-5.0-2.5-1.5","MT-A1P2RQ166VS5BT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","65","","","",""
"4368","","survey-text","23","684788","0.0-5.0-3.1","MT-A1P2RQ166VS5BT","69.172.201.153","US","","","","","","{""Q0"":""f""}",""
