"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"5362","ad.html","external-html","0","5551","0.0-0.0","MT-A1UKAS30R0MFI6","69.172.201.153","US","","","","","","",""
"2466","","instructions","1","8019","0.0-1.0","MT-A1UKAS30R0MFI6","69.172.201.153","US","[{""page_index"":0,""viewing_time"":2464}]","","","","","",""
"1400","","audio-keyboard-response","2","11762","0.0-2.0","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2776","","survey-multi-select","3","14549","0.0-3.0","MT-A1UKAS30R0MFI6","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"4183","","html-keyboard-response","4","18735","0.0-4.0","MT-A1UKAS30R0MFI6","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","19240","0.0-5.0-0.0","MT-A1UKAS30R0MFI6","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","19501","0.0-5.0-1.0","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/ma.wav","null","","","",""
"null","","audio-keyboard-response","7","20261","0.0-5.0-2.0-0.0","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/ma.wav","null","","","",""
"909","","html-keyboard-response","8","21170","0.0-5.0-2.0-1.0","MT-A1UKAS30R0MFI6","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"1357","","survey-text","9","22529","0.0-5.0-3.0","MT-A1UKAS30R0MFI6","69.172.201.153","US","","","","","","{""Q0"":""m""}",""
"1029","","audio-keyboard-response","10","23569","0.0-5.0-4.0","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/ma.wav","53","","","","typicality"
"null","","html-keyboard-response","11","24583","0.0-5.0-0.1","MT-A1UKAS30R0MFI6","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","24811","0.0-5.0-1.1","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/ti.wav","null","","","",""
"null","","audio-keyboard-response","13","25531","0.0-5.0-2.1-0.1","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/ti.wav","null","","","",""
"562","","html-keyboard-response","14","26094","0.0-5.0-2.1-1.1","MT-A1UKAS30R0MFI6","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","","","",""
"1519","","survey-text","15","27616","0.0-5.0-3.1","MT-A1UKAS30R0MFI6","69.172.201.153","US","","","","","","{""Q0"":""p""}",""
"539","","audio-keyboard-response","16","28158","0.0-5.0-4.1","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/ti.wav","50","","","","typicality"
"null","","html-keyboard-response","17","29160","0.0-5.0-0.2","MT-A1UKAS30R0MFI6","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","18","29411","0.0-5.0-1.2","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/pa2_0.wav","null","","","",""
"null","","audio-keyboard-response","19","30161","0.0-5.0-2.2-0.2","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/pa2_0.wav","null","","","",""
"391","","html-keyboard-response","20","30552","0.0-5.0-2.2-1.2","MT-A1UKAS30R0MFI6","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"1287","","survey-text","21","31842","0.0-5.0-3.2","MT-A1UKAS30R0MFI6","69.172.201.153","US","","","","","","{""Q0"":""b""}",""
"400","","audio-keyboard-response","22","32244","0.0-5.0-4.2","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/pa2_0.wav","50","","","","typicality"
"null","","html-keyboard-response","23","33250","0.0-5.0-0.3","MT-A1UKAS30R0MFI6","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","24","33511","0.0-5.0-1.3","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/lo.wav","null","","","",""
"null","","audio-keyboard-response","25","34271","0.0-5.0-2.3-0.3","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/lo.wav","null","","","",""
"466","","html-keyboard-response","26","34737","0.0-5.0-2.3-1.3","MT-A1UKAS30R0MFI6","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"1530","","survey-text","27","36269","0.0-5.0-3.3","MT-A1UKAS30R0MFI6","69.172.201.153","US","","","","","","{""Q0"":""l""}",""
"360","","audio-keyboard-response","28","36629","0.0-5.0-4.3","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/lo.wav","50","","","","typicality"
"null","","html-keyboard-response","29","37650","0.0-5.0-0.4","MT-A1UKAS30R0MFI6","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","30","37901","0.0-5.0-1.4","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/so2_0.wav","null","","","",""
"null","","audio-keyboard-response","31","38651","0.0-5.0-2.4-0.4","MT-A1UKAS30R0MFI6","69.172.201.153","US","","snd/so2_0.wav","null","","","",""
"480","","html-keyboard-response","32","39131","0.0-5.0-2.4-1.4","MT-A1UKAS30R0MFI6","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
