"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"2953","ad.html","external-html","0","3055","0.0-0.0","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","","","","","",""
"11057","","instructions","1","14113","0.0-1.0","MT-A1UZL0ATEWD4G9","69.172.201.153","US","[{""page_index"":0,""viewing_time"":11056}]","","","","","",""
"2789","","audio-keyboard-response","2","18909","0.0-2.0","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2213","","survey-multi-select","3","21125","0.0-3.0","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"3824","","html-keyboard-response","4","24949","0.0-4.0","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","81","","","",""
"null","","html-keyboard-response","5","25450","0.0-5.0-0.0","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","25704","0.0-5.0-1.0","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/lo.wav","null","","","",""
"null","","audio-keyboard-response","7","26464","0.0-5.0-2.0-0.0","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/lo.wav","null","","","",""
"2637","","html-keyboard-response","8","29101","0.0-5.0-2.0-1.0","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","76","","","",""
"5632","","survey-text","9","34735","0.0-5.0-3.0","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","","","","","{""Q0"":""lul""}",""
"2189","","audio-keyboard-response","10","36926","0.0-5.0-4.0","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/lo.wav","49","","","","typicality"
"null","","html-keyboard-response","11","37928","0.0-5.0-0.1","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","38174","0.0-5.0-1.1","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/to.wav","null","","","",""
"null","","audio-keyboard-response","13","38923","0.0-5.0-2.1-0.1","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/to.wav","null","","","",""
"1601","","html-keyboard-response","14","40525","0.0-5.0-2.1-1.1","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","13","","","",""
"3560","","survey-text","15","44085","0.0-5.0-3.1","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","","","","","{""Q0"":""dol""}",""
"2069","","audio-keyboard-response","16","46157","0.0-5.0-4.1","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/to.wav","53","","","","typicality"
"null","","html-keyboard-response","17","47159","0.0-5.0-0.2","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","18","47404","0.0-5.0-1.2","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/fu.wav","null","","","",""
"null","","audio-keyboard-response","19","48154","0.0-5.0-2.2-0.2","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/fu.wav","null","","","",""
"1155","","html-keyboard-response","20","49309","0.0-5.0-2.2-1.2","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70","","","",""
"5713","","survey-text","21","55022","0.0-5.0-3.2","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","","","","","{""Q0"":""full""}",""
"2648","","audio-keyboard-response","22","57669","0.0-5.0-4.2","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/fu.wav","49","","","","typicality"
"null","","html-keyboard-response","23","58670","0.0-5.0-0.3","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","24","58913","0.0-5.0-1.3","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/ku.wav","null","","","",""
"null","","audio-keyboard-response","25","59663","0.0-5.0-2.3-0.3","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/ku.wav","null","","","",""
"1189","","html-keyboard-response","26","60853","0.0-5.0-2.3-1.3","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","13","","","",""
"3920","","survey-text","27","64773","0.0-5.0-3.3","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","","","","","{""Q0"":""cool""}",""
"1499","","audio-keyboard-response","28","66277","0.0-5.0-4.3","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/ku.wav","55","","","","typicality"
"null","","html-keyboard-response","29","67280","0.0-5.0-0.4","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","30","67524","0.0-5.0-1.4","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"null","","audio-keyboard-response","31","68274","0.0-5.0-2.4-0.4","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"1059","","html-keyboard-response","32","69333","0.0-5.0-2.4-1.4","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","13","","","",""
"3112","","survey-text","33","72445","0.0-5.0-3.4","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","","","","","{""Q0"":""bae""}",""
"720","","audio-keyboard-response","34","73173","0.0-5.0-4.4","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","snd/pe2_1.wav","49","","","","typicality"
"null","","html-keyboard-response","35","74177","0.0-5.0-0.5","MT-A1UZL0ATEWD4G9","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
