"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1486","ad.html","external-html","0","1667","0.0-0.0","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","","","","","",""
"2788","","instructions","1","4455","0.0-1.0","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","[{""page_index"":0,""viewing_time"":2787}]","","","","","",""
"1280","","audio-keyboard-response","2","7740","0.0-2.0","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2994","","survey-multi-select","3","10737","0.0-3.0","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"7100","","html-keyboard-response","4","17839","0.0-4.0","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","68","","","",""
"null","","html-keyboard-response","5","18340","0.0-5.0-0.0","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","18590","0.0-5.0-1.0","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","snd/ke.wav","null","","","",""
"null","","audio-keyboard-response","7","19342","0.0-5.0-2.0-0.0","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","snd/ke.wav","null","","","",""
"2357","","html-keyboard-response","8","21700","0.0-5.0-2.0-1.0","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","69","","","",""
"3505","","survey-text","9","25206","0.0-5.0-3.0","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","","","","","{""Q0"":""e""}",""
"2059","","audio-keyboard-response","10","27266","0.0-5.0-4.0","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","snd/ke.wav","54","","","","typicality"
"null","","html-keyboard-response","11","28270","0.0-5.0-0.1","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","28516","0.0-5.0-1.1","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"null","","audio-keyboard-response","13","29263","0.0-5.0-2.1-0.1","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"1021","","html-keyboard-response","14","30284","0.0-5.0-2.1-1.1","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","68","","","",""
"2086","","survey-text","15","32370","0.0-5.0-3.1","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","","","","","{""Q0"":""c""}",""
"1371","","audio-keyboard-response","16","33738","0.0-5.0-4.1","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","snd/si1_0.wav","55","","","","typicality"
"null","","html-keyboard-response","17","34739","0.0-5.0-0.2","MT-A1ZB2NY0F9QNP0","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
