"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"11908","ad.html","external-html","0","11980","0.0-0.0","MT-A212OY08MFDGU3","69.172.201.153","US","","","","","","",""
"4724","","instructions","1","16705","0.0-1.0","MT-A212OY08MFDGU3","69.172.201.153","US","[{""page_index"":0,""viewing_time"":4723}]","","","","","",""
"1720","","audio-keyboard-response","2","20428","0.0-2.0","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2396","","survey-multi-select","3","22826","0.0-3.0","MT-A212OY08MFDGU3","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"5525","","html-keyboard-response","4","28352","0.0-4.0","MT-A212OY08MFDGU3","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","28854","0.0-5.0-0.0","MT-A212OY08MFDGU3","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","29123","0.0-5.0-1.0","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/ma.wav","null","","","",""
"null","","audio-keyboard-response","7","29893","0.0-5.0-2.0-0.0","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/ma.wav","null","","","",""
"1197","","html-keyboard-response","8","31090","0.0-5.0-2.0-1.0","MT-A212OY08MFDGU3","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","31352","0.0-5.0-2.1-0.1","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/ma.wav","null","","","",""
"689","","html-keyboard-response","10","32042","0.0-5.0-2.1-1.1","MT-A212OY08MFDGU3","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3270","","survey-text","11","35313","0.0-5.0-3.0","MT-A212OY08MFDGU3","69.172.201.153","US","","","","","","{""Q0"":""a""}",""
"2861","","audio-keyboard-response","12","38177","0.0-5.0-4.0","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/ma.wav","55","","","","typicality"
"null","","html-keyboard-response","13","39179","0.0-5.0-0.1","MT-A212OY08MFDGU3","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","14","39442","0.0-5.0-1.1","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/lo.wav","null","","","",""
"null","","audio-keyboard-response","15","40212","0.0-5.0-2.2-0.2","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/lo.wav","null","","","",""
"903","","html-keyboard-response","16","41115","0.0-5.0-2.2-1.2","MT-A212OY08MFDGU3","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","17","41382","0.0-5.0-2.3-0.3","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/lo.wav","null","","","",""
"770","","html-keyboard-response","18","42152","0.0-5.0-2.3-1.3","MT-A212OY08MFDGU3","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","79","","","",""
"2562","","survey-text","19","44715","0.0-5.0-3.1","MT-A212OY08MFDGU3","69.172.201.153","US","","","","","","{""Q0"":""o ""}",""
"1712","","audio-keyboard-response","20","46428","0.0-5.0-4.1","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/lo.wav","55","","","","typicality"
"null","","html-keyboard-response","21","47431","0.0-5.0-0.2","MT-A212OY08MFDGU3","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","22","47682","0.0-5.0-1.2","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/to.wav","null","","","",""
"null","","audio-keyboard-response","23","48442","0.0-5.0-2.4-0.4","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/to.wav","null","","","",""
"1849","","html-keyboard-response","24","50291","0.0-5.0-2.4-1.4","MT-A212OY08MFDGU3","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","79","","","",""
"1774","","survey-text","25","52065","0.0-5.0-3.2","MT-A212OY08MFDGU3","69.172.201.153","US","","","","","","{""Q0"":""o""}",""
"2360","","audio-keyboard-response","26","54428","0.0-5.0-4.2","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/to.wav","55","","","","typicality"
"null","","html-keyboard-response","27","55430","0.0-5.0-0.3","MT-A212OY08MFDGU3","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","28","55682","0.0-5.0-1.3","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/ka.wav","null","","","",""
"null","","audio-keyboard-response","29","56442","0.0-5.0-2.5-0.5","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/ka.wav","null","","","",""
"985","","html-keyboard-response","30","57427","0.0-5.0-2.5-1.5","MT-A212OY08MFDGU3","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","73","","","",""
"1550","","survey-text","31","58978","0.0-5.0-3.3","MT-A212OY08MFDGU3","69.172.201.153","US","","","","","","{""Q0"":""a""}",""
"1829","","audio-keyboard-response","32","60803","0.0-5.0-4.3","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/ka.wav","53","","","","typicality"
"null","","html-keyboard-response","33","61803","0.0-5.0-0.4","MT-A212OY08MFDGU3","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","34","62062","0.0-5.0-1.4","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/ku.wav","null","","","",""
"null","","audio-keyboard-response","35","62823","0.0-5.0-2.6-0.6","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/ku.wav","null","","","",""
"1417","","html-keyboard-response","36","64240","0.0-5.0-2.6-1.6","MT-A212OY08MFDGU3","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","13","","","",""
"1650","","survey-text","37","65891","0.0-5.0-3.4","MT-A212OY08MFDGU3","69.172.201.153","US","","","","","","{""Q0"":""u""}",""
"33451","","audio-keyboard-response","38","99341","0.0-5.0-4.4","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/ku.wav","55","","","","typicality"
"null","","html-keyboard-response","39","100344","0.0-5.0-0.5","MT-A212OY08MFDGU3","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","40","100602","0.0-5.0-1.5","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/ke.wav","null","","","",""
"null","","audio-keyboard-response","41","101362","0.0-5.0-2.7-0.7","MT-A212OY08MFDGU3","69.172.201.153","US","","snd/ke.wav","null","","","",""
