"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1099","ad.html","external-html","0","1217","0.0-0.0","MT-A28HB7240OFGEW","69.172.201.153","US","","","","","","",""
"7097","","instructions","1","8315","0.0-1.0","MT-A28HB7240OFGEW","69.172.201.153","US","[{""page_index"":0,""viewing_time"":7095}]","","","","","",""
"3411","","audio-keyboard-response","2","13729","0.0-2.0","MT-A28HB7240OFGEW","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"15741","","survey-multi-select","3","29482","0.0-3.0","MT-A28HB7240OFGEW","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"7972","","html-keyboard-response","4","37458","0.0-4.0","MT-A28HB7240OFGEW","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","13","","","",""
"null","","html-keyboard-response","5","37962","0.0-5.0-0.0","MT-A28HB7240OFGEW","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","38225","0.0-5.0-1.0","MT-A28HB7240OFGEW","69.172.201.153","US","","snd/so2_0.wav","null","","","",""
"null","","audio-keyboard-response","7","38981","0.0-5.0-2.0-0.0","MT-A28HB7240OFGEW","69.172.201.153","US","","snd/so2_0.wav","null","","","",""
"3021","","html-keyboard-response","8","42002","0.0-5.0-2.0-1.0","MT-A28HB7240OFGEW","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"9354","","survey-text","9","51360","0.0-5.0-3.0","MT-A28HB7240OFGEW","69.172.201.153","US","","","","","","{""Q0"":""ful""}",""
"3568","","audio-keyboard-response","10","54940","0.0-5.0-4.0","MT-A28HB7240OFGEW","69.172.201.153","US","","snd/so2_0.wav","55","","","","typicality"
"null","","html-keyboard-response","11","55943","0.0-5.0-0.1","MT-A28HB7240OFGEW","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","56190","0.0-5.0-1.1","MT-A28HB7240OFGEW","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"null","","audio-keyboard-response","13","56940","0.0-5.0-2.1-0.1","MT-A28HB7240OFGEW","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"1104","","html-keyboard-response","14","58044","0.0-5.0-2.1-1.1","MT-A28HB7240OFGEW","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"6290","","survey-text","15","64336","0.0-5.0-3.1","MT-A28HB7240OFGEW","69.172.201.153","US","","","","","","{""Q0"":""ou""}",""
"2611","","audio-keyboard-response","16","66949","0.0-5.0-4.1","MT-A28HB7240OFGEW","69.172.201.153","US","","snd/pu3_1.wav","55","","","","typicality"
"null","","html-keyboard-response","17","67952","0.0-5.0-0.2","MT-A28HB7240OFGEW","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","18","68201","0.0-5.0-1.2","MT-A28HB7240OFGEW","69.172.201.153","US","","snd/ta2_1.wav","null","","","",""
"null","","audio-keyboard-response","19","68951","0.0-5.0-2.2-0.2","MT-A28HB7240OFGEW","69.172.201.153","US","","snd/ta2_1.wav","null","","","",""
"470","","html-keyboard-response","20","69421","0.0-5.0-2.2-1.2","MT-A28HB7240OFGEW","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","55","","","",""
"1721","","survey-text","21","71144","0.0-5.0-3.2","MT-A28HB7240OFGEW","69.172.201.153","US","","","","","","{""Q0"":""da""}",""
"1309","","audio-keyboard-response","22","72453","0.0-5.0-4.2","MT-A28HB7240OFGEW","69.172.201.153","US","","snd/ta2_1.wav","55","","","","typicality"
"null","","html-keyboard-response","23","73455","0.0-5.0-0.3","MT-A28HB7240OFGEW","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","24","73701","0.0-5.0-1.3","MT-A28HB7240OFGEW","69.172.201.153","US","","snd/ke.wav","null","","","",""
"null","","audio-keyboard-response","25","74451","0.0-5.0-2.3-0.3","MT-A28HB7240OFGEW","69.172.201.153","US","","snd/ke.wav","null","","","",""
