"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1696","ad.html","external-html","0","1844","0.0-0.0","MT-A28VE2YSRYE3B8","69.172.201.153","US","","","","","","",""
"6931","","instructions","1","8776","0.0-1.0","MT-A28VE2YSRYE3B8","69.172.201.153","US","[{""page_index"":0,""viewing_time"":6929}]","","","","","",""
"4809","","audio-keyboard-response","2","15579","0.0-2.0","MT-A28VE2YSRYE3B8","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"107474","","survey-multi-select","3","123058","0.0-3.0","MT-A28VE2YSRYE3B8","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"8317","","html-keyboard-response","4","131378","0.0-4.0","MT-A28VE2YSRYE3B8","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","131881","0.0-5.0-0.0","MT-A28VE2YSRYE3B8","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","132137","0.0-5.0-1.0","MT-A28VE2YSRYE3B8","69.172.201.153","US","","snd/so2_0.wav","null","","","",""
"null","","audio-keyboard-response","7","132906","0.0-5.0-2.0-0.0","MT-A28VE2YSRYE3B8","69.172.201.153","US","","snd/so2_0.wav","null","","","",""
"4190","","html-keyboard-response","8","137097","0.0-5.0-2.0-1.0","MT-A28VE2YSRYE3B8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"6685","","survey-text","9","143784","0.0-5.0-3.0","MT-A28VE2YSRYE3B8","69.172.201.153","US","","","","","","{""Q0"":""so""}",""
"10539","","audio-keyboard-response","10","154321","0.0-5.0-4.0","MT-A28VE2YSRYE3B8","69.172.201.153","US","","snd/so2_0.wav","53","","","","typicality"
"null","","html-keyboard-response","11","155323","0.0-5.0-0.1","MT-A28VE2YSRYE3B8","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","155587","0.0-5.0-1.1","MT-A28VE2YSRYE3B8","69.172.201.153","US","","snd/ke.wav","null","","","",""
"null","","audio-keyboard-response","13","156357","0.0-5.0-2.1-0.1","MT-A28VE2YSRYE3B8","69.172.201.153","US","","snd/ke.wav","null","","","",""
"2914","","html-keyboard-response","14","159273","0.0-5.0-2.1-1.1","MT-A28VE2YSRYE3B8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","15","159537","0.0-5.0-2.2-0.2","MT-A28VE2YSRYE3B8","69.172.201.153","US","","snd/ke.wav","null","","","",""
"2113","","html-keyboard-response","16","161650","0.0-5.0-2.2-1.2","MT-A28VE2YSRYE3B8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"6302","","survey-text","17","167954","0.0-5.0-3.1","MT-A28VE2YSRYE3B8","69.172.201.153","US","","","","","","{""Q0"":""kay""}",""
"5741","","audio-keyboard-response","18","173690","0.0-5.0-4.1","MT-A28VE2YSRYE3B8","69.172.201.153","US","","snd/ke.wav","53","","","","typicality"
"null","","html-keyboard-response","19","174691","0.0-5.0-0.2","MT-A28VE2YSRYE3B8","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","20","174957","0.0-5.0-1.2","MT-A28VE2YSRYE3B8","69.172.201.153","US","","snd/no.wav","null","","","",""
"null","","audio-keyboard-response","21","175727","0.0-5.0-2.3-0.3","MT-A28VE2YSRYE3B8","69.172.201.153","US","","snd/no.wav","null","","","",""
"3305","","html-keyboard-response","22","179033","0.0-5.0-2.3-1.3","MT-A28VE2YSRYE3B8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3399","","survey-text","23","182432","0.0-5.0-3.2","MT-A28VE2YSRYE3B8","69.172.201.153","US","","","","","","{""Q0"":""no""}",""
"2949","","audio-keyboard-response","24","185385","0.0-5.0-4.2","MT-A28VE2YSRYE3B8","69.172.201.153","US","","snd/no.wav","54","","","","typicality"
"null","","html-keyboard-response","25","186387","0.0-5.0-0.3","MT-A28VE2YSRYE3B8","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","26","186647","0.0-5.0-1.3","MT-A28VE2YSRYE3B8","69.172.201.153","US","","snd/to.wav","null","","","",""
"null","","audio-keyboard-response","27","187407","0.0-5.0-2.4-0.4","MT-A28VE2YSRYE3B8","69.172.201.153","US","","snd/to.wav","null","","","",""
"1290","","html-keyboard-response","28","188697","0.0-5.0-2.4-1.4","MT-A28VE2YSRYE3B8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3391","","survey-text","29","192091","0.0-5.0-3.3","MT-A28VE2YSRYE3B8","69.172.201.153","US","","","","","","{""Q0"":""do""}",""
"4432","","audio-keyboard-response","30","196521","0.0-5.0-4.3","MT-A28VE2YSRYE3B8","69.172.201.153","US","","snd/to.wav","54","","","","typicality"
"null","","html-keyboard-response","31","197523","0.0-5.0-0.4","MT-A28VE2YSRYE3B8","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
