"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"5009","ad.html","external-html","0","5208","0.0-0.0","MT-A2ETXCA9X5P484","69.172.201.153","US","","","","","","",""
"30093","","instructions","1","35305","0.0-1.0","MT-A2ETXCA9X5P484","69.172.201.153","US","[{""page_index"":0,""viewing_time"":30091}]","","","","","",""
"4267","","audio-keyboard-response","2","41609","0.0-2.0","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"3783","","survey-multi-select","3","45407","0.0-3.0","MT-A2ETXCA9X5P484","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"7309","","html-keyboard-response","4","52722","0.0-4.0","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","53228","0.0-5.0-0.0","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","53479","0.0-5.0-1.0","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/to.wav","null","","","",""
"null","","audio-keyboard-response","7","54237","0.0-5.0-2.0-0.0","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/to.wav","null","","","",""
"2810","","html-keyboard-response","8","57048","0.0-5.0-2.0-1.0","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","57298","0.0-5.0-2.1-0.1","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/to.wav","null","","","",""
"1209","","html-keyboard-response","10","58508","0.0-5.0-2.1-1.1","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","11","58760","0.0-5.0-2.2-0.2","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/to.wav","null","","","",""
"933","","html-keyboard-response","12","59694","0.0-5.0-2.2-1.2","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","84","","","",""
"7536","","survey-text","13","67233","0.0-5.0-3.0","MT-A2ETXCA9X5P484","69.172.201.153","US","","","","","","{""Q0"":""tw""}",""
"4384","","audio-keyboard-response","14","71615","0.0-5.0-4.0","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/to.wav","53","","","","typicality"
"null","","html-keyboard-response","15","72627","0.0-5.0-0.1","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","16","72882","0.0-5.0-1.1","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/pa2_0.wav","null","","","",""
"null","","audio-keyboard-response","17","73639","0.0-5.0-2.3-0.3","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/pa2_0.wav","null","","","",""
"3633","","html-keyboard-response","18","77273","0.0-5.0-2.3-1.3","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","65","","","",""
"7801","","survey-text","19","85077","0.0-5.0-3.1","MT-A2ETXCA9X5P484","69.172.201.153","US","","","","","","{""Q0"":""aw""}",""
"4320","","audio-keyboard-response","20","89398","0.0-5.0-4.1","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/pa2_0.wav","53","","","","typicality"
"null","","html-keyboard-response","21","90403","0.0-5.0-0.2","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","22","90652","0.0-5.0-1.2","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/ke.wav","null","","","",""
"null","","audio-keyboard-response","23","91409","0.0-5.0-2.4-0.4","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/ke.wav","null","","","",""
"1899","","html-keyboard-response","24","93309","0.0-5.0-2.4-1.4","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","25","93564","0.0-5.0-2.5-0.5","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/ke.wav","null","","","",""
"767","","html-keyboard-response","26","94332","0.0-5.0-2.5-1.5","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","27","94588","0.0-5.0-2.6-0.6","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/ke.wav","null","","","",""
"388","","html-keyboard-response","28","94976","0.0-5.0-2.6-1.6","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","29","95228","0.0-5.0-2.7-0.7","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/ke.wav","null","","","",""
"533","","html-keyboard-response","30","95763","0.0-5.0-2.7-1.7","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","31","96016","0.0-5.0-2.8-0.8","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/ke.wav","null","","","",""
"2338","","html-keyboard-response","32","98356","0.0-5.0-2.8-1.8","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","83","","","",""
"4622","","survey-text","33","102981","0.0-5.0-3.2","MT-A2ETXCA9X5P484","69.172.201.153","US","","","","","","{""Q0"":""ki""}",""
"1440","","audio-keyboard-response","34","104424","0.0-5.0-4.2","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/ke.wav","55","","","","typicality"
"null","","html-keyboard-response","35","105428","0.0-5.0-0.3","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","36","105681","0.0-5.0-1.3","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/ka.wav","null","","","",""
"null","","audio-keyboard-response","37","106439","0.0-5.0-2.9-0.9","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/ka.wav","null","","","",""
"1992","","html-keyboard-response","38","108431","0.0-5.0-2.9-1.9","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","39","108689","0.0-5.0-2.10-0.10","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/ka.wav","null","","","",""
"574","","html-keyboard-response","40","109265","0.0-5.0-2.10-1.10","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","41","109521","0.0-5.0-2.11-0.11","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/ka.wav","null","","","",""
"502","","html-keyboard-response","42","110025","0.0-5.0-2.11-1.11","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","43","110278","0.0-5.0-2.12-0.12","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/ka.wav","null","","","",""
"2265","","html-keyboard-response","44","112545","0.0-5.0-2.12-1.12","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","83","","","",""
"5531","","survey-text","45","118079","0.0-5.0-3.3","MT-A2ETXCA9X5P484","69.172.201.153","US","","","","","","{""Q0"":""ha""}",""
"1152","","audio-keyboard-response","46","119234","0.0-5.0-4.3","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/ka.wav","53","","","","typicality"
"null","","html-keyboard-response","47","120238","0.0-5.0-0.4","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","48","120486","0.0-5.0-1.4","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"null","","audio-keyboard-response","49","121243","0.0-5.0-2.13-0.13","MT-A2ETXCA9X5P484","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"1541","","html-keyboard-response","50","122785","0.0-5.0-2.13-1.13","MT-A2ETXCA9X5P484","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","83","","","",""
"2537","","survey-text","51","125325","0.0-5.0-3.4","MT-A2ETXCA9X5P484","69.172.201.153","US","","","","","","{""Q0"":""ou""}",""
