"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1928","ad.html","external-html","0","2106","0.0-0.0","MT-A2FARB7LA24AU8","69.172.201.153","US","","","","","","",""
"65356","","instructions","1","67463","0.0-1.0","MT-A2FARB7LA24AU8","69.172.201.153","US","[{""page_index"":0,""viewing_time"":65355}]","","","","","",""
"3477","","audio-keyboard-response","2","72998","0.0-2.0","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"3155","","survey-multi-select","3","76159","0.0-3.0","MT-A2FARB7LA24AU8","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"7746","","html-keyboard-response","4","83908","0.0-4.0","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","84410","0.0-5.0-0.0","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","84664","0.0-5.0-1.0","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"null","","audio-keyboard-response","7","85418","0.0-5.0-2.0-0.0","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"2190","","html-keyboard-response","8","87609","0.0-5.0-2.0-1.0","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","87862","0.0-5.0-2.1-0.1","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"3412","","html-keyboard-response","10","91274","0.0-5.0-2.1-1.1","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","11","91525","0.0-5.0-2.2-0.2","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"561","","html-keyboard-response","12","92086","0.0-5.0-2.2-1.2","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"5864","","survey-text","13","97952","0.0-5.0-3.0","MT-A2FARB7LA24AU8","69.172.201.153","US","","","","","","{""Q0"":""be""}",""
"4760","","audio-keyboard-response","14","102716","0.0-5.0-4.0","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/pe2_1.wav","53","","","","typicality"
"null","","html-keyboard-response","15","103721","0.0-5.0-0.1","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","16","103971","0.0-5.0-1.1","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/to.wav","null","","","",""
"null","","audio-keyboard-response","17","104725","0.0-5.0-2.3-0.3","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/to.wav","null","","","",""
"1632","","html-keyboard-response","18","106359","0.0-5.0-2.3-1.3","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","19","106606","0.0-5.0-2.4-0.4","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/to.wav","null","","","",""
"1502","","html-keyboard-response","20","108108","0.0-5.0-2.4-1.4","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"6233","","survey-text","21","114343","0.0-5.0-3.1","MT-A2FARB7LA24AU8","69.172.201.153","US","","","","","","{""Q0"":""do""}",""
"2130","","audio-keyboard-response","22","116473","0.0-5.0-4.1","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/to.wav","50","","","","typicality"
"null","","html-keyboard-response","23","117475","0.0-5.0-0.2","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","24","117728","0.0-5.0-1.2","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"null","","audio-keyboard-response","25","118489","0.0-5.0-2.5-0.5","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"1329","","html-keyboard-response","26","119818","0.0-5.0-2.5-1.5","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"5999","","survey-text","27","125818","0.0-5.0-3.2","MT-A2FARB7LA24AU8","69.172.201.153","US","","","","","","{""Q0"":""c""}",""
"2345","","audio-keyboard-response","28","128163","0.0-5.0-4.2","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/si1_0.wav","55","","","","typicality"
"null","","html-keyboard-response","29","129170","0.0-5.0-0.3","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","30","129426","0.0-5.0-1.3","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/la.wav","null","","","",""
"null","","audio-keyboard-response","31","130180","0.0-5.0-2.6-0.6","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/la.wav","null","","","",""
"1362","","html-keyboard-response","32","131542","0.0-5.0-2.6-1.6","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"2990","","survey-text","33","134533","0.0-5.0-3.3","MT-A2FARB7LA24AU8","69.172.201.153","US","","","","","","{""Q0"":""la""}",""
"2043","","audio-keyboard-response","34","136582","0.0-5.0-4.3","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/la.wav","55","","","","typicality"
"null","","html-keyboard-response","35","137587","0.0-5.0-0.4","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","36","137836","0.0-5.0-1.4","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/fa.wav","null","","","",""
"null","","audio-keyboard-response","37","138591","0.0-5.0-2.7-0.7","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/fa.wav","null","","","",""
"967","","html-keyboard-response","38","139558","0.0-5.0-2.7-1.7","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"2145","","survey-text","39","141704","0.0-5.0-3.4","MT-A2FARB7LA24AU8","69.172.201.153","US","","","","","","{""Q0"":""fa""}",""
"1295","","audio-keyboard-response","40","143001","0.0-5.0-4.4","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/fa.wav","55","","","","typicality"
"null","","html-keyboard-response","41","144008","0.0-5.0-0.5","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","42","144263","0.0-5.0-1.5","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"null","","audio-keyboard-response","43","145017","0.0-5.0-2.8-0.8","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"1888","","html-keyboard-response","44","146905","0.0-5.0-2.8-1.8","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3075","","survey-text","45","149981","0.0-5.0-3.5","MT-A2FARB7LA24AU8","69.172.201.153","US","","","","","","{""Q0"":""mo""}",""
"1602","","audio-keyboard-response","46","151585","0.0-5.0-4.5","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/mu1_0.wav","53","","","","typicality"
"null","","html-keyboard-response","47","152588","0.0-5.0-0.6","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","48","152842","0.0-5.0-1.6","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"null","","audio-keyboard-response","49","153603","0.0-5.0-2.9-0.9","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"2046","","html-keyboard-response","50","155649","0.0-5.0-2.9-1.9","MT-A2FARB7LA24AU8","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"2782","","survey-text","51","158431","0.0-5.0-3.6","MT-A2FARB7LA24AU8","69.172.201.153","US","","","","","","{""Q0"":""bo""}",""
"2096","","audio-keyboard-response","52","160528","0.0-5.0-4.6","MT-A2FARB7LA24AU8","69.172.201.153","US","","snd/pu3_1.wav","51","","","","typicality"
