"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"3526","ad.html","external-html","0","3611","0.0-0.0","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","","","","","",""
"31935","","instructions","1","35547","0.0-1.0","MT-A2G7N0X0PNX0EE","69.172.201.153","US","[{""page_index"":0,""viewing_time"":31934}]","","","","","",""
"5520","","audio-keyboard-response","2","43098","0.0-2.0","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"7013","","survey-multi-select","3","50115","0.0-3.0","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"6231","","html-keyboard-response","4","56347","0.0-4.0","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","56849","0.0-5.0-0.0","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","57099","0.0-5.0-1.0","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/to.wav","null","","","",""
"null","","audio-keyboard-response","7","57849","0.0-5.0-2.0-0.0","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/to.wav","null","","","",""
"2530","","html-keyboard-response","8","60379","0.0-5.0-2.0-1.0","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","60639","0.0-5.0-2.1-0.1","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/to.wav","null","","","",""
"1916","","html-keyboard-response","10","62555","0.0-5.0-2.1-1.1","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","11","62799","0.0-5.0-2.2-0.2","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/to.wav","null","","","",""
"635","","html-keyboard-response","12","63435","0.0-5.0-2.2-1.2","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","13","63679","0.0-5.0-2.3-0.3","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/to.wav","null","","","",""
"1083","","html-keyboard-response","14","64763","0.0-5.0-2.3-1.3","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"7231","","survey-text","15","71995","0.0-5.0-3.0","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","","","","","{""Q0"":""doe""}",""
"4032","","audio-keyboard-response","16","76027","0.0-5.0-4.0","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/to.wav","50","","","","typicality"
"null","","html-keyboard-response","17","77036","0.0-5.0-0.1","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","18","77289","0.0-5.0-1.1","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/lo.wav","null","","","",""
"null","","audio-keyboard-response","19","78049","0.0-5.0-2.4-0.4","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/lo.wav","null","","","",""
"1274","","html-keyboard-response","20","79323","0.0-5.0-2.4-1.4","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","21","79579","0.0-5.0-2.5-0.5","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/lo.wav","null","","","",""
"1200","","html-keyboard-response","22","80779","0.0-5.0-2.5-1.5","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3184","","survey-text","23","83963","0.0-5.0-3.1","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","","","","","{""Q0"":""lo""}",""
"2611","","audio-keyboard-response","24","86571","0.0-5.0-4.1","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/lo.wav","51","","","","typicality"
"null","","html-keyboard-response","25","87572","0.0-5.0-0.2","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","26","87819","0.0-5.0-1.2","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/ka.wav","null","","","",""
"null","","audio-keyboard-response","27","88569","0.0-5.0-2.6-0.6","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/ka.wav","null","","","",""
"1488","","html-keyboard-response","28","90059","0.0-5.0-2.6-1.6","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","29","90319","0.0-5.0-2.7-0.7","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/ka.wav","null","","","",""
"315","","html-keyboard-response","30","90635","0.0-5.0-2.7-1.7","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","31","90879","0.0-5.0-2.8-0.8","MT-A2G7N0X0PNX0EE","69.172.201.153","US","","snd/ka.wav","null","","","",""
