"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"8014","ad.html","external-html","0","8190","0.0-0.0","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","","","","","",""
"29034","","instructions","1","37225","0.0-1.0","MT-A2ONILC0LZKG6Y","69.172.201.153","US","[{""page_index"":0,""viewing_time"":29031}]","","","","","",""
"1912","","audio-keyboard-response","2","41137","0.0-2.0","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"3216","","survey-multi-select","3","44356","0.0-3.0","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"7793","","html-keyboard-response","4","52153","0.0-4.0","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","81","","","",""
"null","","html-keyboard-response","5","52655","0.0-5.0-0.0","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","52911","0.0-5.0-1.0","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"null","","audio-keyboard-response","7","53671","0.0-5.0-2.0-0.0","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"4544","","html-keyboard-response","8","58215","0.0-5.0-2.0-1.0","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","58471","0.0-5.0-2.1-0.1","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"1244","","html-keyboard-response","10","59716","0.0-5.0-2.1-1.1","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"4018","","survey-text","11","63735","0.0-5.0-3.0","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","","","","","{""Q0"":""mou""}",""
"4309","","audio-keyboard-response","12","68042","0.0-5.0-4.0","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","snd/mu1_0.wav","50","","","","typicality"
"null","","html-keyboard-response","13","69045","0.0-5.0-0.1","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","14","69310","0.0-5.0-1.1","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","snd/lo.wav","null","","","",""
"null","","audio-keyboard-response","15","70080","0.0-5.0-2.2-0.2","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","snd/lo.wav","null","","","",""
"2200","","html-keyboard-response","16","72282","0.0-5.0-2.2-1.2","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","17","72552","0.0-5.0-2.3-0.3","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","snd/lo.wav","null","","","",""
"384","","html-keyboard-response","18","72936","0.0-5.0-2.3-1.3","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","19","73201","0.0-5.0-2.4-0.4","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","snd/lo.wav","null","","","",""
"226","","html-keyboard-response","20","73428","0.0-5.0-2.4-1.4","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","21","73691","0.0-5.0-2.5-0.5","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","snd/lo.wav","null","","","",""
"192","","html-keyboard-response","22","73883","0.0-5.0-2.5-1.5","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","23","74152","0.0-5.0-2.6-0.6","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","snd/lo.wav","null","","","",""
"896","","html-keyboard-response","24","75048","0.0-5.0-2.6-1.6","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3184","","survey-text","25","78234","0.0-5.0-3.1","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","","","","","{""Q0"":""low""}",""
"2611","","audio-keyboard-response","26","80844","0.0-5.0-4.1","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","snd/lo.wav","52","","","","typicality"
"null","","html-keyboard-response","27","81846","0.0-5.0-0.2","MT-A2ONILC0LZKG6Y","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
