"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"749","ad.html","external-html","0","811","0.0-0.0","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","","","","","",""
"15618","","instructions","1","16430","0.0-1.0","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","[{""page_index"":0,""viewing_time"":15618}]","","","","","",""
"3909","","audio-keyboard-response","2","22338","0.0-2.0","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2374","","survey-multi-select","3","24715","0.0-3.0","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"9832","","html-keyboard-response","4","34547","0.0-4.0","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","35050","0.0-5.0-0.0","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","35306","0.0-5.0-1.0","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/ka.wav","null","","","",""
"null","","audio-keyboard-response","7","36066","0.0-5.0-2.0-0.0","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/ka.wav","null","","","",""
"3763","","html-keyboard-response","8","39829","0.0-5.0-2.0-1.0","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","40076","0.0-5.0-2.1-0.1","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/ka.wav","null","","","",""
"1294","","html-keyboard-response","10","41371","0.0-5.0-2.1-1.1","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","11","41626","0.0-5.0-2.2-0.2","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/ka.wav","null","","","",""
"749","","html-keyboard-response","12","42375","0.0-5.0-2.2-1.2","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3339","","survey-text","13","45715","0.0-5.0-3.0","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","","","","","{""Q0"":""k""}",""
"7309","","audio-keyboard-response","14","53030","0.0-5.0-4.0","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/ka.wav","52","","","","typicality"
"null","","html-keyboard-response","15","54034","0.0-5.0-0.1","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","16","54286","0.0-5.0-1.1","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/la.wav","null","","","",""
"null","","audio-keyboard-response","17","55046","0.0-5.0-2.3-0.3","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/la.wav","null","","","",""
"18085","","html-keyboard-response","18","73131","0.0-5.0-2.3-1.3","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","19","73386","0.0-5.0-2.4-0.4","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/la.wav","null","","","",""
"514","","html-keyboard-response","20","73900","0.0-5.0-2.4-1.4","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","21","74156","0.0-5.0-2.5-0.5","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/la.wav","null","","","",""
"566","","html-keyboard-response","22","74723","0.0-5.0-2.5-1.5","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"2156","","survey-text","23","76879","0.0-5.0-3.1","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","","","","","{""Q0"":""la""}",""
"1440","","audio-keyboard-response","24","78321","0.0-5.0-4.1","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/la.wav","54","","","","typicality"
"null","","html-keyboard-response","25","79325","0.0-5.0-0.2","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","26","79566","0.0-5.0-1.2","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/pa2_0.wav","null","","","",""
"null","","audio-keyboard-response","27","80316","0.0-5.0-2.6-0.6","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/pa2_0.wav","null","","","",""
"2989","","html-keyboard-response","28","83305","0.0-5.0-2.6-1.6","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"1645","","survey-text","29","84951","0.0-5.0-3.2","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","","","","","{""Q0"":""ba""}",""
"1371","","audio-keyboard-response","30","86321","0.0-5.0-4.2","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/pa2_0.wav","54","","","","typicality"
"null","","html-keyboard-response","31","87323","0.0-5.0-0.3","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","32","87566","0.0-5.0-1.3","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/fu.wav","null","","","",""
"null","","audio-keyboard-response","33","88316","0.0-5.0-2.7-0.7","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/fu.wav","null","","","",""
"1592","","html-keyboard-response","34","89908","0.0-5.0-2.7-1.7","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3844","","survey-text","35","93753","0.0-5.0-3.3","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","","","","","{""Q0"":""fu""}",""
"2360","","audio-keyboard-response","36","96110","0.0-5.0-4.3","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/fu.wav","55","","","","typicality"
"null","","html-keyboard-response","37","97112","0.0-5.0-0.4","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","38","97356","0.0-5.0-1.4","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"null","","audio-keyboard-response","39","98106","0.0-5.0-2.8-0.8","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"2655","","html-keyboard-response","40","100761","0.0-5.0-2.8-1.8","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","41","101006","0.0-5.0-2.9-0.9","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"858","","html-keyboard-response","42","101864","0.0-5.0-2.9-1.9","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","43","102106","0.0-5.0-2.10-0.10","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"1148","","html-keyboard-response","44","103254","0.0-5.0-2.10-1.10","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"2642","","survey-text","45","105896","0.0-5.0-3.4","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","","","","","{""Q0"":""meh""}",""
"1491","","audio-keyboard-response","46","107388","0.0-5.0-4.4","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/me2_0.wav","55","","","","typicality"
"null","","html-keyboard-response","47","108393","0.0-5.0-0.5","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","48","108636","0.0-5.0-1.5","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/fa.wav","null","","","",""
"null","","audio-keyboard-response","49","109386","0.0-5.0-2.11-0.11","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/fa.wav","null","","","",""
"745","","html-keyboard-response","50","110131","0.0-5.0-2.11-1.11","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"1129","","survey-text","51","111260","0.0-5.0-3.5","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","","","","","{""Q0"":""fa""}",""
"920","","audio-keyboard-response","52","112178","0.0-5.0-4.5","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/fa.wav","54","","","","typicality"
"null","","html-keyboard-response","53","113180","0.0-5.0-0.6","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","54","113426","0.0-5.0-1.6","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/ni.wav","null","","","",""
"null","","audio-keyboard-response","55","114186","0.0-5.0-2.12-0.12","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/ni.wav","null","","","",""
"661","","html-keyboard-response","56","114847","0.0-5.0-2.12-1.12","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"4239","","survey-text","57","119086","0.0-5.0-3.6","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","","","","","{""Q0"":""nee""}",""
"2120","","audio-keyboard-response","58","121206","0.0-5.0-4.6","MT-A2QUQ0S2F6K3QJ","69.172.201.153","US","","snd/ni.wav","55","","","","typicality"
