"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"828750","ad.html","external-html","0","828942","0.0-0.0","MT-A2UREJJH126LX9","69.172.201.153","US","","","","","","",""
"30726","","instructions","1","859672","0.0-1.0","MT-A2UREJJH126LX9","69.172.201.153","US","[{""page_index"":0,""viewing_time"":30725}]","","","","","",""
"4510","","audio-keyboard-response","2","866211","0.0-2.0","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"5520","","survey-multi-select","3","871738","0.0-3.0","MT-A2UREJJH126LX9","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"8615","","html-keyboard-response","4","880356","0.0-4.0","MT-A2UREJJH126LX9","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","880860","0.0-5.0-0.0","MT-A2UREJJH126LX9","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","881109","0.0-5.0-1.0","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/fe.wav","null","","","",""
"null","","audio-keyboard-response","7","881858","0.0-5.0-2.0-0.0","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/fe.wav","null","","","",""
"5766","","html-keyboard-response","8","887624","0.0-5.0-2.0-1.0","MT-A2UREJJH126LX9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","887872","0.0-5.0-2.1-0.1","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/fe.wav","null","","","",""
"520","","html-keyboard-response","10","888392","0.0-5.0-2.1-1.1","MT-A2UREJJH126LX9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","11","888638","0.0-5.0-2.2-0.2","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/fe.wav","null","","","",""
"798","","html-keyboard-response","12","889437","0.0-5.0-2.2-1.2","MT-A2UREJJH126LX9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","13","889683","0.0-5.0-2.3-0.3","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/fe.wav","null","","","",""
"477","","html-keyboard-response","14","890161","0.0-5.0-2.3-1.3","MT-A2UREJJH126LX9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","15","890409","0.0-5.0-2.4-0.4","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/fe.wav","null","","","",""
"1412","","html-keyboard-response","16","891821","0.0-5.0-2.4-1.4","MT-A2UREJJH126LX9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","17","892069","0.0-5.0-2.5-0.5","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/fe.wav","null","","","",""
"7238","","html-keyboard-response","18","899308","0.0-5.0-2.5-1.5","MT-A2UREJJH126LX9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"11035","","survey-text","19","910345","0.0-5.0-3.0","MT-A2UREJJH126LX9","69.172.201.153","US","","","","","","{""Q0"":""fee""}",""
"5840","","audio-keyboard-response","20","916188","0.0-5.0-4.0","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/fe.wav","50","","","","typicality"
"null","","html-keyboard-response","21","917198","0.0-5.0-0.1","MT-A2UREJJH126LX9","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","22","917451","0.0-5.0-1.1","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"null","","audio-keyboard-response","23","918206","0.0-5.0-2.6-0.6","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"2181","","html-keyboard-response","24","920388","0.0-5.0-2.6-1.6","MT-A2UREJJH126LX9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","25","920639","0.0-5.0-2.7-0.7","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"557","","html-keyboard-response","26","921196","0.0-5.0-2.7-1.7","MT-A2UREJJH126LX9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","27","921452","0.0-5.0-2.8-0.8","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"889","","html-keyboard-response","28","922341","0.0-5.0-2.8-1.8","MT-A2UREJJH126LX9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","29","922596","0.0-5.0-2.9-0.9","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"778","","html-keyboard-response","30","923374","0.0-5.0-2.9-1.9","MT-A2UREJJH126LX9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","31","923629","0.0-5.0-2.10-0.10","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"562","","html-keyboard-response","32","924191","0.0-5.0-2.10-1.10","MT-A2UREJJH126LX9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","33","924442","0.0-5.0-2.11-0.11","MT-A2UREJJH126LX9","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"819","","html-keyboard-response","34","925261","0.0-5.0-2.11-1.11","MT-A2UREJJH126LX9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
