"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"5660","ad.html","external-html","0","5726","0.0-0.0","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","","","","","",""
"37142","","instructions","1","42869","0.0-1.0","MT-A2YCMT5BPA0AG9","69.172.201.153","US","[{""page_index"":0,""viewing_time"":37141}]","","","","","",""
"3920","","audio-keyboard-response","2","48812","0.0-2.0","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"4782","","survey-multi-select","3","53605","0.0-3.0","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"4181","","html-keyboard-response","4","57788","0.0-4.0","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","58291","0.0-5.0-0.0","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","58533","0.0-5.0-1.0","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"null","","audio-keyboard-response","7","59292","0.0-5.0-2.0-0.0","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"7367","","html-keyboard-response","8","66660","0.0-5.0-2.0-1.0","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"6793","","survey-text","9","73455","0.0-5.0-3.0","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","","","","","{""Q0"":""me""}",""
"9240","","audio-keyboard-response","10","82700","0.0-5.0-4.0","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","snd/me2_0.wav","53","","","","typicality"
"null","","html-keyboard-response","11","83704","0.0-5.0-0.1","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","83953","0.0-5.0-1.1","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","snd/ke.wav","null","","","",""
"null","","audio-keyboard-response","13","84704","0.0-5.0-2.1-0.1","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","snd/ke.wav","null","","","",""
"2268","","html-keyboard-response","14","86972","0.0-5.0-2.1-1.1","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","15","87214","0.0-5.0-2.2-0.2","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","snd/ke.wav","null","","","",""
"1438","","html-keyboard-response","16","88652","0.0-5.0-2.2-1.2","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","17","88894","0.0-5.0-2.3-0.3","MT-A2YCMT5BPA0AG9","69.172.201.153","US","","snd/ke.wav","null","","","",""
