"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"4508","ad.html","external-html","0","4694","0.0-0.0","MT-A30M8BK9ILSO2P","69.172.201.153","US","","","","","","",""
"114193","","instructions","1","118925","0.0-1.0","MT-A30M8BK9ILSO2P","69.172.201.153","US","[{""page_index"":0,""viewing_time"":114182}]","","","","","",""
"4998","","audio-keyboard-response","2","125926","0.0-2.0","MT-A30M8BK9ILSO2P","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"6683","","survey-multi-select","3","132626","0.0-3.0","MT-A30M8BK9ILSO2P","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"52961","","html-keyboard-response","4","185595","0.0-4.0","MT-A30M8BK9ILSO2P","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","13","","","",""
"null","","html-keyboard-response","5","186098","0.0-5.0-0.0","MT-A30M8BK9ILSO2P","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","186360","0.0-5.0-1.0","MT-A30M8BK9ILSO2P","69.172.201.153","US","","snd/ma.wav","null","","","",""
"null","","audio-keyboard-response","7","187126","0.0-5.0-2.0-0.0","MT-A30M8BK9ILSO2P","69.172.201.153","US","","snd/ma.wav","null","","","",""
"3326","","html-keyboard-response","8","190452","0.0-5.0-2.0-1.0","MT-A30M8BK9ILSO2P","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","190714","0.0-5.0-2.1-0.1","MT-A30M8BK9ILSO2P","69.172.201.153","US","","snd/ma.wav","null","","","",""
"2069","","html-keyboard-response","10","192784","0.0-5.0-2.1-1.1","MT-A30M8BK9ILSO2P","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","13","","","",""
"7468","","survey-text","11","200256","0.0-5.0-3.0","MT-A30M8BK9ILSO2P","69.172.201.153","US","","","","","","{""Q0"":""ma""}",""
"10048","","audio-keyboard-response","12","210306","0.0-5.0-4.0","MT-A30M8BK9ILSO2P","69.172.201.153","US","","snd/ma.wav","50","","","","typicality"
"null","","html-keyboard-response","13","211310","0.0-5.0-0.1","MT-A30M8BK9ILSO2P","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","14","211570","0.0-5.0-1.1","MT-A30M8BK9ILSO2P","69.172.201.153","US","","snd/ke.wav","null","","","",""
"null","","audio-keyboard-response","15","212334","0.0-5.0-2.2-0.2","MT-A30M8BK9ILSO2P","69.172.201.153","US","","snd/ke.wav","null","","","",""
"2284","","html-keyboard-response","16","214619","0.0-5.0-2.2-1.2","MT-A30M8BK9ILSO2P","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","17","214882","0.0-5.0-2.3-0.3","MT-A30M8BK9ILSO2P","69.172.201.153","US","","snd/ke.wav","null","","","",""
"990","","html-keyboard-response","18","215873","0.0-5.0-2.3-1.3","MT-A30M8BK9ILSO2P","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","19","216132","0.0-5.0-2.4-0.4","MT-A30M8BK9ILSO2P","69.172.201.153","US","","snd/ke.wav","null","","","",""
"1711","","html-keyboard-response","20","217844","0.0-5.0-2.4-1.4","MT-A30M8BK9ILSO2P","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","21","218105","0.0-5.0-2.5-0.5","MT-A30M8BK9ILSO2P","69.172.201.153","US","","snd/ke.wav","null","","","",""
"1377","","html-keyboard-response","22","219484","0.0-5.0-2.5-1.5","MT-A30M8BK9ILSO2P","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","13","","","",""
"8639","","survey-text","23","228125","0.0-5.0-3.1","MT-A30M8BK9ILSO2P","69.172.201.153","US","","","","","","{""Q0"":""key""}",""
"2691","","audio-keyboard-response","24","230812","0.0-5.0-4.1","MT-A30M8BK9ILSO2P","69.172.201.153","US","","snd/ke.wav","50","","","","typicality"
"null","","html-keyboard-response","25","231815","0.0-5.0-0.2","MT-A30M8BK9ILSO2P","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","26","232077","0.0-5.0-1.2","MT-A30M8BK9ILSO2P","69.172.201.153","US","","snd/ta2_1.wav","null","","","",""
