"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1984","ad.html","external-html","0","2204","0.0-0.0","MT-A339L5YF2O6773","69.172.201.153","US","","","","","","",""
"63012","","instructions","1","65221","0.0-1.0","MT-A339L5YF2O6773","69.172.201.153","US","[{""page_index"":0,""viewing_time"":63009}]","","","","","",""
"12179","","audio-keyboard-response","2","79554","0.0-2.0","MT-A339L5YF2O6773","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"7271","","survey-multi-select","3","86836","0.0-3.0","MT-A339L5YF2O6773","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"3955","","html-keyboard-response","4","90800","0.0-4.0","MT-A339L5YF2O6773","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","91306","0.0-5.0-0.0","MT-A339L5YF2O6773","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","91554","0.0-5.0-1.0","MT-A339L5YF2O6773","69.172.201.153","US","","snd/no.wav","null","","","",""
"null","","audio-keyboard-response","7","92303","0.0-5.0-2.0-0.0","MT-A339L5YF2O6773","69.172.201.153","US","","snd/no.wav","null","","","",""
"5959","","html-keyboard-response","8","98264","0.0-5.0-2.0-1.0","MT-A339L5YF2O6773","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","98528","0.0-5.0-2.1-0.1","MT-A339L5YF2O6773","69.172.201.153","US","","snd/no.wav","null","","","",""
"70270","","html-keyboard-response","10","168799","0.0-5.0-2.1-1.1","MT-A339L5YF2O6773","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","11","169193","0.0-5.0-2.2-0.2","MT-A339L5YF2O6773","69.172.201.153","US","","snd/no.wav","null","","","",""
"2325","","html-keyboard-response","12","171519","0.0-5.0-2.2-1.2","MT-A339L5YF2O6773","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","13","171794","0.0-5.0-2.3-0.3","MT-A339L5YF2O6773","69.172.201.153","US","","snd/no.wav","null","","","",""
"949","","html-keyboard-response","14","172744","0.0-5.0-2.3-1.3","MT-A339L5YF2O6773","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","15","173003","0.0-5.0-2.4-0.4","MT-A339L5YF2O6773","69.172.201.153","US","","snd/no.wav","null","","","",""
"916","","html-keyboard-response","16","173920","0.0-5.0-2.4-1.4","MT-A339L5YF2O6773","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","17","174159","0.0-5.0-2.5-0.5","MT-A339L5YF2O6773","69.172.201.153","US","","snd/no.wav","null","","","",""
"941","","html-keyboard-response","18","175101","0.0-5.0-2.5-1.5","MT-A339L5YF2O6773","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","19","175343","0.0-5.0-2.6-0.6","MT-A339L5YF2O6773","69.172.201.153","US","","snd/no.wav","null","","","",""
"1653","","html-keyboard-response","20","176996","0.0-5.0-2.6-1.6","MT-A339L5YF2O6773","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"14112","","survey-text","21","191112","0.0-5.0-3.0","MT-A339L5YF2O6773","69.172.201.153","US","","","","","","{""Q0"":""no""}",""
"18260","","audio-keyboard-response","22","209500","0.0-5.0-4.0","MT-A339L5YF2O6773","69.172.201.153","US","","snd/no.wav","52","","","","typicality"
"null","","html-keyboard-response","23","210508","0.0-5.0-0.1","MT-A339L5YF2O6773","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","24","210793","0.0-5.0-1.1","MT-A339L5YF2O6773","69.172.201.153","US","","snd/fe.wav","null","","","",""
"null","","audio-keyboard-response","25","211533","0.0-5.0-2.7-0.7","MT-A339L5YF2O6773","69.172.201.153","US","","snd/fe.wav","null","","","",""
"4862","","html-keyboard-response","26","216396","0.0-5.0-2.7-1.7","MT-A339L5YF2O6773","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","27","216634","0.0-5.0-2.8-0.8","MT-A339L5YF2O6773","69.172.201.153","US","","snd/fe.wav","null","","","",""
"1501","","html-keyboard-response","28","218135","0.0-5.0-2.8-1.8","MT-A339L5YF2O6773","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","29","218393","0.0-5.0-2.9-0.9","MT-A339L5YF2O6773","69.172.201.153","US","","snd/fe.wav","null","","","",""
