"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1361","ad.html","external-html","0","1409","0.0-0.0","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","",""
"10675","","instructions","1","12084","0.0-1.0","MT-A34930YXVQ8SUT","69.172.201.153","US","[{""page_index"":0,""viewing_time"":10674}]","","","","","",""
"2560","","audio-keyboard-response","2","16644","0.0-2.0","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2920","","survey-multi-select","3","19569","0.0-3.0","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"10866","","html-keyboard-response","4","30436","0.0-4.0","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","71","","","",""
"null","","html-keyboard-response","5","30938","0.0-5.0-0.0","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","31182","0.0-5.0-1.0","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"null","","audio-keyboard-response","7","31932","0.0-5.0-2.0-0.0","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"2743","","html-keyboard-response","8","34676","0.0-5.0-2.0-1.0","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","34922","0.0-5.0-2.1-0.1","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"1529","","html-keyboard-response","10","36451","0.0-5.0-2.1-1.1","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","68","","","",""
"13623","","survey-text","11","50076","0.0-5.0-3.0","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","{""Q0"":""me""}",""
"9590","","audio-keyboard-response","12","59668","0.0-5.0-4.0","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/me2_0.wav","55","","","","typicality"
"null","","html-keyboard-response","13","60670","0.0-5.0-0.1","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","14","60911","0.0-5.0-1.1","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"null","","audio-keyboard-response","15","61661","0.0-5.0-2.2-0.2","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"2101","","html-keyboard-response","16","63763","0.0-5.0-2.2-1.2","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","17","64011","0.0-5.0-2.3-0.3","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"2663","","html-keyboard-response","18","66675","0.0-5.0-2.3-1.3","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70","","","",""
"3481","","survey-text","19","70157","0.0-5.0-3.1","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","{""Q0"":""mo""}",""
"3170","","audio-keyboard-response","20","73331","0.0-5.0-4.1","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/mu1_0.wav","49","","","","typicality"
"null","","html-keyboard-response","21","74333","0.0-5.0-0.2","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","22","74591","0.0-5.0-1.2","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ma.wav","null","","","",""
"null","","audio-keyboard-response","23","75351","0.0-5.0-2.4-0.4","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ma.wav","null","","","",""
"2972","","html-keyboard-response","24","78323","0.0-5.0-2.4-1.4","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","66","","","",""
"3439","","survey-text","25","81763","0.0-5.0-3.2","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","{""Q0"":""ma""}",""
"3090","","audio-keyboard-response","26","84851","0.0-5.0-4.2","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ma.wav","55","","","","typicality"
"null","","html-keyboard-response","27","85852","0.0-5.0-0.3","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","28","86102","0.0-5.0-1.3","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"null","","audio-keyboard-response","29","86862","0.0-5.0-2.5-0.5","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"1493","","html-keyboard-response","30","88355","0.0-5.0-2.5-1.5","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70","","","",""
"4336","","survey-text","31","92691","0.0-5.0-3.3","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","{""Q0"":""oh""}",""
"1620","","audio-keyboard-response","32","94307","0.0-5.0-4.3","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/pu3_1.wav","49","","","","typicality"
"null","","html-keyboard-response","33","95309","0.0-5.0-0.4","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","34","95551","0.0-5.0-1.4","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"null","","audio-keyboard-response","35","96301","0.0-5.0-2.6-0.6","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"1286","","html-keyboard-response","36","97587","0.0-5.0-2.6-1.6","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","37","97831","0.0-5.0-2.7-0.7","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"1723","","html-keyboard-response","38","99555","0.0-5.0-2.7-1.7","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","39","99801","0.0-5.0-2.8-0.8","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"458","","html-keyboard-response","40","100259","0.0-5.0-2.8-1.8","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","41","100501","0.0-5.0-2.9-0.9","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"301","","html-keyboard-response","42","100803","0.0-5.0-2.9-1.9","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","43","101061","0.0-5.0-2.10-0.10","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"446","","html-keyboard-response","44","101507","0.0-5.0-2.10-1.10","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","68","","","",""
"4974","","survey-text","45","106483","0.0-5.0-3.4","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","{""Q0"":""be""}",""
"1680","","audio-keyboard-response","46","108178","0.0-5.0-4.4","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/pe2_1.wav","49","","","","typicality"
"null","","html-keyboard-response","47","109180","0.0-5.0-0.5","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","48","109421","0.0-5.0-1.5","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ti.wav","null","","","",""
"null","","audio-keyboard-response","49","110151","0.0-5.0-2.11-0.11","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ti.wav","null","","","",""
"2364","","html-keyboard-response","50","112515","0.0-5.0-2.11-1.11","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","51","112741","0.0-5.0-2.12-0.12","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ti.wav","null","","","",""
"1069","","html-keyboard-response","52","113810","0.0-5.0-2.12-1.12","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","53","114031","0.0-5.0-2.13-0.13","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ti.wav","null","","","",""
"963","","html-keyboard-response","54","114994","0.0-5.0-2.13-1.13","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","55","115221","0.0-5.0-2.14-0.14","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ti.wav","null","","","",""
"1725","","html-keyboard-response","56","116946","0.0-5.0-2.14-1.14","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","68","","","",""
"4448","","survey-text","57","121396","0.0-5.0-3.5","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","{""Q0"":""Dee""}",""
"1010","","audio-keyboard-response","58","122404","0.0-5.0-4.5","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ti.wav","49","","","","typicality"
"null","","html-keyboard-response","59","123406","0.0-5.0-0.6","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","60","123652","0.0-5.0-1.6","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/fu.wav","null","","","",""
"null","","audio-keyboard-response","61","124402","0.0-5.0-2.15-0.15","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/fu.wav","null","","","",""
"2416","","html-keyboard-response","62","126819","0.0-5.0-2.15-1.15","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70","","","",""
"2703","","survey-text","63","129523","0.0-5.0-3.6","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","{""Q0"":""fu""}",""
"1390","","audio-keyboard-response","64","130915","0.0-5.0-4.6","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/fu.wav","49","","","","typicality"
"null","","html-keyboard-response","65","131917","0.0-5.0-0.7","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","66","132162","0.0-5.0-1.7","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"null","","audio-keyboard-response","67","132912","0.0-5.0-2.16-0.16","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"1107","","html-keyboard-response","68","134019","0.0-5.0-2.16-1.16","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70","","","",""
"3262","","survey-text","69","137283","0.0-5.0-3.7","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","{""Q0"":""Cee""}",""
"30770","","audio-keyboard-response","70","168051","0.0-5.0-4.7","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/si1_0.wav","49","","","","typicality"
"null","","html-keyboard-response","71","169052","0.0-5.0-0.8","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","72","169301","0.0-5.0-1.8","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ku.wav","null","","","",""
"null","","audio-keyboard-response","73","170052","0.0-5.0-2.17-0.17","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ku.wav","null","","","",""
"1550","","html-keyboard-response","74","171602","0.0-5.0-2.17-1.17","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","75","171851","0.0-5.0-2.18-0.18","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ku.wav","null","","","",""
"326","","html-keyboard-response","76","172178","0.0-5.0-2.18-1.18","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","68","","","",""
"2095","","survey-text","77","174275","0.0-5.0-3.8","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","{""Q0"":""cu""}",""
"1150","","audio-keyboard-response","78","175427","0.0-5.0-4.8","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ku.wav","52","","","","typicality"
"null","","html-keyboard-response","79","176428","0.0-5.0-0.9","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","80","176682","0.0-5.0-1.9","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/li.wav","null","","","",""
"null","","audio-keyboard-response","81","177442","0.0-5.0-2.19-0.19","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/li.wav","null","","","",""
"768","","html-keyboard-response","82","178210","0.0-5.0-2.19-1.19","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","68","","","",""
"5503","","survey-text","83","183715","0.0-5.0-3.9","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","{""Q0"":""Lee""}",""
"860","","audio-keyboard-response","84","184579","0.0-5.0-4.9","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/li.wav","52","","","","typicality"
"null","","html-keyboard-response","85","185580","0.0-5.0-0.10","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","86","185822","0.0-5.0-1.10","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/fe.wav","null","","","",""
"null","","audio-keyboard-response","87","186572","0.0-5.0-2.20-0.20","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/fe.wav","null","","","",""
"870","","html-keyboard-response","88","187442","0.0-5.0-2.20-1.20","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70","","","",""
"3135","","survey-text","89","190579","0.0-5.0-3.10","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","{""Q0"":""Fe""}",""
"1570","","audio-keyboard-response","90","192146","0.0-5.0-4.10","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/fe.wav","52","","","","typicality"
"null","","html-keyboard-response","91","193149","0.0-5.0-0.11","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","92","193402","0.0-5.0-1.11","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/la.wav","null","","","",""
"null","","audio-keyboard-response","93","194162","0.0-5.0-2.21-0.21","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/la.wav","null","","","",""
"1073","","html-keyboard-response","94","195235","0.0-5.0-2.21-1.21","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70","","","",""
"2303","","survey-text","95","197538","0.0-5.0-3.11","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","{""Q0"":""La""}",""
"1220","","audio-keyboard-response","96","198754","0.0-5.0-4.11","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/la.wav","55","","","","typicality"
"null","","html-keyboard-response","97","199756","0.0-5.0-0.12","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","98","200011","0.0-5.0-1.12","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/no.wav","null","","","",""
"null","","audio-keyboard-response","99","200771","0.0-5.0-2.22-0.22","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/no.wav","null","","","",""
"831","","html-keyboard-response","100","201602","0.0-5.0-2.22-1.22","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70","","","",""
"2239","","survey-text","101","203843","0.0-5.0-3.12","MT-A34930YXVQ8SUT","69.172.201.153","US","","","","","","{""Q0"":""No""}",""
"1470","","audio-keyboard-response","102","205314","0.0-5.0-4.12","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/no.wav","55","","","","typicality"
"null","","html-keyboard-response","103","206316","0.0-5.0-0.13","MT-A34930YXVQ8SUT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","104","206562","0.0-5.0-1.13","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ka.wav","null","","","",""
"null","","audio-keyboard-response","105","207312","0.0-5.0-2.23-0.23","MT-A34930YXVQ8SUT","69.172.201.153","US","","snd/ka.wav","null","","","",""
