"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"3116","ad.html","external-html","0","3203","0.0-0.0","MT-A35LFR9135AAU1","69.172.201.153","US","","","","","","",""
"3048","","instructions","1","6251","0.0-1.0","MT-A35LFR9135AAU1","69.172.201.153","US","[{""page_index"":0,""viewing_time"":3047}]","","","","","",""
"2469","","audio-keyboard-response","2","10775","0.0-2.0","MT-A35LFR9135AAU1","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"3349","","survey-multi-select","3","14127","0.0-3.0","MT-A35LFR9135AAU1","69.172.201.153","US","","","","","","{""Q0"":[""English"",""Italian""]}",""
"1234","","html-keyboard-response","4","15362","0.0-4.0","MT-A35LFR9135AAU1","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","15863","0.0-5.0-0.0","MT-A35LFR9135AAU1","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","16112","0.0-5.0-1.0","MT-A35LFR9135AAU1","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"null","","audio-keyboard-response","7","16864","0.0-5.0-2.0-0.0","MT-A35LFR9135AAU1","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"2576","","html-keyboard-response","8","19440","0.0-5.0-2.0-1.0","MT-A35LFR9135AAU1","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"4345","","survey-text","9","23786","0.0-5.0-3.0","MT-A35LFR9135AAU1","69.172.201.153","US","","","","","","{""Q0"":""si""}",""
"1701","","audio-keyboard-response","10","25490","0.0-5.0-4.0","MT-A35LFR9135AAU1","69.172.201.153","US","","snd/si1_0.wav","52","","","","typicality"
"null","","html-keyboard-response","11","26496","0.0-5.0-0.1","MT-A35LFR9135AAU1","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","26747","0.0-5.0-1.1","MT-A35LFR9135AAU1","69.172.201.153","US","","snd/pa2_0.wav","null","","","",""
