"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"480549","ad.html","external-html","0","480663","0.0-0.0","MT-A35NM2285DUAFH","69.172.201.153","US","","","","","","",""
"32583","","instructions","1","513246","0.0-1.0","MT-A35NM2285DUAFH","69.172.201.153","US","[{""page_index"":0,""viewing_time"":32583}]","","","","","",""
"5161","","audio-keyboard-response","2","520417","0.0-2.0","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2491","","survey-multi-select","3","522911","0.0-3.0","MT-A35NM2285DUAFH","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"10505","","html-keyboard-response","4","533417","0.0-4.0","MT-A35NM2285DUAFH","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","533921","0.0-5.0-0.0","MT-A35NM2285DUAFH","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","534171","0.0-5.0-1.0","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/fu.wav","null","","","",""
"null","","audio-keyboard-response","7","534920","0.0-5.0-2.0-0.0","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/fu.wav","null","","","",""
"2322","","html-keyboard-response","8","537242","0.0-5.0-2.0-1.0","MT-A35NM2285DUAFH","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","537491","0.0-5.0-2.1-0.1","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/fu.wav","null","","","",""
"1103","","html-keyboard-response","10","538595","0.0-5.0-2.1-1.1","MT-A35NM2285DUAFH","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","11","538840","0.0-5.0-2.2-0.2","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/fu.wav","null","","","",""
"289","","html-keyboard-response","12","539130","0.0-5.0-2.2-1.2","MT-A35NM2285DUAFH","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","13","539380","0.0-5.0-2.3-0.3","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/fu.wav","null","","","",""
"302","","html-keyboard-response","14","539682","0.0-5.0-2.3-1.3","MT-A35NM2285DUAFH","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","15","539930","0.0-5.0-2.4-0.4","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/fu.wav","null","","","",""
"216","","html-keyboard-response","16","540146","0.0-5.0-2.4-1.4","MT-A35NM2285DUAFH","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","17","540390","0.0-5.0-2.5-0.5","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/fu.wav","null","","","",""
"219","","html-keyboard-response","18","540609","0.0-5.0-2.5-1.5","MT-A35NM2285DUAFH","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","19","540850","0.0-5.0-2.6-0.6","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/fu.wav","null","","","",""
"1120","","html-keyboard-response","20","541970","0.0-5.0-2.6-1.6","MT-A35NM2285DUAFH","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"5045","","survey-text","21","547017","0.0-5.0-3.0","MT-A35NM2285DUAFH","69.172.201.153","US","","","","","","{""Q0"":""fo""}",""
"4612","","audio-keyboard-response","22","551627","0.0-5.0-4.0","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/fu.wav","53","","","","typicality"
"null","","html-keyboard-response","23","552630","0.0-5.0-0.1","MT-A35NM2285DUAFH","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","24","552889","0.0-5.0-1.1","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/ni.wav","null","","","",""
"null","","audio-keyboard-response","25","553650","0.0-5.0-2.7-0.7","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/ni.wav","null","","","",""
"1102","","html-keyboard-response","26","554753","0.0-5.0-2.7-1.7","MT-A35NM2285DUAFH","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"1778","","survey-text","27","556531","0.0-5.0-3.1","MT-A35NM2285DUAFH","69.172.201.153","US","","","","","","{""Q0"":""ne""}",""
"1231","","audio-keyboard-response","28","557770","0.0-5.0-4.1","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/ni.wav","54","","","","typicality"
"null","","html-keyboard-response","29","558774","0.0-5.0-0.2","MT-A35NM2285DUAFH","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","30","559030","0.0-5.0-1.2","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/so2_0.wav","null","","","",""
"null","","audio-keyboard-response","31","559790","0.0-5.0-2.8-0.8","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/so2_0.wav","null","","","",""
"1075","","html-keyboard-response","32","560865","0.0-5.0-2.8-1.8","MT-A35NM2285DUAFH","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"1886","","survey-text","33","562751","0.0-5.0-3.2","MT-A35NM2285DUAFH","69.172.201.153","US","","","","","","{""Q0"":""so""}",""
"2302","","audio-keyboard-response","34","565050","0.0-5.0-4.2","MT-A35NM2285DUAFH","69.172.201.153","US","","snd/so2_0.wav","54","","","","typicality"
"null","","html-keyboard-response","35","566053","0.0-5.0-0.3","MT-A35NM2285DUAFH","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
