"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1600","ad.html","external-html","0","1693","0.0-0.0","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","","","","","",""
"13998","","instructions","1","15692","0.0-1.0","MT-A3BFMY5OX2WMUW","69.172.201.153","US","[{""page_index"":0,""viewing_time"":13997}]","","","","","",""
"2160","","audio-keyboard-response","2","19880","0.0-2.0","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2667","","survey-multi-select","3","22551","0.0-3.0","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"68272","","html-keyboard-response","4","90824","0.0-4.0","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","91326","0.0-5.0-0.0","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","91633","0.0-5.0-1.0","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","snd/no.wav","null","","","",""
"null","","audio-keyboard-response","7","92393","0.0-5.0-2.0-0.0","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","snd/no.wav","null","","","",""
"2734","","html-keyboard-response","8","95128","0.0-5.0-2.0-1.0","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","95549","0.0-5.0-2.1-0.1","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","snd/no.wav","null","","","",""
"693","","html-keyboard-response","10","96264","0.0-5.0-2.1-1.1","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","11","96523","0.0-5.0-2.2-0.2","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","snd/no.wav","null","","","",""
"789","","html-keyboard-response","12","97312","0.0-5.0-2.2-1.2","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"6031","","survey-text","13","103344","0.0-5.0-3.0","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","","","","","{""Q0"":""no""}",""
"4709","","audio-keyboard-response","14","108056","0.0-5.0-4.0","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","snd/no.wav","53","","","","typicality"
"null","","html-keyboard-response","15","109060","0.0-5.0-0.1","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","16","109303","0.0-5.0-1.1","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"null","","audio-keyboard-response","17","110063","0.0-5.0-2.3-0.3","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"1913","","html-keyboard-response","18","111978","0.0-5.0-2.3-1.3","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3660","","survey-text","19","115640","0.0-5.0-3.1","MT-A3BFMY5OX2WMUW","69.172.201.153","US","","","","","","{""Q0"":""may""}",""
