"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1278","ad.html","external-html","0","1457","0.0-0.0","MT-A3HE29W5IDR394","69.172.201.153","US","","","","","","",""
"34781","","instructions","1","36240","0.0-1.0","MT-A3HE29W5IDR394","69.172.201.153","US","[{""page_index"":0,""viewing_time"":34779}]","","","","","",""
"5155","","audio-keyboard-response","2","43421","0.0-2.0","MT-A3HE29W5IDR394","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"4253","","survey-multi-select","3","47687","0.0-3.0","MT-A3HE29W5IDR394","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"14926","","html-keyboard-response","4","62618","0.0-4.0","MT-A3HE29W5IDR394","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","63120","0.0-5.0-0.0","MT-A3HE29W5IDR394","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","63370","0.0-5.0-1.0","MT-A3HE29W5IDR394","69.172.201.153","US","","snd/lo.wav","null","","","",""
"null","","audio-keyboard-response","7","64124","0.0-5.0-2.0-0.0","MT-A3HE29W5IDR394","69.172.201.153","US","","snd/lo.wav","null","","","",""
"4508","","html-keyboard-response","8","68633","0.0-5.0-2.0-1.0","MT-A3HE29W5IDR394","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","68886","0.0-5.0-2.1-0.1","MT-A3HE29W5IDR394","69.172.201.153","US","","snd/lo.wav","null","","","",""
"770","","html-keyboard-response","10","69656","0.0-5.0-2.1-1.1","MT-A3HE29W5IDR394","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","11","69903","0.0-5.0-2.2-0.2","MT-A3HE29W5IDR394","69.172.201.153","US","","snd/lo.wav","null","","","",""
"985","","html-keyboard-response","12","70888","0.0-5.0-2.2-1.2","MT-A3HE29W5IDR394","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","76","","","",""
"5109","","survey-text","13","76001","0.0-5.0-3.0","MT-A3HE29W5IDR394","69.172.201.153","US","","","","","","{""Q0"":""lo""}",""
"5329","","audio-keyboard-response","14","81336","0.0-5.0-4.0","MT-A3HE29W5IDR394","69.172.201.153","US","","snd/lo.wav","53","","","","typicality"
"null","","html-keyboard-response","15","82338","0.0-5.0-0.1","MT-A3HE29W5IDR394","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","16","82580","0.0-5.0-1.1","MT-A3HE29W5IDR394","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"null","","audio-keyboard-response","17","83339","0.0-5.0-2.3-0.3","MT-A3HE29W5IDR394","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"1373","","html-keyboard-response","18","84714","0.0-5.0-2.3-1.3","MT-A3HE29W5IDR394","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"4421","","survey-text","19","89137","0.0-5.0-3.1","MT-A3HE29W5IDR394","69.172.201.153","US","","","","","","{""Q0"":""bu""}",""
"2821","","audio-keyboard-response","20","91960","0.0-5.0-4.1","MT-A3HE29W5IDR394","69.172.201.153","US","","snd/pu3_1.wav","51","","","","typicality"
"null","","html-keyboard-response","21","92963","0.0-5.0-0.2","MT-A3HE29W5IDR394","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","22","93214","0.0-5.0-1.2","MT-A3HE29W5IDR394","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"null","","audio-keyboard-response","23","93959","0.0-5.0-2.4-0.4","MT-A3HE29W5IDR394","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"1137","","html-keyboard-response","24","95097","0.0-5.0-2.4-1.4","MT-A3HE29W5IDR394","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3730","","survey-text","25","98828","0.0-5.0-3.2","MT-A3HE29W5IDR394","69.172.201.153","US","","","","","","{""Q0"":""mu""}",""
