"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"3581","ad.html","external-html","0","3718","0.0-0.0","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","","","","","",""
"24386","","instructions","1","28105","0.0-1.0","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","[{""page_index"":0,""viewing_time"":24385}]","","","","","",""
"5060","","audio-keyboard-response","2","35159","0.0-2.0","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"7133","","survey-multi-select","3","42296","0.0-3.0","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","","","","","{""Q0"":[""English"",""Spanish""]}",""
"13440","","html-keyboard-response","4","55737","0.0-4.0","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","65","","","",""
"null","","html-keyboard-response","5","56240","0.0-5.0-0.0","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","56487","0.0-5.0-1.0","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
"null","","audio-keyboard-response","7","57237","0.0-5.0-2.0-0.0","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
"2614","","html-keyboard-response","8","59851","0.0-5.0-2.0-1.0","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","60096","0.0-5.0-2.1-0.1","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
"1228","","html-keyboard-response","10","61324","0.0-5.0-2.1-1.1","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","11","61567","0.0-5.0-2.2-0.2","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
"701","","html-keyboard-response","12","62268","0.0-5.0-2.2-1.2","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","13","62516","0.0-5.0-2.3-0.3","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
"699","","html-keyboard-response","14","63215","0.0-5.0-2.3-1.3","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","15","63457","0.0-5.0-2.4-0.4","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
"656","","html-keyboard-response","16","64113","0.0-5.0-2.4-1.4","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","17","64357","0.0-5.0-2.5-0.5","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
"446","","html-keyboard-response","18","64804","0.0-5.0-2.5-1.5","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","19","65047","0.0-5.0-2.6-0.6","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
"351","","html-keyboard-response","20","65399","0.0-5.0-2.6-1.6","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","21","65647","0.0-5.0-2.7-0.7","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
"268","","html-keyboard-response","22","65915","0.0-5.0-2.7-1.7","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","23","66156","0.0-5.0-2.8-0.8","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
"278","","html-keyboard-response","24","66434","0.0-5.0-2.8-1.8","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","25","66677","0.0-5.0-2.9-0.9","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
"289","","html-keyboard-response","26","66966","0.0-5.0-2.9-1.9","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","27","67207","0.0-5.0-2.10-0.10","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
"256","","html-keyboard-response","28","67464","0.0-5.0-2.10-1.10","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","29","67707","0.0-5.0-2.11-0.11","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
"233","","html-keyboard-response","30","67940","0.0-5.0-2.11-1.11","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","31","68187","0.0-5.0-2.12-0.12","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
"216","","html-keyboard-response","32","68404","0.0-5.0-2.12-1.12","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","33","68647","0.0-5.0-2.13-0.13","MT-A3HKMZ9ML9EPUY","69.172.201.153","US","","snd/fu.wav","null","","","",""
