"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"25089","ad.html","external-html","0","25197","0.0-0.0","MT-A3J55BJGV95JKH","69.172.201.153","US","","","","","","",""
"12973","","instructions","1","38171","0.0-1.0","MT-A3J55BJGV95JKH","69.172.201.153","US","[{""page_index"":0,""viewing_time"":12971}]","","","","","",""
"4741","","audio-keyboard-response","2","44923","0.0-2.0","MT-A3J55BJGV95JKH","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"3735","","survey-multi-select","3","48667","0.0-3.0","MT-A3J55BJGV95JKH","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"11100","","html-keyboard-response","4","59771","0.0-4.0","MT-A3J55BJGV95JKH","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","81","","","",""
"null","","html-keyboard-response","5","60274","0.0-5.0-0.0","MT-A3J55BJGV95JKH","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","60528","0.0-5.0-1.0","MT-A3J55BJGV95JKH","69.172.201.153","US","","snd/la.wav","null","","","",""
"null","","audio-keyboard-response","7","61288","0.0-5.0-2.0-0.0","MT-A3J55BJGV95JKH","69.172.201.153","US","","snd/la.wav","null","","","",""
"4457","","html-keyboard-response","8","65746","0.0-5.0-2.0-1.0","MT-A3J55BJGV95JKH","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","65998","0.0-5.0-2.1-0.1","MT-A3J55BJGV95JKH","69.172.201.153","US","","snd/la.wav","null","","","",""
"3018","","html-keyboard-response","10","69018","0.0-5.0-2.1-1.1","MT-A3J55BJGV95JKH","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","76","","","",""
"8624","","survey-text","11","77644","0.0-5.0-3.0","MT-A3J55BJGV95JKH","69.172.201.153","US","","","","","","{""Q0"":""la""}",""
"24779","","audio-keyboard-response","12","102425","0.0-5.0-4.0","MT-A3J55BJGV95JKH","69.172.201.153","US","","snd/la.wav","55","","","","typicality"
"null","","html-keyboard-response","13","103429","0.0-5.0-0.1","MT-A3J55BJGV95JKH","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","14","103687","0.0-5.0-1.1","MT-A3J55BJGV95JKH","69.172.201.153","US","","snd/ma.wav","null","","","",""
"null","","audio-keyboard-response","15","104448","0.0-5.0-2.2-0.2","MT-A3J55BJGV95JKH","69.172.201.153","US","","snd/ma.wav","null","","","",""
"1697","","html-keyboard-response","16","106146","0.0-5.0-2.2-1.2","MT-A3J55BJGV95JKH","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","89","","","",""
"3805","","survey-text","17","109951","0.0-5.0-3.1","MT-A3J55BJGV95JKH","69.172.201.153","US","","","","","","{""Q0"":""ma""}",""
"6549","","audio-keyboard-response","18","116506","0.0-5.0-4.1","MT-A3J55BJGV95JKH","69.172.201.153","US","","snd/ma.wav","55","","","","typicality"
