"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"3849","ad.html","external-html","0","3959","0.0-0.0","MT-A3N8DCHN76QJ8K","69.172.201.153","US","","","","","","",""
"28509","","instructions","1","32471","0.0-1.0","MT-A3N8DCHN76QJ8K","69.172.201.153","US","[{""page_index"":0,""viewing_time"":28507}]","","","","","",""
"6258","","audio-keyboard-response","2","40724","0.0-2.0","MT-A3N8DCHN76QJ8K","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"5463","","survey-multi-select","3","46200","0.0-3.0","MT-A3N8DCHN76QJ8K","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"7655","","html-keyboard-response","4","53859","0.0-4.0","MT-A3N8DCHN76QJ8K","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","13","","","",""
"null","","html-keyboard-response","5","54363","0.0-5.0-0.0","MT-A3N8DCHN76QJ8K","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","54619","0.0-5.0-1.0","MT-A3N8DCHN76QJ8K","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"null","","audio-keyboard-response","7","55377","0.0-5.0-2.0-0.0","MT-A3N8DCHN76QJ8K","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"3235","","html-keyboard-response","8","58612","0.0-5.0-2.0-1.0","MT-A3N8DCHN76QJ8K","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","58868","0.0-5.0-2.1-0.1","MT-A3N8DCHN76QJ8K","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"985","","html-keyboard-response","10","59853","0.0-5.0-2.1-1.1","MT-A3N8DCHN76QJ8K","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","11","60099","0.0-5.0-2.2-0.2","MT-A3N8DCHN76QJ8K","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"519","","html-keyboard-response","12","60620","0.0-5.0-2.2-1.2","MT-A3N8DCHN76QJ8K","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","13","60875","0.0-5.0-2.3-0.3","MT-A3N8DCHN76QJ8K","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"322","","html-keyboard-response","14","61197","0.0-5.0-2.3-1.3","MT-A3N8DCHN76QJ8K","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
