"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1723","ad.html","external-html","0","2049","0.0-0.0","MT-A3SKEW89V5S0DI","69.172.201.153","US","","","","","","",""
"26632","","instructions","1","28682","0.0-1.0","MT-A3SKEW89V5S0DI","69.172.201.153","US","[{""page_index"":0,""viewing_time"":26631}]","","","","","",""
"3164","","audio-keyboard-response","2","33861","0.0-2.0","MT-A3SKEW89V5S0DI","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"4023","","survey-multi-select","3","37893","0.0-3.0","MT-A3SKEW89V5S0DI","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"10722","","html-keyboard-response","4","48618","0.0-4.0","MT-A3SKEW89V5S0DI","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","49121","0.0-5.0-0.0","MT-A3SKEW89V5S0DI","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","49372","0.0-5.0-1.0","MT-A3SKEW89V5S0DI","69.172.201.153","US","","snd/ma.wav","null","","","",""
"null","","audio-keyboard-response","7","50127","0.0-5.0-2.0-0.0","MT-A3SKEW89V5S0DI","69.172.201.153","US","","snd/ma.wav","null","","","",""
"2867","","html-keyboard-response","8","52995","0.0-5.0-2.0-1.0","MT-A3SKEW89V5S0DI","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3662","","survey-text","9","56659","0.0-5.0-3.0","MT-A3SKEW89V5S0DI","69.172.201.153","US","","","","","","{""Q0"":""ma""}",""
"4093","","audio-keyboard-response","10","60752","0.0-5.0-4.0","MT-A3SKEW89V5S0DI","69.172.201.153","US","","snd/ma.wav","54","","","","typicality"
"null","","html-keyboard-response","11","61755","0.0-5.0-0.1","MT-A3SKEW89V5S0DI","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","61976","0.0-5.0-1.1","MT-A3SKEW89V5S0DI","69.172.201.153","US","","snd/ti.wav","null","","","",""
"null","","audio-keyboard-response","13","62696","0.0-5.0-2.1-0.1","MT-A3SKEW89V5S0DI","69.172.201.153","US","","snd/ti.wav","null","","","",""
"1531","","html-keyboard-response","14","64227","0.0-5.0-2.1-1.1","MT-A3SKEW89V5S0DI","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3955","","survey-text","15","68186","0.0-5.0-3.1","MT-A3SKEW89V5S0DI","69.172.201.153","US","","","","","","{""Q0"":""p""}",""
"2206","","audio-keyboard-response","16","70393","0.0-5.0-4.1","MT-A3SKEW89V5S0DI","69.172.201.153","US","","snd/ti.wav","52","","","","typicality"
"null","","html-keyboard-response","17","71397","0.0-5.0-0.2","MT-A3SKEW89V5S0DI","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","18","71648","0.0-5.0-1.2","MT-A3SKEW89V5S0DI","69.172.201.153","US","","snd/li.wav","null","","","",""
"null","","audio-keyboard-response","19","72402","0.0-5.0-2.2-0.2","MT-A3SKEW89V5S0DI","69.172.201.153","US","","snd/li.wav","null","","","",""
"1060","","html-keyboard-response","20","73464","0.0-5.0-2.2-1.2","MT-A3SKEW89V5S0DI","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"5512","","survey-text","21","78978","0.0-5.0-3.2","MT-A3SKEW89V5S0DI","69.172.201.153","US","","","","","","{""Q0"":""le""}",""
"2757","","audio-keyboard-response","22","81734","0.0-5.0-4.2","MT-A3SKEW89V5S0DI","69.172.201.153","US","","snd/li.wav","54","","","","typicality"
"null","","html-keyboard-response","23","82737","0.0-5.0-0.3","MT-A3SKEW89V5S0DI","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","24","82991","0.0-5.0-1.3","MT-A3SKEW89V5S0DI","69.172.201.153","US","","snd/ta2_1.wav","null","","","",""
"null","","audio-keyboard-response","25","83746","0.0-5.0-2.3-0.3","MT-A3SKEW89V5S0DI","69.172.201.153","US","","snd/ta2_1.wav","null","","","",""
"1463","","html-keyboard-response","26","85210","0.0-5.0-2.3-1.3","MT-A3SKEW89V5S0DI","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3426","","survey-text","27","88637","0.0-5.0-3.3","MT-A3SKEW89V5S0DI","69.172.201.153","US","","","","","","{""Q0"":""ta""}",""
"2345","","audio-keyboard-response","28","90980","0.0-5.0-4.3","MT-A3SKEW89V5S0DI","69.172.201.153","US","","snd/ta2_1.wav","50","","","","typicality"
"null","","html-keyboard-response","29","91984","0.0-5.0-0.4","MT-A3SKEW89V5S0DI","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","30","92234","0.0-5.0-1.4","MT-A3SKEW89V5S0DI","69.172.201.153","US","","snd/to.wav","null","","","",""
