"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1522","ad.html","external-html","0","1610","0.0-0.0","MT-A4LCG4MSNJRUF","69.172.201.153","US","","","","","","",""
"28383","","instructions","1","29994","0.0-1.0","MT-A4LCG4MSNJRUF","69.172.201.153","US","[{""page_index"":0,""viewing_time"":28382}]","","","","","",""
"2651","","audio-keyboard-response","2","34641","0.0-2.0","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"1925","","survey-multi-select","3","36570","0.0-3.0","MT-A4LCG4MSNJRUF","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"5525","","html-keyboard-response","4","42097","0.0-4.0","MT-A4LCG4MSNJRUF","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","42599","0.0-5.0-0.0","MT-A4LCG4MSNJRUF","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","42839","0.0-5.0-1.0","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"null","","audio-keyboard-response","7","43590","0.0-5.0-2.0-0.0","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"2210","","html-keyboard-response","8","45801","0.0-5.0-2.0-1.0","MT-A4LCG4MSNJRUF","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","71","","","",""
"4591","","survey-text","9","50393","0.0-5.0-3.0","MT-A4LCG4MSNJRUF","69.172.201.153","US","","","","","","{""Q0"":""ce""}",""
"3931","","audio-keyboard-response","10","54333","0.0-5.0-4.0","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/si1_0.wav","55","","","","typicality"
"null","","html-keyboard-response","11","55334","0.0-5.0-0.1","MT-A4LCG4MSNJRUF","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","55593","0.0-5.0-1.1","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"null","","audio-keyboard-response","13","56353","0.0-5.0-2.1-0.1","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"3972","","html-keyboard-response","14","60325","0.0-5.0-2.1-1.1","MT-A4LCG4MSNJRUF","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","77","","","",""
"4263","","survey-text","15","64589","0.0-5.0-3.1","MT-A4LCG4MSNJRUF","69.172.201.153","US","","","","","","{""Q0"":""mu""}",""
"2160","","audio-keyboard-response","16","66748","0.0-5.0-4.1","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/mu1_0.wav","51","","","","typicality"
"null","","html-keyboard-response","17","67751","0.0-5.0-0.2","MT-A4LCG4MSNJRUF","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","18","68003","0.0-5.0-1.2","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/no.wav","null","","","",""
"null","","audio-keyboard-response","19","68763","0.0-5.0-2.2-0.2","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/no.wav","null","","","",""
"1513","","html-keyboard-response","20","70276","0.0-5.0-2.2-1.2","MT-A4LCG4MSNJRUF","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","78","","","",""
"2631","","survey-text","21","72909","0.0-5.0-3.2","MT-A4LCG4MSNJRUF","69.172.201.153","US","","","","","","{""Q0"":""no""}",""
"2381","","audio-keyboard-response","22","75292","0.0-5.0-4.2","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/no.wav","55","","","","typicality"
"null","","html-keyboard-response","23","76294","0.0-5.0-0.3","MT-A4LCG4MSNJRUF","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","24","76553","0.0-5.0-1.3","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"null","","audio-keyboard-response","25","77313","0.0-5.0-2.3-0.3","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"2235","","html-keyboard-response","26","79548","0.0-5.0-2.3-1.3","MT-A4LCG4MSNJRUF","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","72","","","",""
"4487","","survey-text","27","84036","0.0-5.0-3.3","MT-A4LCG4MSNJRUF","69.172.201.153","US","","","","","","{""Q0"":""bay""}",""
"1629","","audio-keyboard-response","28","85668","0.0-5.0-4.3","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/pe2_1.wav","51","","","","typicality"
"null","","html-keyboard-response","29","86669","0.0-5.0-0.4","MT-A4LCG4MSNJRUF","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","30","86912","0.0-5.0-1.4","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"null","","audio-keyboard-response","31","87673","0.0-5.0-2.4-0.4","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"1882","","html-keyboard-response","32","89556","0.0-5.0-2.4-1.4","MT-A4LCG4MSNJRUF","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","33","89802","0.0-5.0-2.5-0.5","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"1465","","html-keyboard-response","34","91268","0.0-5.0-2.5-1.5","MT-A4LCG4MSNJRUF","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","35","91512","0.0-5.0-2.6-0.6","MT-A4LCG4MSNJRUF","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"931","","html-keyboard-response","36","92444","0.0-5.0-2.6-1.6","MT-A4LCG4MSNJRUF","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","66","","","",""
"2672","","survey-text","37","95116","0.0-5.0-3.4","MT-A4LCG4MSNJRUF","69.172.201.153","US","","","","","","{""Q0"":""gu""}",""
