"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"2579","ad.html","external-html","0","2688","0.0-0.0","MT-A4T4577P6JL6R","69.172.201.153","US","","","","","","",""
"30989","","instructions","1","33678","0.0-1.0","MT-A4T4577P6JL6R","69.172.201.153","US","[{""page_index"":0,""viewing_time"":30988}]","","","","","",""
"4440","","audio-keyboard-response","2","40128","0.0-2.0","MT-A4T4577P6JL6R","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"9566","","survey-multi-select","3","49697","0.0-3.0","MT-A4T4577P6JL6R","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"18357","","html-keyboard-response","4","68056","0.0-4.0","MT-A4T4577P6JL6R","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","71","","","",""
"null","","html-keyboard-response","5","68559","0.0-5.0-0.0","MT-A4T4577P6JL6R","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","68808","0.0-5.0-1.0","MT-A4T4577P6JL6R","69.172.201.153","US","","snd/no.wav","null","","","",""
"null","","audio-keyboard-response","7","69569","0.0-5.0-2.0-0.0","MT-A4T4577P6JL6R","69.172.201.153","US","","snd/no.wav","null","","","",""
"5046","","html-keyboard-response","8","74616","0.0-5.0-2.0-1.0","MT-A4T4577P6JL6R","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","74869","0.0-5.0-2.1-0.1","MT-A4T4577P6JL6R","69.172.201.153","US","","snd/no.wav","null","","","",""
"3018","","html-keyboard-response","10","77887","0.0-5.0-2.1-1.1","MT-A4T4577P6JL6R","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","78","","","",""
"35091","","survey-text","11","112979","0.0-5.0-3.0","MT-A4T4577P6JL6R","69.172.201.153","US","","","","","","{""Q0"":""No""}",""
"6390","","audio-keyboard-response","12","119375","0.0-5.0-4.0","MT-A4T4577P6JL6R","69.172.201.153","US","","snd/no.wav","55","","","","typicality"
"null","","html-keyboard-response","13","120380","0.0-5.0-0.1","MT-A4T4577P6JL6R","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","14","120628","0.0-5.0-1.1","MT-A4T4577P6JL6R","69.172.201.153","US","","snd/pa2_0.wav","null","","","",""
"null","","audio-keyboard-response","15","121379","0.0-5.0-2.2-0.2","MT-A4T4577P6JL6R","69.172.201.153","US","","snd/pa2_0.wav","null","","","",""
"2836","","html-keyboard-response","16","124215","0.0-5.0-2.2-1.2","MT-A4T4577P6JL6R","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","66","","","",""
"3630","","survey-text","17","127846","0.0-5.0-3.1","MT-A4T4577P6JL6R","69.172.201.153","US","","","","","","{""Q0"":""ba""}",""
"3900","","audio-keyboard-response","18","131743","0.0-5.0-4.1","MT-A4T4577P6JL6R","69.172.201.153","US","","snd/pa2_0.wav","55","","","","typicality"
"null","","html-keyboard-response","19","132745","0.0-5.0-0.2","MT-A4T4577P6JL6R","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","20","132989","0.0-5.0-1.2","MT-A4T4577P6JL6R","69.172.201.153","US","","snd/fu.wav","null","","","",""
"null","","audio-keyboard-response","21","133738","0.0-5.0-2.3-0.3","MT-A4T4577P6JL6R","69.172.201.153","US","","snd/fu.wav","null","","","",""
