"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"3437","ad.html","external-html","0","3821","0.0-0.0","MT-ACXGNNBH4248S","69.172.201.153","US","","","","","","",""
"61026","","instructions","1","64849","0.0-1.0","MT-ACXGNNBH4248S","69.172.201.153","US","[{""page_index"":0,""viewing_time"":61025}]","","","","","",""
"7269","","audio-keyboard-response","2","74197","0.0-2.0","MT-ACXGNNBH4248S","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"6260","","survey-multi-select","3","80476","0.0-3.0","MT-ACXGNNBH4248S","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"27458","","html-keyboard-response","4","107938","0.0-4.0","MT-ACXGNNBH4248S","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","108442","0.0-5.0-0.0","MT-ACXGNNBH4248S","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","108756","0.0-5.0-1.0","MT-ACXGNNBH4248S","69.172.201.153","US","","snd/lo.wav","null","","","",""
"null","","audio-keyboard-response","7","109516","0.0-5.0-2.0-0.0","MT-ACXGNNBH4248S","69.172.201.153","US","","snd/lo.wav","null","","","",""
"1584","","html-keyboard-response","8","111102","0.0-5.0-2.0-1.0","MT-ACXGNNBH4248S","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"12039","","survey-text","9","123144","0.0-5.0-3.0","MT-ACXGNNBH4248S","69.172.201.153","US","","","","","","{""Q0"":""5""}",""
"16840","","audio-keyboard-response","10","139977","0.0-5.0-4.0","MT-ACXGNNBH4248S","69.172.201.153","US","","snd/lo.wav","53","","","","typicality"
"null","","html-keyboard-response","11","140983","0.0-5.0-0.1","MT-ACXGNNBH4248S","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","141236","0.0-5.0-1.1","MT-ACXGNNBH4248S","69.172.201.153","US","","snd/ma.wav","null","","","",""
"null","","audio-keyboard-response","13","141996","0.0-5.0-2.1-0.1","MT-ACXGNNBH4248S","69.172.201.153","US","","snd/ma.wav","null","","","",""
"5855","","html-keyboard-response","14","147852","0.0-5.0-2.1-1.1","MT-ACXGNNBH4248S","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","15","148106","0.0-5.0-2.2-0.2","MT-ACXGNNBH4248S","69.172.201.153","US","","snd/ma.wav","null","","","",""
"3122","","html-keyboard-response","16","151230","0.0-5.0-2.2-1.2","MT-ACXGNNBH4248S","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","78","","","",""
"5963","","survey-text","17","157195","0.0-5.0-3.1","MT-ACXGNNBH4248S","69.172.201.153","US","","","","","","{""Q0"":""ma""}",""
"3669","","audio-keyboard-response","18","160871","0.0-5.0-4.1","MT-ACXGNNBH4248S","69.172.201.153","US","","snd/ma.wav","53","","","","typicality"
"null","","html-keyboard-response","19","161876","0.0-5.0-0.2","MT-ACXGNNBH4248S","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","20","162126","0.0-5.0-1.2","MT-ACXGNNBH4248S","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"null","","audio-keyboard-response","21","162875","0.0-5.0-2.3-0.3","MT-ACXGNNBH4248S","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"1039","","html-keyboard-response","22","163916","0.0-5.0-2.3-1.3","MT-ACXGNNBH4248S","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","23","164166","0.0-5.0-2.4-0.4","MT-ACXGNNBH4248S","69.172.201.153","US","","snd/pu3_1.wav","null","","","",""
"1085","","html-keyboard-response","24","165252","0.0-5.0-2.4-1.4","MT-ACXGNNBH4248S","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
