"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"3829","ad.html","external-html","0","3913","0.0-0.0","MT-AD7A7J28H5JDT","69.172.201.153","US","","","","","","",""
"32391","","instructions","1","36305","0.0-1.0","MT-AD7A7J28H5JDT","69.172.201.153","US","[{""page_index"":0,""viewing_time"":32390}]","","","","","",""
"7389","","audio-keyboard-response","2","45688","0.0-2.0","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"6049","","survey-multi-select","3","51741","0.0-3.0","MT-AD7A7J28H5JDT","69.172.201.153","US","","","","","","{""Q0"":[""English"",""Portuguese""]}",""
"10985","","html-keyboard-response","4","62727","0.0-4.0","MT-AD7A7J28H5JDT","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","63229","0.0-5.0-0.0","MT-AD7A7J28H5JDT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","63487","0.0-5.0-1.0","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/ku.wav","null","","","",""
"null","","audio-keyboard-response","7","64246","0.0-5.0-2.0-0.0","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/ku.wav","null","","","",""
"4345","","html-keyboard-response","8","68593","0.0-5.0-2.0-1.0","MT-AD7A7J28H5JDT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","79","","","",""
"20952","","survey-text","9","89552","0.0-5.0-3.0","MT-AD7A7J28H5JDT","69.172.201.153","US","","","","","","{""Q0"":""ooo""}",""
"6349","","audio-keyboard-response","10","95904","0.0-5.0-4.0","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/ku.wav","53","","","","typicality"
"null","","html-keyboard-response","11","96906","0.0-5.0-0.1","MT-AD7A7J28H5JDT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","97136","0.0-5.0-1.1","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/ti.wav","null","","","",""
"null","","audio-keyboard-response","13","97867","0.0-5.0-2.1-0.1","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/ti.wav","null","","","",""
"2894","","html-keyboard-response","14","100761","0.0-5.0-2.1-1.1","MT-AD7A7J28H5JDT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","15","100987","0.0-5.0-2.2-0.2","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/ti.wav","null","","","",""
"1140","","html-keyboard-response","16","102129","0.0-5.0-2.2-1.2","MT-AD7A7J28H5JDT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","17","102357","0.0-5.0-2.3-0.3","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/ti.wav","null","","","",""
"379","","html-keyboard-response","18","102738","0.0-5.0-2.3-1.3","MT-AD7A7J28H5JDT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","19","102978","0.0-5.0-2.4-0.4","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/ti.wav","null","","","",""
"1513","","html-keyboard-response","20","104492","0.0-5.0-2.4-1.4","MT-AD7A7J28H5JDT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"2258","","survey-text","21","106752","0.0-5.0-3.1","MT-AD7A7J28H5JDT","69.172.201.153","US","","","","","","{""Q0"":""dee""}",""
"1600","","audio-keyboard-response","22","108351","0.0-5.0-4.1","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/ti.wav","53","","","","typicality"
"null","","html-keyboard-response","23","109354","0.0-5.0-0.2","MT-AD7A7J28H5JDT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","24","109617","0.0-5.0-1.2","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/li.wav","null","","","",""
"null","","audio-keyboard-response","25","110377","0.0-5.0-2.5-0.5","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/li.wav","null","","","",""
"1301","","html-keyboard-response","26","111679","0.0-5.0-2.5-1.5","MT-AD7A7J28H5JDT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3928","","survey-text","27","115608","0.0-5.0-3.2","MT-AD7A7J28H5JDT","69.172.201.153","US","","","","","","{""Q0"":""lee""}",""
"3371","","audio-keyboard-response","28","118983","0.0-5.0-4.2","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/li.wav","54","","","","typicality"
"null","","html-keyboard-response","29","119985","0.0-5.0-0.3","MT-AD7A7J28H5JDT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","30","120237","0.0-5.0-1.3","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/so2_0.wav","null","","","",""
"null","","audio-keyboard-response","31","120997","0.0-5.0-2.6-0.6","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/so2_0.wav","null","","","",""
"1154","","html-keyboard-response","32","122152","0.0-5.0-2.6-1.6","MT-AD7A7J28H5JDT","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"2439","","survey-text","33","124592","0.0-5.0-3.3","MT-AD7A7J28H5JDT","69.172.201.153","US","","","","","","{""Q0"":""so""}",""
"1440","","audio-keyboard-response","34","126031","0.0-5.0-4.3","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/so2_0.wav","54","","","","typicality"
"null","","html-keyboard-response","35","127036","0.0-5.0-0.4","MT-AD7A7J28H5JDT","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","36","127297","0.0-5.0-1.4","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/lo.wav","null","","","",""
"null","","audio-keyboard-response","37","128067","0.0-5.0-2.7-0.7","MT-AD7A7J28H5JDT","69.172.201.153","US","","snd/lo.wav","null","","","",""
