"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"2623","ad.html","external-html","0","2737","0.0-0.0","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","","","","","",""
"35439","","instructions","1","38177","0.0-1.0","MT-AKZ8SFOAI4RZN","69.172.201.153","US","[{""page_index"":0,""viewing_time"":35438}]","","","","","",""
"3680","","audio-keyboard-response","2","43943","0.0-2.0","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"3831","","survey-multi-select","3","47777","0.0-3.0","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"9573","","html-keyboard-response","4","57353","0.0-4.0","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","57855","0.0-5.0-0.0","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","58100","0.0-5.0-1.0","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","snd/fe.wav","null","","","",""
"null","","audio-keyboard-response","7","58850","0.0-5.0-2.0-0.0","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","snd/fe.wav","null","","","",""
"3154","","html-keyboard-response","8","62004","0.0-5.0-2.0-1.0","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"14795","","survey-text","9","76801","0.0-5.0-3.0","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","","","","","{""Q0"":""feh""}",""
"6341","","audio-keyboard-response","10","83141","0.0-5.0-4.0","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","snd/fe.wav","54","","","","typicality"
"null","","html-keyboard-response","11","84144","0.0-5.0-0.1","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","84400","0.0-5.0-1.1","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","snd/to.wav","null","","","",""
"null","","audio-keyboard-response","13","85160","0.0-5.0-2.1-0.1","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","snd/to.wav","null","","","",""
"1382","","html-keyboard-response","14","86542","0.0-5.0-2.1-1.1","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"9065","","survey-text","15","95608","0.0-5.0-3.1","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","","","","","{""Q0"":""doh""}",""
"5501","","audio-keyboard-response","16","101103","0.0-5.0-4.1","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","snd/to.wav","53","","","","typicality"
"null","","html-keyboard-response","17","102107","0.0-5.0-0.2","MT-AKZ8SFOAI4RZN","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
