"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1462","ad.html","external-html","0","1600","0.0-0.0","MT-ALAEBEEHK525U","69.172.201.153","US","","","","","","",""
"19352","","instructions","1","20953","0.0-1.0","MT-ALAEBEEHK525U","69.172.201.153","US","[{""page_index"":0,""viewing_time"":19350}]","","","","","",""
"3796","","audio-keyboard-response","2","26774","0.0-2.0","MT-ALAEBEEHK525U","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2808","","survey-multi-select","3","29586","0.0-3.0","MT-ALAEBEEHK525U","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"4574","","html-keyboard-response","4","34163","0.0-4.0","MT-ALAEBEEHK525U","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","13","","","",""
"null","","html-keyboard-response","5","34666","0.0-5.0-0.0","MT-ALAEBEEHK525U","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","34921","0.0-5.0-1.0","MT-ALAEBEEHK525U","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"null","","audio-keyboard-response","7","35681","0.0-5.0-2.0-0.0","MT-ALAEBEEHK525U","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"1763","","html-keyboard-response","8","37445","0.0-5.0-2.0-1.0","MT-ALAEBEEHK525U","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","37701","0.0-5.0-2.1-0.1","MT-ALAEBEEHK525U","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"1112","","html-keyboard-response","10","38815","0.0-5.0-2.1-1.1","MT-ALAEBEEHK525U","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","86","","","",""
"6639","","survey-text","11","45456","0.0-5.0-3.0","MT-ALAEBEEHK525U","69.172.201.153","US","","","","","","{""Q0"":""vee""}",""
"11093","","audio-keyboard-response","12","56551","0.0-5.0-4.0","MT-ALAEBEEHK525U","69.172.201.153","US","","snd/pe2_1.wav","53","","","","typicality"
