"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"834","ad.html","external-html","0","877","0.0-0.0","MT-ALEJV7D94ZLHF","69.172.201.153","US","","","","","","",""
"3736","","instructions","1","4614","0.0-1.0","MT-ALEJV7D94ZLHF","69.172.201.153","US","[{""page_index"":0,""viewing_time"":3735}]","","","","","",""
"780","","audio-keyboard-response","2","7395","0.0-2.0","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2406","","survey-multi-select","3","9806","0.0-3.0","MT-ALEJV7D94ZLHF","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"7194","","html-keyboard-response","4","17001","0.0-4.0","MT-ALEJV7D94ZLHF","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","69","","","",""
"null","","html-keyboard-response","5","17503","0.0-5.0-0.0","MT-ALEJV7D94ZLHF","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","17763","0.0-5.0-1.0","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/lo.wav","null","","","",""
"null","","audio-keyboard-response","7","18523","0.0-5.0-2.0-0.0","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/lo.wav","null","","","",""
"2176","","html-keyboard-response","8","20699","0.0-5.0-2.0-1.0","MT-ALEJV7D94ZLHF","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70","","","",""
"3041","","survey-text","9","23741","0.0-5.0-3.0","MT-ALEJV7D94ZLHF","69.172.201.153","US","","","","","","{""Q0"":""lo""}",""
"4340","","audio-keyboard-response","10","28081","0.0-5.0-4.0","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/lo.wav","55","","","","typicality"
"null","","html-keyboard-response","11","29084","0.0-5.0-0.1","MT-ALEJV7D94ZLHF","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","29334","0.0-5.0-1.1","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/ka.wav","null","","","",""
"null","","audio-keyboard-response","13","30084","0.0-5.0-2.1-0.1","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/ka.wav","null","","","",""
"1951","","html-keyboard-response","14","32035","0.0-5.0-2.1-1.1","MT-ALEJV7D94ZLHF","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","15","32284","0.0-5.0-2.2-0.2","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/ka.wav","null","","","",""
"897","","html-keyboard-response","16","33181","0.0-5.0-2.2-1.2","MT-ALEJV7D94ZLHF","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","68","","","",""
"2000","","survey-text","17","35181","0.0-5.0-3.1","MT-ALEJV7D94ZLHF","69.172.201.153","US","","","","","","{""Q0"":""ha""}",""
"2489","","audio-keyboard-response","18","37665","0.0-5.0-4.1","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/ka.wav","50","","","","typicality"
"null","","html-keyboard-response","19","38666","0.0-5.0-0.2","MT-ALEJV7D94ZLHF","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","20","38924","0.0-5.0-1.2","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/ma.wav","null","","","",""
"null","","audio-keyboard-response","21","39684","0.0-5.0-2.3-0.3","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/ma.wav","null","","","",""
"1277","","html-keyboard-response","22","40961","0.0-5.0-2.3-1.3","MT-ALEJV7D94ZLHF","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","86","","","",""
"2188","","survey-text","23","43149","0.0-5.0-3.2","MT-ALEJV7D94ZLHF","69.172.201.153","US","","","","","","{""Q0"":""ma""}",""
"1220","","audio-keyboard-response","24","44373","0.0-5.0-4.2","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/ma.wav","55","","","","typicality"
"null","","html-keyboard-response","25","45376","0.0-5.0-0.3","MT-ALEJV7D94ZLHF","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","26","45633","0.0-5.0-1.3","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/fa.wav","null","","","",""
"null","","audio-keyboard-response","27","46393","0.0-5.0-2.4-0.4","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/fa.wav","null","","","",""
"950","","html-keyboard-response","28","47343","0.0-5.0-2.4-1.4","MT-ALEJV7D94ZLHF","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","68","","","",""
"1238","","survey-text","29","48581","0.0-5.0-3.3","MT-ALEJV7D94ZLHF","69.172.201.153","US","","","","","","{""Q0"":""ba""}",""
"1629","","audio-keyboard-response","30","50207","0.0-5.0-4.3","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/fa.wav","54","","","","typicality"
"null","","html-keyboard-response","31","51209","0.0-5.0-0.4","MT-ALEJV7D94ZLHF","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","32","51454","0.0-5.0-1.4","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/ta2_1.wav","null","","","",""
"null","","audio-keyboard-response","33","52214","0.0-5.0-2.5-0.5","MT-ALEJV7D94ZLHF","69.172.201.153","US","","snd/ta2_1.wav","null","","","",""
"789","","html-keyboard-response","34","53003","0.0-5.0-2.5-1.5","MT-ALEJV7D94ZLHF","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","66","","","",""
"1209","","survey-text","35","54213","0.0-5.0-3.4","MT-ALEJV7D94ZLHF","69.172.201.153","US","","","","","","{""Q0"":""da""}",""
