"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1414","ad.html","external-html","0","1856","0.0-0.0","MT-ALTMSSCYKZS8Z","69.172.201.153","US","","","","","","",""
"3718","","instructions","1","5576","0.0-1.0","MT-ALTMSSCYKZS8Z","69.172.201.153","US","[{""page_index"":0,""viewing_time"":3716}]","","","","","",""
"1602","","audio-keyboard-response","2","9186","0.0-2.0","MT-ALTMSSCYKZS8Z","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"3944","","survey-multi-select","3","13140","0.0-3.0","MT-ALTMSSCYKZS8Z","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"10257","","html-keyboard-response","4","23401","0.0-4.0","MT-ALTMSSCYKZS8Z","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","23906","0.0-5.0-0.0","MT-ALTMSSCYKZS8Z","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","24157","0.0-5.0-1.0","MT-ALTMSSCYKZS8Z","69.172.201.153","US","","snd/ka.wav","null","","","",""
"null","","audio-keyboard-response","7","24906","0.0-5.0-2.0-0.0","MT-ALTMSSCYKZS8Z","69.172.201.153","US","","snd/ka.wav","null","","","",""
"5094","","html-keyboard-response","8","30002","0.0-5.0-2.0-1.0","MT-ALTMSSCYKZS8Z","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","30246","0.0-5.0-2.1-0.1","MT-ALTMSSCYKZS8Z","69.172.201.153","US","","snd/ka.wav","null","","","",""
"3006","","html-keyboard-response","10","33254","0.0-5.0-2.1-1.1","MT-ALTMSSCYKZS8Z","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
