"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"16849","ad.html","external-html","0","16891","0.0-0.0","MT-AM8HWCZFGT1O5","69.172.201.153","US","","","","","","",""
"18382","","instructions","1","35274","0.0-1.0","MT-AM8HWCZFGT1O5","69.172.201.153","US","[{""page_index"":0,""viewing_time"":18381}]","","","","","",""
"4920","","audio-keyboard-response","2","42191","0.0-2.0","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2074","","survey-multi-select","3","44271","0.0-3.0","MT-AM8HWCZFGT1O5","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"1366","","html-keyboard-response","4","45638","0.0-4.0","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","46139","0.0-5.0-0.0","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","46386","0.0-5.0-1.0","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"null","","audio-keyboard-response","7","47135","0.0-5.0-2.0-0.0","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"5125","","html-keyboard-response","8","52261","0.0-5.0-2.0-1.0","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","9","52505","0.0-5.0-2.1-0.1","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"1525","","html-keyboard-response","10","54031","0.0-5.0-2.1-1.1","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"6649","","survey-text","11","60680","0.0-5.0-3.0","MT-AM8HWCZFGT1O5","69.172.201.153","US","","","","","","{""Q0"":""meh""}",""
"4808","","audio-keyboard-response","12","65493","0.0-5.0-4.0","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/me2_0.wav","51","","","","typicality"
"null","","html-keyboard-response","13","66494","0.0-5.0-0.1","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","14","66735","0.0-5.0-1.1","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"null","","audio-keyboard-response","15","67495","0.0-5.0-2.2-0.2","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"902","","html-keyboard-response","16","68398","0.0-5.0-2.2-1.2","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"1930","","survey-text","17","70329","0.0-5.0-3.1","MT-AM8HWCZFGT1O5","69.172.201.153","US","","","","","","{""Q0"":""moo""}",""
"952","","audio-keyboard-response","18","71280","0.0-5.0-4.1","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/mu1_0.wav","55","","","","typicality"
"null","","html-keyboard-response","19","72284","0.0-5.0-0.2","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","20","72536","0.0-5.0-1.2","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/li.wav","null","","","",""
"null","","audio-keyboard-response","21","73295","0.0-5.0-2.3-0.3","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/li.wav","null","","","",""
"1265","","html-keyboard-response","22","74561","0.0-5.0-2.3-1.3","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3340","","survey-text","23","77901","0.0-5.0-3.2","MT-AM8HWCZFGT1O5","69.172.201.153","US","","","","","","{""Q0"":""lee""}",""
"840","","audio-keyboard-response","24","78740","0.0-5.0-4.2","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/li.wav","55","","","","typicality"
"null","","html-keyboard-response","25","79743","0.0-5.0-0.3","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","26","79985","0.0-5.0-1.3","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"null","","audio-keyboard-response","27","80735","0.0-5.0-2.4-0.4","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"825","","html-keyboard-response","28","81560","0.0-5.0-2.4-1.4","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","29","81815","0.0-5.0-2.5-0.5","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"1211","","html-keyboard-response","30","83026","0.0-5.0-2.5-1.5","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","31","83275","0.0-5.0-2.6-0.6","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"527","","html-keyboard-response","32","83802","0.0-5.0-2.6-1.6","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","33","84056","0.0-5.0-2.7-0.7","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"418","","html-keyboard-response","34","84474","0.0-5.0-2.7-1.7","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","35","84715","0.0-5.0-2.8-0.8","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"505","","html-keyboard-response","36","85220","0.0-5.0-2.8-1.8","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","37","85465","0.0-5.0-2.9-0.9","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"595","","html-keyboard-response","38","86060","0.0-5.0-2.9-1.9","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","39","86305","0.0-5.0-2.10-0.10","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"444","","html-keyboard-response","40","86750","0.0-5.0-2.10-1.10","MT-AM8HWCZFGT1O5","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82","","","",""
"null","","audio-keyboard-response","41","86995","0.0-5.0-2.11-0.11","MT-AM8HWCZFGT1O5","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
