"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"1108","ad.html","external-html","0","1227","0.0-0.0","MT-AN9MVFWRCF2OP","","","","",""
"26640","","instructions","1","27869","0.0-1.0","MT-AN9MVFWRCF2OP","[{""page_index"":0,""viewing_time"":26639}]","","","",""
"3370","","survey-multi-select","2","33251","0.0-2.0","MT-AN9MVFWRCF2OP","","{""Q0"":[""English""]}","","",""
"6623","","html-keyboard-response","3","39876","0.0-3.0","MT-AN9MVFWRCF2OP","","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32",""
"null","","html-keyboard-response","4","40381","0.0-4.0-0.0","MT-AN9MVFWRCF2OP","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","5","40646","0.0-4.0-1.0","MT-AN9MVFWRCF2OP","","","snd/fu.wav","null",""
"null","","audio-keyboard-response","6","41406","0.0-4.0-2.0-0.0","MT-AN9MVFWRCF2OP","","","snd/fu.wav","null",""
"2420","","html-keyboard-response","7","43826","0.0-4.0-2.0-1.0","MT-AN9MVFWRCF2OP","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","66",""
"3219","","survey-text","8","47046","0.0-4.0-3.0","MT-AN9MVFWRCF2OP","","{""Q0"":""fu""}","","",""
"2499","","audio-keyboard-response","9","49554","0.0-4.0-4.0","MT-AN9MVFWRCF2OP","","","snd/fu.wav","54","typicality"
"null","","html-keyboard-response","10","50565","0.0-4.0-0.1","MT-AN9MVFWRCF2OP","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","11","50806","0.0-4.0-1.1","MT-AN9MVFWRCF2OP","","","snd/to.wav","null",""
"null","","audio-keyboard-response","12","51556","0.0-4.0-2.1-0.1","MT-AN9MVFWRCF2OP","","","snd/to.wav","null",""
"1002","","html-keyboard-response","13","52558","0.0-4.0-2.1-1.1","MT-AN9MVFWRCF2OP","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"2679","","survey-text","14","55239","0.0-4.0-3.1","MT-AN9MVFWRCF2OP","","{""Q0"":""to""}","","",""
"909","","audio-keyboard-response","15","56149","0.0-4.0-4.1","MT-AN9MVFWRCF2OP","","","snd/to.wav","53","typicality"
"null","","html-keyboard-response","16","57155","0.0-4.0-0.2","MT-AN9MVFWRCF2OP","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","17","57367","0.0-4.0-1.2","MT-AN9MVFWRCF2OP","","","snd/ti.wav","null",""
"null","","audio-keyboard-response","18","58087","0.0-4.0-2.2-0.2","MT-AN9MVFWRCF2OP","","","snd/ti.wav","null",""
"751","","html-keyboard-response","19","58838","0.0-4.0-2.2-1.2","MT-AN9MVFWRCF2OP","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"1852","","survey-text","20","60691","0.0-4.0-3.2","MT-AN9MVFWRCF2OP","","{""Q0"":""te""}","","",""
