"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"45567","ad.html","external-html","0","45684","0.0-0.0","MT-AROOCBM042SJD","69.172.201.153","US","","","","","","",""
"9425","","instructions","1","55110","0.0-1.0","MT-AROOCBM042SJD","69.172.201.153","US","[{""page_index"":0,""viewing_time"":9406}]","","","","","",""
"2371","","audio-keyboard-response","2","59483","0.0-2.0","MT-AROOCBM042SJD","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2301","","survey-multi-select","3","61790","0.0-3.0","MT-AROOCBM042SJD","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"35386","","html-keyboard-response","4","97179","0.0-4.0","MT-AROOCBM042SJD","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","13","","","",""
"null","","html-keyboard-response","5","97680","0.0-5.0-0.0","MT-AROOCBM042SJD","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","97944","0.0-5.0-1.0","MT-AROOCBM042SJD","69.172.201.153","US","","snd/to.wav","null","","","",""
"null","","audio-keyboard-response","7","98704","0.0-5.0-2.0-0.0","MT-AROOCBM042SJD","69.172.201.153","US","","snd/to.wav","null","","","",""
"3177","","html-keyboard-response","8","101883","0.0-5.0-2.0-1.0","MT-AROOCBM042SJD","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","75","","","",""
"6102","","survey-text","9","107987","0.0-5.0-3.0","MT-AROOCBM042SJD","69.172.201.153","US","","","","","","{""Q0"":""do""}",""
"4021","","audio-keyboard-response","10","112011","0.0-5.0-4.0","MT-AROOCBM042SJD","69.172.201.153","US","","snd/to.wav","54","","","","typicality"
"null","","html-keyboard-response","11","113015","0.0-5.0-0.1","MT-AROOCBM042SJD","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
