"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"112941","ad.html","external-html","0","113194","0.0-0.0","MT-AT6OT5K5Z4V0J","","","","",""
"61484","","instructions","1","174679","0.0-1.0","MT-AT6OT5K5Z4V0J","[{""page_index"":0,""viewing_time"":61482}]","","","",""
"6200","","survey-multi-select","2","182887","0.0-2.0","MT-AT6OT5K5Z4V0J","","{""Q0"":[""English""]}","","",""
"25322","","html-keyboard-response","3","208212","0.0-3.0","MT-AT6OT5K5Z4V0J","","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","122",""
"null","","html-keyboard-response","4","208714","0.0-4.0-0.0","MT-AT6OT5K5Z4V0J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","5","209019","0.0-4.0-1.0","MT-AT6OT5K5Z4V0J","","","snd/fe.wav","null",""
"null","","audio-keyboard-response","6","209768","0.0-4.0-2.0-0.0","MT-AT6OT5K5Z4V0J","","","snd/fe.wav","null",""
"3155","","html-keyboard-response","7","212924","0.0-4.0-2.0-1.0","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","8","213170","0.0-4.0-2.1-0.1","MT-AT6OT5K5Z4V0J","","","snd/fe.wav","null",""
"1081","","html-keyboard-response","9","214251","0.0-4.0-2.1-1.1","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","10","214499","0.0-4.0-2.2-0.2","MT-AT6OT5K5Z4V0J","","","snd/fe.wav","null",""
"572","","html-keyboard-response","11","215071","0.0-4.0-2.2-1.2","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","12","215319","0.0-4.0-2.3-0.3","MT-AT6OT5K5Z4V0J","","","snd/fe.wav","null",""
"1442","","html-keyboard-response","13","216761","0.0-4.0-2.3-1.3","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","14","217019","0.0-4.0-2.4-0.4","MT-AT6OT5K5Z4V0J","","","snd/fe.wav","null",""
"470","","html-keyboard-response","15","217489","0.0-4.0-2.4-1.4","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","16","217738","0.0-4.0-2.5-0.5","MT-AT6OT5K5Z4V0J","","","snd/fe.wav","null",""
"3080","","html-keyboard-response","17","220820","0.0-4.0-2.5-1.5","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","18","221068","0.0-4.0-2.6-0.6","MT-AT6OT5K5Z4V0J","","","snd/fe.wav","null",""
"3442","","html-keyboard-response","19","224510","0.0-4.0-2.6-1.6","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","20","224758","0.0-4.0-2.7-0.7","MT-AT6OT5K5Z4V0J","","","snd/fe.wav","null",""
"410","","html-keyboard-response","21","225169","0.0-4.0-2.7-1.7","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","22","225423","0.0-4.0-2.8-0.8","MT-AT6OT5K5Z4V0J","","","snd/fe.wav","null",""
"449","","html-keyboard-response","23","225872","0.0-4.0-2.8-1.8","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","24","226120","0.0-4.0-2.9-0.9","MT-AT6OT5K5Z4V0J","","","snd/fe.wav","null",""
"5910","","html-keyboard-response","25","232030","0.0-4.0-2.9-1.9","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"18094","","survey-text","26","250125","0.0-4.0-3.0","MT-AT6OT5K5Z4V0J","","{""Q0"":""fay""}","","",""
"8501","","audio-keyboard-response","27","258621","0.0-4.0-4.0","MT-AT6OT5K5Z4V0J","","","snd/fe.wav","53","typicality"
"null","","html-keyboard-response","28","259622","0.0-4.0-0.1","MT-AT6OT5K5Z4V0J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","29","259873","0.0-4.0-1.1","MT-AT6OT5K5Z4V0J","","","snd/ku.wav","null",""
"null","","audio-keyboard-response","30","260619","0.0-4.0-2.10-0.10","MT-AT6OT5K5Z4V0J","","","snd/ku.wav","null",""
"3292","","html-keyboard-response","31","263912","0.0-4.0-2.10-1.10","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","32","264158","0.0-4.0-2.11-0.11","MT-AT6OT5K5Z4V0J","","","snd/ku.wav","null",""
"420","","html-keyboard-response","33","264579","0.0-4.0-2.11-1.11","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","34","264821","0.0-4.0-2.12-0.12","MT-AT6OT5K5Z4V0J","","","snd/ku.wav","null",""
"1300","","html-keyboard-response","35","266121","0.0-4.0-2.12-1.12","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","36","266369","0.0-4.0-2.13-0.13","MT-AT6OT5K5Z4V0J","","","snd/ku.wav","null",""
"291","","html-keyboard-response","37","266660","0.0-4.0-2.13-1.13","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","38","266909","0.0-4.0-2.14-0.14","MT-AT6OT5K5Z4V0J","","","snd/ku.wav","null",""
"3960","","html-keyboard-response","39","270869","0.0-4.0-2.14-1.14","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"11087","","survey-text","40","281958","0.0-4.0-3.1","MT-AT6OT5K5Z4V0J","","{""Q0"":""cu""}","","",""
"7160","","audio-keyboard-response","41","289119","0.0-4.0-4.1","MT-AT6OT5K5Z4V0J","","","snd/ku.wav","54","typicality"
"null","","html-keyboard-response","42","290122","0.0-4.0-0.2","MT-AT6OT5K5Z4V0J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","43","290369","0.0-4.0-1.2","MT-AT6OT5K5Z4V0J","","","snd/to.wav","null",""
"null","","audio-keyboard-response","44","291129","0.0-4.0-2.15-0.15","MT-AT6OT5K5Z4V0J","","","snd/to.wav","null",""
"3005","","html-keyboard-response","45","294135","0.0-4.0-2.15-1.15","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","46","294385","0.0-4.0-2.16-0.16","MT-AT6OT5K5Z4V0J","","","snd/to.wav","null",""
"320","","html-keyboard-response","47","294705","0.0-4.0-2.16-1.16","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","48","294950","0.0-4.0-2.17-0.17","MT-AT6OT5K5Z4V0J","","","snd/to.wav","null",""
"267","","html-keyboard-response","49","295217","0.0-4.0-2.17-1.17","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","50","295469","0.0-4.0-2.18-0.18","MT-AT6OT5K5Z4V0J","","","snd/to.wav","null",""
"260","","html-keyboard-response","51","295729","0.0-4.0-2.18-1.18","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
