"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1357","ad.html","external-html","0","1425","0.0-0.0","MT-AU2RMH9IZP60M","69.172.201.153","US","","","","","","",""
"15086","","instructions","1","16512","0.0-1.0","MT-AU2RMH9IZP60M","69.172.201.153","US","[{""page_index"":0,""viewing_time"":15085}]","","","","","",""
"2979","","audio-keyboard-response","2","21491","0.0-2.0","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"2408","","survey-multi-select","3","23904","0.0-3.0","MT-AU2RMH9IZP60M","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"8489","","html-keyboard-response","4","32394","0.0-4.0","MT-AU2RMH9IZP60M","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","83","","","",""
"null","","html-keyboard-response","5","32896","0.0-5.0-0.0","MT-AU2RMH9IZP60M","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","33139","0.0-5.0-1.0","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/fa.wav","null","","","",""
"null","","audio-keyboard-response","7","33889","0.0-5.0-2.0-0.0","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/fa.wav","null","","","",""
"2374","","html-keyboard-response","8","36263","0.0-5.0-2.0-1.0","MT-AU2RMH9IZP60M","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70","","","",""
"4611","","survey-text","9","40875","0.0-5.0-3.0","MT-AU2RMH9IZP60M","69.172.201.153","US","","","","","","{""Q0"":""fa""}",""
"4800","","audio-keyboard-response","10","45677","0.0-5.0-4.0","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/fa.wav","54","","","","typicality"
"null","","html-keyboard-response","11","46679","0.0-5.0-0.1","MT-AU2RMH9IZP60M","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","46927","0.0-5.0-1.1","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/li.wav","null","","","",""
"null","","audio-keyboard-response","13","47687","0.0-5.0-2.1-0.1","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/li.wav","null","","","",""
"1915","","html-keyboard-response","14","49603","0.0-5.0-2.1-1.1","MT-AU2RMH9IZP60M","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","76","","","",""
"3497","","survey-text","15","53102","0.0-5.0-3.1","MT-AU2RMH9IZP60M","69.172.201.153","US","","","","","","{""Q0"":""ly""}",""
"3640","","audio-keyboard-response","16","56737","0.0-5.0-4.1","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/li.wav","53","","","","typicality"
"null","","html-keyboard-response","17","57738","0.0-5.0-0.2","MT-AU2RMH9IZP60M","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","18","57986","0.0-5.0-1.2","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"null","","audio-keyboard-response","19","58737","0.0-5.0-2.2-0.2","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"1711","","html-keyboard-response","20","60448","0.0-5.0-2.2-1.2","MT-AU2RMH9IZP60M","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","66","","","",""
"1962","","survey-text","21","62412","0.0-5.0-3.2","MT-AU2RMH9IZP60M","69.172.201.153","US","","","","","","{""Q0"":""be""}",""
"2680","","audio-keyboard-response","22","65089","0.0-5.0-4.2","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/pe2_1.wav","51","","","","typicality"
"null","","html-keyboard-response","23","66091","0.0-5.0-0.3","MT-AU2RMH9IZP60M","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","24","66335","0.0-5.0-1.3","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/ni.wav","null","","","",""
"null","","audio-keyboard-response","25","67085","0.0-5.0-2.3-0.3","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/ni.wav","null","","","",""
"1638","","html-keyboard-response","26","68724","0.0-5.0-2.3-1.3","MT-AU2RMH9IZP60M","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","78","","","",""
"1320","","survey-text","27","70044","0.0-5.0-3.3","MT-AU2RMH9IZP60M","69.172.201.153","US","","","","","","{""Q0"":""ne""}",""
"4360","","audio-keyboard-response","28","74401","0.0-5.0-4.3","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/ni.wav","51","","","","typicality"
"null","","html-keyboard-response","29","75402","0.0-5.0-0.4","MT-AU2RMH9IZP60M","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","30","75644","0.0-5.0-1.4","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"null","","audio-keyboard-response","31","76404","0.0-5.0-2.4-0.4","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"991","","html-keyboard-response","32","77396","0.0-5.0-2.4-1.4","MT-AU2RMH9IZP60M","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"27469","","survey-text","33","104865","0.0-5.0-3.4","MT-AU2RMH9IZP60M","69.172.201.153","US","","","","","","{""Q0"":""mu""}",""
"2928","","audio-keyboard-response","34","107799","0.0-5.0-4.4","MT-AU2RMH9IZP60M","69.172.201.153","US","","snd/mu1_0.wav","54","","","","typicality"
