"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"144433","ad.html","external-html","0","144515","0.0-0.0","MT-AVXEDARJC5HLU","69.172.201.153","US","","","","","","",""
"53260","","instructions","1","197775","0.0-1.0","MT-AVXEDARJC5HLU","69.172.201.153","US","[{""page_index"":0,""viewing_time"":53260}]","","","","","",""
"5651","","audio-keyboard-response","2","205427","0.0-2.0","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"3518","","survey-multi-select","3","208947","0.0-3.0","MT-AVXEDARJC5HLU","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"43028","","html-keyboard-response","4","251977","0.0-4.0","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","252478","0.0-5.0-0.0","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","252726","0.0-5.0-1.0","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/fu.wav","null","","","",""
"null","","audio-keyboard-response","7","253476","0.0-5.0-2.0-0.0","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/fu.wav","null","","","",""
"3484","","html-keyboard-response","8","256960","0.0-5.0-2.0-1.0","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","70","","","",""
"3689","","survey-text","9","260650","0.0-5.0-3.0","MT-AVXEDARJC5HLU","69.172.201.153","US","","","","","","{""Q0"":""fu""}",""
"7131","","audio-keyboard-response","10","267780","0.0-5.0-4.0","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/fu.wav","54","","","","typicality"
"null","","html-keyboard-response","11","268782","0.0-5.0-0.1","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","269036","0.0-5.0-1.1","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/fa.wav","null","","","",""
"null","","audio-keyboard-response","13","269777","0.0-5.0-2.1-0.1","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/fa.wav","null","","","",""
"1514","","html-keyboard-response","14","271293","0.0-5.0-2.1-1.1","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","54","","","",""
"2791","","survey-text","15","274085","0.0-5.0-3.1","MT-AVXEDARJC5HLU","69.172.201.153","US","","","","","","{""Q0"":""fa""}",""
"2629","","audio-keyboard-response","16","276712","0.0-5.0-4.1","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/fa.wav","54","","","","typicality"
"null","","html-keyboard-response","17","277715","0.0-5.0-0.2","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","18","277956","0.0-5.0-1.2","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ku.wav","null","","","",""
"null","","audio-keyboard-response","19","278706","0.0-5.0-2.2-0.2","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ku.wav","null","","","",""
"1420","","html-keyboard-response","20","280126","0.0-5.0-2.2-1.2","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","84","","","",""
"4352","","survey-text","21","284479","0.0-5.0-3.2","MT-AVXEDARJC5HLU","69.172.201.153","US","","","","","","{""Q0"":""goo""}",""
"3000","","audio-keyboard-response","22","287484","0.0-5.0-4.2","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ku.wav","54","","","","typicality"
"null","","html-keyboard-response","23","288486","0.0-5.0-0.3","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","24","288737","0.0-5.0-1.3","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"null","","audio-keyboard-response","25","289486","0.0-5.0-2.3-0.3","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/si1_0.wav","null","","","",""
"1387","","html-keyboard-response","26","290873","0.0-5.0-2.3-1.3","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"8767","","survey-text","27","299641","0.0-5.0-3.3","MT-AVXEDARJC5HLU","69.172.201.153","US","","","","","","{""Q0"":""see""}",""
"2941","","audio-keyboard-response","28","302585","0.0-5.0-4.3","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/si1_0.wav","55","","","","typicality"
"null","","html-keyboard-response","29","303587","0.0-5.0-0.4","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","30","303836","0.0-5.0-1.4","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ta2_1.wav","null","","","",""
"null","","audio-keyboard-response","31","304596","0.0-5.0-2.4-0.4","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ta2_1.wav","null","","","",""
"1208","","html-keyboard-response","32","305804","0.0-5.0-2.4-1.4","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","68","","","",""
"2864","","survey-text","33","308669","0.0-5.0-3.4","MT-AVXEDARJC5HLU","69.172.201.153","US","","","","","","{""Q0"":""da""}",""
"2021","","audio-keyboard-response","34","310695","0.0-5.0-4.4","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ta2_1.wav","54","","","","typicality"
"null","","html-keyboard-response","35","311698","0.0-5.0-0.5","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","36","311956","0.0-5.0-1.5","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"null","","audio-keyboard-response","37","312716","0.0-5.0-2.5-0.5","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"24038","","html-keyboard-response","38","336754","0.0-5.0-2.5-1.5","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"4416","","survey-text","39","341171","0.0-5.0-3.5","MT-AVXEDARJC5HLU","69.172.201.153","US","","","","","","{""Q0"":""fe""}",""
"2040","","audio-keyboard-response","40","343212","0.0-5.0-4.5","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/me2_0.wav","49","","","","typicality"
"null","","html-keyboard-response","41","344214","0.0-5.0-0.6","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","42","344456","0.0-5.0-1.6","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ke.wav","null","","","",""
"null","","audio-keyboard-response","43","345206","0.0-5.0-2.6-0.6","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ke.wav","null","","","",""
"1144","","html-keyboard-response","44","346350","0.0-5.0-2.6-1.6","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"3195","","survey-text","45","349545","0.0-5.0-3.6","MT-AVXEDARJC5HLU","69.172.201.153","US","","","","","","{""Q0"":""kay""}",""
"2232","","audio-keyboard-response","46","351786","0.0-5.0-4.6","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ke.wav","54","","","","typicality"
"null","","html-keyboard-response","47","352788","0.0-5.0-0.7","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","48","353046","0.0-5.0-1.7","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/no.wav","null","","","",""
"null","","audio-keyboard-response","49","353806","0.0-5.0-2.7-0.7","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/no.wav","null","","","",""
"552","","html-keyboard-response","50","354359","0.0-5.0-2.7-1.7","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9","","","",""
"4586","","survey-text","51","358945","0.0-5.0-3.7","MT-AVXEDARJC5HLU","69.172.201.153","US","","","","","","{""Q0"":""no""}",""
"1768","","audio-keyboard-response","52","360711","0.0-5.0-4.7","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/no.wav","55","","","","typicality"
"null","","html-keyboard-response","53","361712","0.0-5.0-0.8","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","54","361966","0.0-5.0-1.8","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ma.wav","null","","","",""
"null","","audio-keyboard-response","55","362726","0.0-5.0-2.8-0.8","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ma.wav","null","","","",""
"1288","","html-keyboard-response","56","364014","0.0-5.0-2.8-1.8","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","71","","","",""
"4100","","survey-text","57","368115","0.0-5.0-3.8","MT-AVXEDARJC5HLU","69.172.201.153","US","","","","","","{""Q0"":""ma""}",""
"2189","","audio-keyboard-response","58","370314","0.0-5.0-4.8","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ma.wav","55","","","","typicality"
"null","","html-keyboard-response","59","371317","0.0-5.0-0.9","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","60","371566","0.0-5.0-1.9","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/to.wav","null","","","",""
"null","","audio-keyboard-response","61","372316","0.0-5.0-2.9-0.9","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/to.wav","null","","","",""
"14598","","html-keyboard-response","62","386914","0.0-5.0-2.9-1.9","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"4651","","survey-text","63","391565","0.0-5.0-3.9","MT-AVXEDARJC5HLU","69.172.201.153","US","","","","","","{""Q0"":""doh""}",""
"2219","","audio-keyboard-response","64","393789","0.0-5.0-4.9","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/to.wav","53","","","","typicality"
"null","","html-keyboard-response","65","394793","0.0-5.0-0.10","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","66","395036","0.0-5.0-1.10","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ni.wav","null","","","",""
"null","","audio-keyboard-response","67","395796","0.0-5.0-2.10-0.10","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ni.wav","null","","","",""
"963","","html-keyboard-response","68","396759","0.0-5.0-2.10-1.10","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"6980","","survey-text","69","403739","0.0-5.0-3.10","MT-AVXEDARJC5HLU","69.172.201.153","US","","","","","","{""Q0"":""knee""}",""
"1579","","audio-keyboard-response","70","405320","0.0-5.0-4.10","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/ni.wav","54","","","","typicality"
"null","","html-keyboard-response","71","406323","0.0-5.0-0.11","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","72","406566","0.0-5.0-1.11","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"null","","audio-keyboard-response","73","407316","0.0-5.0-2.11-0.11","MT-AVXEDARJC5HLU","69.172.201.153","US","","snd/pe2_1.wav","null","","","",""
"1444","","html-keyboard-response","74","408760","0.0-5.0-2.11-1.11","MT-AVXEDARJC5HLU","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32","","","",""
"7311","","survey-text","75","416071","0.0-5.0-3.11","MT-AVXEDARJC5HLU","69.172.201.153","US","","","","","","{""Q0"":""dey""}",""
