"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"228254","ad.html","external-html","0","228367","0.0-0.0","MT-AXJ1PE87PD0KK","69.172.201.153","US","","","","","","",""
"57442","","instructions","1","285811","0.0-1.0","MT-AXJ1PE87PD0KK","69.172.201.153","US","[{""page_index"":0,""viewing_time"":57441}]","","","","","",""
"3291","","audio-keyboard-response","2","291348","0.0-2.0","MT-AXJ1PE87PD0KK","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"6476","","survey-multi-select","3","297832","0.0-3.0","MT-AXJ1PE87PD0KK","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"14048","","html-keyboard-response","4","311887","0.0-4.0","MT-AXJ1PE87PD0KK","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","312391","0.0-5.0-0.0","MT-AXJ1PE87PD0KK","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","312670","0.0-5.0-1.0","MT-AXJ1PE87PD0KK","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"null","","audio-keyboard-response","7","313416","0.0-5.0-2.0-0.0","MT-AXJ1PE87PD0KK","69.172.201.153","US","","snd/me2_0.wav","null","","","",""
"4059","","html-keyboard-response","8","317476","0.0-5.0-2.0-1.0","MT-AXJ1PE87PD0KK","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","86","","","",""
"4332","","survey-text","9","321815","0.0-5.0-3.0","MT-AXJ1PE87PD0KK","69.172.201.153","US","","","","","","{""Q0"":""mi""}",""
"4771","","audio-keyboard-response","10","326588","0.0-5.0-4.0","MT-AXJ1PE87PD0KK","69.172.201.153","US","","snd/me2_0.wav","52","","","","typicality"
"null","","html-keyboard-response","11","327593","0.0-5.0-0.1","MT-AXJ1PE87PD0KK","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","327843","0.0-5.0-1.1","MT-AXJ1PE87PD0KK","69.172.201.153","US","","snd/ni.wav","null","","","",""
"null","","audio-keyboard-response","13","328603","0.0-5.0-2.1-0.1","MT-AXJ1PE87PD0KK","69.172.201.153","US","","snd/ni.wav","null","","","",""
