"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","IP","country_code","view_history","stimulus","key_press","stimulus_type","correct","responses","stim_type"
"1906","ad.html","external-html","0","2318","0.0-0.0","MT-AY432BZUJKW0U","69.172.201.153","US","","","","","","",""
"19385","","instructions","1","21709","0.0-1.0","MT-AY432BZUJKW0U","69.172.201.153","US","[{""page_index"":0,""viewing_time"":19384}]","","","","","",""
"1910","","audio-keyboard-response","2","26895","0.0-2.0","MT-AY432BZUJKW0U","69.172.201.153","US","","snd/letter.wav","81","congruent","true","",""
"4438","","survey-multi-select","3","31339","0.0-3.0","MT-AY432BZUJKW0U","69.172.201.153","US","","","","","","{""Q0"":[""English""]}",""
"7623","","html-keyboard-response","4","38964","0.0-4.0","MT-AY432BZUJKW0U","69.172.201.153","US","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32","","","",""
"null","","html-keyboard-response","5","39654","0.0-5.0-0.0","MT-AY432BZUJKW0U","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","6","40010","0.0-5.0-1.0","MT-AY432BZUJKW0U","69.172.201.153","US","","snd/la.wav","null","","","",""
"null","","audio-keyboard-response","7","40764","0.0-5.0-2.0-0.0","MT-AY432BZUJKW0U","69.172.201.153","US","","snd/la.wav","null","","","",""
"4193","","html-keyboard-response","8","44958","0.0-5.0-2.0-1.0","MT-AY432BZUJKW0U","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","13","","","",""
"21232","","survey-text","9","66191","0.0-5.0-3.0","MT-AY432BZUJKW0U","69.172.201.153","US","","","","","","{""Q0"":""LA""}",""
"3762","","audio-keyboard-response","10","69954","0.0-5.0-4.0","MT-AY432BZUJKW0U","69.172.201.153","US","","snd/la.wav","50","","","","typicality"
"null","","html-keyboard-response","11","71150","0.0-5.0-0.1","MT-AY432BZUJKW0U","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
"null","","audio-keyboard-response","12","71525","0.0-5.0-1.1","MT-AY432BZUJKW0U","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"null","","audio-keyboard-response","13","72457","0.0-5.0-2.1-0.1","MT-AY432BZUJKW0U","69.172.201.153","US","","snd/mu1_0.wav","null","","","",""
"2650","","html-keyboard-response","14","75108","0.0-5.0-2.1-1.1","MT-AY432BZUJKW0U","69.172.201.153","US","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","13","","","",""
"6396","","survey-text","15","81505","0.0-5.0-3.1","MT-AY432BZUJKW0U","69.172.201.153","US","","","","","","{""Q0"":""MU""}",""
"1190","","audio-keyboard-response","16","82701","0.0-5.0-4.1","MT-AY432BZUJKW0U","69.172.201.153","US","","snd/mu1_0.wav","53","","","","typicality"
"null","","html-keyboard-response","17","83829","0.0-5.0-0.2","MT-AY432BZUJKW0U","69.172.201.153","US","","<p>next syllable</p>","null","","","",""
